territorio,anno,genere,popolazione,occupati,tasso_occupazione,tasso_disoccupazione,fuori_da_lavoro_e_studio,nome_territorio
082006,2018,F,3037.0,142.0,4.7,79.0,38.0,Bagheria
082006,2018,M,3206.0,370.0,11.5,61.7,37.4,Bagheria
082006,2018,T,6243.0,512.0,8.2,68.8,37.7,Bagheria
082006,2019,F,2983.0,154.0,5.2,76.8,32.7,Bagheria
082006,2019,M,3151.0,373.0,11.8,61.9,32.8,Bagheria
082006,2019,T,6134.0,527.0,8.6,67.9,32.8,Bagheria
082006,2021,F,2852.0,176.0,6.2,59.2,29.9,Bagheria
082006,2021,M,3039.0,419.0,13.8,47.0,29.7,Bagheria
082006,2021,T,5891.0,595.0,10.1,51.3,29.8,Bagheria
082006,2022,F,2847.0,219.0,7.7,54.3,27.8,Bagheria
082006,2022,M,3035.0,467.0,15.4,41.8,26.8,Bagheria
082006,2022,T,5882.0,686.0,11.7,46.5,27.3,Bagheria
082006,2023,F,2881.0,231.0,8.0,56.2,31.1,Bagheria
082006,2023,M,2998.0,455.0,15.2,45.2,30.4,Bagheria
082006,2023,T,5879.0,686.0,11.7,49.5,30.7,Bagheria
082006,2024,F,2882.0,236.0,8.2,45.6,26.7,Bagheria
082006,2024,M,3022.0,498.0,16.5,35.1,27.1,Bagheria
082006,2024,T,5904.0,734.0,12.4,38.9,26.9,Bagheria
082053,2018,F,34298.0,2174.0,6.3,74.8,34.0,Palermo
082053,2018,M,36460.0,4391.0,12.0,62.9,33.4,Palermo
082053,2018,T,70758.0,6565.0,9.3,67.9,33.7,Palermo
082053,2019,F,33754.0,2342.0,6.9,71.9,31.3,Palermo
082053,2019,M,35853.0,4352.0,12.1,62.2,31.3,Palermo
082053,2019,T,69607.0,6694.0,9.6,66.3,31.3,Palermo
082053,2021,F,32229.0,2427.0,7.5,53.7,25.9,Palermo
082053,2021,M,34400.0,4772.0,13.9,46.0,25.5,Palermo
082053,2021,T,66629.0,7199.0,10.8,48.9,25.7,Palermo
082053,2022,F,32475.0,2801.0,8.6,51.0,24.0,Palermo
082053,2022,M,34257.0,5237.0,15.3,42.0,23.4,Palermo
082053,2022,T,66732.0,8038.0,12.0,45.5,23.7,Palermo
082053,2023,F,32551.0,2999.0,9.2,47.8,23.7,Palermo
082053,2023,M,34389.0,5329.0,15.5,40.7,23.5,Palermo
082053,2023,T,66940.0,8328.0,12.4,43.5,23.6,Palermo
082053,2024,F,32672.0,3133.0,9.6,42.8,23.6,Palermo
082053,2024,M,34363.0,5683.0,16.5,36.1,23.7,Palermo
082053,2024,T,67035.0,8816.0,13.2,38.6,23.6,Palermo
IT,2018,F,2792434.0,392972.0,14.1,43.8,21.1,Italia
IT,2018,M,3043549.0,678852.0,22.3,33.6,20.8,Italia
IT,2018,T,5835983.0,1071824.0,18.4,37.7,20.9,Italia
IT,2019,F,2792459.0,404460.0,14.5,40.1,18.7,Italia
IT,2019,M,3034485.0,697746.0,23.0,31.0,18.9,Italia
IT,2019,T,5826944.0,1102206.0,18.9,34.6,18.8,Italia
IT,2021,F,2775037.0,416292.0,15.0,31.7,17.6,Italia
IT,2021,M,3014421.0,746126.0,24.8,23.0,16.9,Italia
IT,2021,T,5789458.0,1162418.0,20.1,26.3,17.3,Italia
IT,2022,F,2796244.0,458524.0,16.4,27.7,15.1,Italia
IT,2022,M,3037208.0,794188.0,26.1,19.9,14.6,Italia
IT,2022,T,5833452.0,1252712.0,21.5,22.9,14.9,Italia
IT,2023,F,2811640.0,475260.0,16.9,26.5,14.7,Italia
IT,2023,M,3059980.0,809131.0,26.4,19.3,14.7,Italia
IT,2023,T,5871620.0,1284391.0,21.9,22.1,14.7,Italia
IT,2024,F,2822968.0,487633.0,17.3,25.5,14.9,Italia
IT,2024,M,3088740.0,831827.0,26.9,19.2,15.7,Italia
IT,2024,T,5911708.0,1319460.0,22.3,21.7,15.3,Italia
ITG1,2018,F,258223.0,19411.0,7.5,67.9,32.4,Sicilia
ITG1,2018,M,280088.0,41530.0,14.8,53.5,32.9,Sicilia
ITG1,2018,T,538311.0,60941.0,11.3,59.3,32.7,Sicilia
ITG1,2019,F,254307.0,20244.0,8.0,65.8,29.0,Sicilia
ITG1,2019,M,274852.0,42314.0,15.4,52.4,29.8,Sicilia
ITG1,2019,T,529159.0,62558.0,11.8,57.8,29.4,Sicilia
ITG1,2021,F,245867.0,20693.0,8.4,48.4,25.6,Sicilia
ITG1,2021,M,266915.0,45806.0,17.2,37.3,25.6,Sicilia
ITG1,2021,T,512782.0,66499.0,13.0,41.3,25.6,Sicilia
ITG1,2022,F,245647.0,22947.0,9.3,47.0,23.6,Sicilia
ITG1,2022,M,266072.0,49618.0,18.6,34.4,22.9,Sicilia
ITG1,2022,T,511719.0,72565.0,14.2,39.0,23.2,Sicilia
ITG1,2023,F,244677.0,24320.0,9.9,44.4,22.4,Sicilia
ITG1,2023,M,265609.0,51168.0,19.3,32.9,22.1,Sicilia
ITG1,2023,T,510286.0,75488.0,14.8,37.0,22.3,Sicilia
ITG1,2024,F,243292.0,25326.0,10.4,38.8,21.8,Sicilia
ITG1,2024,M,265707.0,53848.0,20.3,29.1,22.7,Sicilia
ITG1,2024,T,508999.0,79174.0,15.6,32.5,22.3,Sicilia
