territorio,anno,genere,popolazione_15_34,nome_territorio
082006,2021,F,6054,Bagheria
082006,2021,M,6120,Bagheria
082006,2021,T,12174,Bagheria
082006,2022,F,6010,Bagheria
082006,2022,M,6108,Bagheria
082006,2022,T,12118,Bagheria
082006,2023,F,5955,Bagheria
082006,2023,M,6032,Bagheria
082006,2023,T,11987,Bagheria
082006,2024,F,5846,Bagheria
082006,2024,M,6015,Bagheria
082006,2024,T,11861,Bagheria
082053,2021,F,67213,Palermo
082053,2021,M,69878,Palermo
082053,2021,T,137091,Palermo
082053,2022,F,66824,Palermo
082053,2022,M,69153,Palermo
082053,2022,T,135977,Palermo
082053,2023,F,66329,Palermo
082053,2023,M,68712,Palermo
082053,2023,T,135041,Palermo
082053,2024,F,66081,Palermo
082053,2024,M,68380,Palermo
082053,2024,T,134461,Palermo
IT,2021,F,5805988,Italia
IT,2021,M,6196464,Italia
IT,2021,T,12002452,Italia
IT,2022,F,5824905,Italia
IT,2022,M,6238340,Italia
IT,2022,T,12063245,Italia
IT,2023,F,5818445,Italia
IT,2023,M,6278723,Italia
IT,2023,T,12097168,Italia
IT,2024,F,5813869,Italia
IT,2024,M,6330874,Italia
IT,2024,T,12144743,Italia
ITG1,2021,F,515696,Sicilia
ITG1,2021,M,544819,Sicilia
ITG1,2021,T,1060515,Sicilia
ITG1,2022,F,510665,Sicilia
ITG1,2022,M,540474,Sicilia
ITG1,2022,T,1051139,Sicilia
ITG1,2023,F,504234,Sicilia
ITG1,2023,M,535843,Sicilia
ITG1,2023,T,1040077,Sicilia
ITG1,2024,F,499055,Sicilia
ITG1,2024,M,534008,Sicilia
ITG1,2024,T,1033063,Sicilia
