territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2001,F,TOTAL,ALL,TOTAL,26081
082006,2011,F,TOTAL,ALL,TOTAL,27915
082006,2018,F,TOTAL,ALL,TOTAL,27532
082006,2019,F,TOTAL,ALL,TOTAL,27374
082006,2020,F,TOTAL,ALL,TOTAL,27228
082006,2021,F,TOTAL,ALL,TOTAL,27249
082006,2022,F,TOTAL,ALL,TOTAL,27221
082006,2023,F,TOTAL,ALL,TOTAL,27135
082006,2024,F,TOTAL,ALL,TOTAL,27173
082006,2001,F,Y_GE100,ALL,TOTAL,2
082006,2011,F,Y_GE100,ALL,TOTAL,8
082006,2018,F,Y_GE100,ALL,TOTAL,8
082006,2019,F,Y_GE100,ALL,TOTAL,5
082006,2020,F,Y_GE100,ALL,TOTAL,9
082006,2021,F,Y_GE100,ALL,TOTAL,11
082006,2022,F,Y_GE100,ALL,TOTAL,11
082006,2023,F,Y_GE100,ALL,TOTAL,14
082006,2024,F,Y_GE100,ALL,TOTAL,12
082006,2001,F,Y_UN4,ALL,TOTAL,1452
082006,2011,F,Y_UN4,ALL,TOTAL,1381
082006,2018,F,Y_UN4,ALL,TOTAL,1162
082006,2019,F,Y_UN4,ALL,TOTAL,1142
082006,2020,F,Y_UN4,ALL,TOTAL,1164
082006,2021,F,Y_UN4,ALL,TOTAL,1111
082006,2022,F,Y_UN4,ALL,TOTAL,1124
082006,2023,F,Y_UN4,ALL,TOTAL,1090
082006,2024,F,Y_UN4,ALL,TOTAL,1073
082006,2001,F,Y10-14,ALL,TOTAL,1786
082006,2011,F,Y10-14,ALL,TOTAL,1476
082006,2018,F,Y10-14,ALL,TOTAL,1386
082006,2019,F,Y10-14,ALL,TOTAL,1359
082006,2020,F,Y10-14,ALL,TOTAL,1355
082006,2021,F,Y10-14,ALL,TOTAL,1362
082006,2022,F,Y10-14,ALL,TOTAL,1353
082006,2023,F,Y10-14,ALL,TOTAL,1274
082006,2024,F,Y10-14,ALL,TOTAL,1267
082006,2001,F,Y15-19,ALL,TOTAL,1799
082006,2011,F,Y15-19,ALL,TOTAL,1732
082006,2018,F,Y15-19,ALL,TOTAL,1488
082006,2019,F,Y15-19,ALL,TOTAL,1497
082006,2020,F,Y15-19,ALL,TOTAL,1471
082006,2021,F,Y15-19,ALL,TOTAL,1469
082006,2022,F,Y15-19,ALL,TOTAL,1436
082006,2023,F,Y15-19,ALL,TOTAL,1424
082006,2024,F,Y15-19,ALL,TOTAL,1384
082006,2001,F,Y20-24,ALL,TOTAL,1829
082006,2011,F,Y20-24,ALL,TOTAL,1843
082006,2018,F,Y20-24,ALL,TOTAL,1549
082006,2019,F,Y20-24,ALL,TOTAL,1486
082006,2020,F,Y20-24,ALL,TOTAL,1432
082006,2021,F,Y20-24,ALL,TOTAL,1383
082006,2022,F,Y20-24,ALL,TOTAL,1411
082006,2023,F,Y20-24,ALL,TOTAL,1457
082006,2024,F,Y20-24,ALL,TOTAL,1498
082006,2001,F,Y25-29,ALL,TOTAL,2017
082006,2011,F,Y25-29,ALL,TOTAL,1851
082006,2018,F,Y25-29,ALL,TOTAL,1782
082006,2019,F,Y25-29,ALL,TOTAL,1686
082006,2020,F,Y25-29,ALL,TOTAL,1575
082006,2021,F,Y25-29,ALL,TOTAL,1534
082006,2022,F,Y25-29,ALL,TOTAL,1472
082006,2023,F,Y25-29,ALL,TOTAL,1437
082006,2024,F,Y25-29,ALL,TOTAL,1387
082006,2001,F,Y30-34,ALL,TOTAL,2126
082006,2011,F,Y30-34,ALL,TOTAL,1893
082006,2018,F,Y30-34,ALL,TOTAL,1686
082006,2019,F,Y30-34,ALL,TOTAL,1733
082006,2020,F,Y30-34,ALL,TOTAL,1704
082006,2021,F,Y30-34,ALL,TOTAL,1668
082006,2022,F,Y30-34,ALL,TOTAL,1691
082006,2023,F,Y30-34,ALL,TOTAL,1637
082006,2024,F,Y30-34,ALL,TOTAL,1577
082006,2001,F,Y35-39,ALL,TOTAL,2009
082006,2011,F,Y35-39,ALL,TOTAL,2056
082006,2018,F,Y35-39,ALL,TOTAL,1770
082006,2019,F,Y35-39,ALL,TOTAL,1678
082006,2020,F,Y35-39,ALL,TOTAL,1624
082006,2021,F,Y35-39,ALL,TOTAL,1671
082006,2022,F,Y35-39,ALL,TOTAL,1632
