territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,1,4461.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,1,4583.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,1,4851.0
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,1,4975.0
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,1,5238.0
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,1,5608.0
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,12,2749.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,12,2823.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,12,1415.41498655452
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,12,1320.73722642068
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,12,1394.909901027151
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,12,1004.0626789764376
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,22,7210.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,22,7406.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,22,6266.41498655452
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,22,6295.73722642068
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,22,6632.90990102715
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,22,6612.062678976437
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,23,16487.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,23,16226.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,23,17298.5850134455
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,23,17286.2627735793
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,23,16961.09009897285
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,23,17052.937321023564
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,24,2890.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,24,3063.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,24,3334.30486709667
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,24,2899.51726456241
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,24,2601.7777412702158
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,24,2917.470919103708
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,4,9287.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,4,9172.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,4,9840.42348290986
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,4,9997.14342656989
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,4,9960.455222014032
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,4,9680.95647296576
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,5,2041.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,5,2190.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,5,2168.49892483777
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,5,2197.997846892
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,5,2009.169112133384
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,5,2186.5998314477424
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,7,2269.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,7,1801.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,7,1955.35773860118
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,7,2191.60423555501
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,7,2389.6880235552203
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,7,2267.9100975063534
082006,2018,lavoro,F,Y_GE15,,TOTAL,ALL,99,23697.0
082006,2019,lavoro,F,Y_GE15,,TOTAL,ALL,99,23632.0
082006,2021,lavoro,F,Y_GE15,,TOTAL,ALL,99,23565.0
082006,2022,lavoro,F,Y_GE15,,TOTAL,ALL,99,23582.0
082006,2023,lavoro,F,Y_GE15,,TOTAL,ALL,99,23594.0
082006,2024,lavoro,F,Y_GE15,,TOTAL,ALL,99,23665.000000000004
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,1,148.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,1,190.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,1,181.0
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,1,168.0
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,1,166.0
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,1,183.0
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,12,30.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,12,31.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,12,19.4283833238219
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,12,10.3997562927331
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,12,15.401920530267262
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,12,11.55407541078666
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,22,178.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,22,221.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,22,200.428383323822
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,22,178.399756292733
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,22,181.4019205302673
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,22,194.55407541078665
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,23,5438.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,23,5489.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,23,5852.57161667618
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,23,5924.60024370727
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,23,5994.5980794697325
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,23,6110.445924589216
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,24,2655.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,24,2806.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,24,3067.530561718
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,24,2702.3445271578
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,24,2443.9583029203145
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,24,2742.81149529483
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,4,1833.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,4,1898.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,4,2042.23282302705
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,4,2292.07977650234
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,4,2435.2302119744068
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,4,2371.8241329368207
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,5,6.14351622933971e-05
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,5,1.1477693202257
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,5,1.7531910310709855
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.8641140166413885
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,7,950.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,7,785.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,7,742.808170495967
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,7,929.028170726898
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,7,1113.65637354394
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,7,994.9461823409238
082006,2018,lavoro,F,Y_GE65,,TOTAL,ALL,99,5616.0
082006,2019,lavoro,F,Y_GE65,,TOTAL,ALL,99,5710.0
082006,2020,lavoro,F,Y_GE65,,TOTAL,ALL,99,5898.0
082006,2021,lavoro,F,Y_GE65,,TOTAL,ALL,99,6053.0
082006,2022,lavoro,F,Y_GE65,,TOTAL,ALL,99,6103.0
082006,2023,lavoro,F,Y_GE65,,TOTAL,ALL,99,6176.0
082006,2024,lavoro,F,Y_GE65,,TOTAL,ALL,99,6305.000000000002
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,1,142.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,1,154.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,1,176.0
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,1,219.0
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,1,231.0
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,1,236.0
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,12,534.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,12,509.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,12,255.796067027937
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,12,260.454469417518
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,12,296.568348333135
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,12,197.9355768950875
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,22,676.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,22,663.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,22,431.796067027937
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,22,479.454469417518
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,22,527.5683483331351
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,22,433.93557689508754
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,23,2361.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,23,2320.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,23,2420.20393297206
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,23,2367.54553058248
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,23,2353.431651666865
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,23,2448.0644231049127
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,24,2.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,24,2.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,24,1.94470129975829
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,24,2.10425604335789
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,24,1.5750698899911315
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,24,2.8461729673939957
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,4,376.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,4,324.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,4,421.364807529602
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,4,364.106237637171
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,4,421.07368105452446
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,4,386.841120738826
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,5,1742.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,5,1853.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,5,1822.51309014561
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,5,1837.3621104948
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,5,1755.2095433354036
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,5,1875.2983186136669
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,7,241.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,7,141.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,7,174.381333997089
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,7,163.972926407148
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,7,175.57335738694644
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,7,183.078810785026
082006,2018,lavoro,F,Y15-24,,TOTAL,ALL,99,3037.0
082006,2019,lavoro,F,Y15-24,,TOTAL,ALL,99,2983.0
082006,2021,lavoro,F,Y15-24,,TOTAL,ALL,99,2852.0
082006,2022,lavoro,F,Y15-24,,TOTAL,ALL,99,2847.0
082006,2023,lavoro,F,Y15-24,,TOTAL,ALL,99,2881.0000000000005
082006,2024,lavoro,F,Y15-24,,TOTAL,ALL,99,2882.0
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,1,2641.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,1,2696.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,1,2853.0
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,1,2918.0
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,1,3068.0
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,1,3272.0
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,12,1702.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,12,1746.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,12,863.403811221291
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,12,797.963479835383
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,12,781.1629975588208
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,12,572.1639910125781
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,22,4343.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,22,4442.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,22,3716.40381122129
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,22,3715.96347983538
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,22,3849.1629975588207
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,22,3844.163991012578
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,23,4907.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,23,4617.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,23,4962.59618877871
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,23,4834.03652016462
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,23,4533.83700244118
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,23,4422.836008987422
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,24,49.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,24,58.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,24,48.1228313790533
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,24,38.3740934956673
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,24,31.216512011520575
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,24,39.08472905994479
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,4,3894.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,4,3703.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,4,3971.67058542157
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,4,3843.50678833649
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,4,3661.1138988756097
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,4,3490.699175023523
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,5,296.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,5,334.0
082006,2021,lavoro,F,Y25-49,,TOTAL,ALL,5,339.009067773563
082006,2022,lavoro,F,Y25-49,,TOTAL,ALL,5,349.581950423594
082006,2023,lavoro,F,Y25-49,,TOTAL,ALL,5,244.5787505512041
082006,2024,lavoro,F,Y25-49,,TOTAL,ALL,5,298.6475052544649
082006,2018,lavoro,F,Y25-49,,TOTAL,ALL,7,668.0
082006,2019,lavoro,F,Y25-49,,TOTAL,ALL,7,522.0
