territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
082023,2018,lavoro,F,Y_GE15,,TOTAL,ALL,1,1019.0
082023,2019,lavoro,F,Y_GE15,,TOTAL,ALL,1,1008.0
082023,2021,lavoro,F,Y_GE15,,TOTAL,ALL,1,1152.0
082023,2022,lavoro,F,Y_GE15,,TOTAL,ALL,1,1212.0
082023,2023,lavoro,F,Y_GE15,,TOTAL,ALL,1,1247.0
082023,2024,lavoro,F,Y_GE15,,TOTAL,ALL,1,1353.0
082023,2018,lavoro,F,Y_GE15,,TOTAL,ALL,12,521.0
082023,2019,lavoro,F,Y_GE15,,TOTAL,ALL,12,512.0
082023,2021,lavoro,F,Y_GE15,,TOTAL,ALL,12,269.535561619956
082023,2022,lavoro,F,Y_GE15,,TOTAL,ALL,12,261.774389212545
082023,2023,lavoro,F,Y_GE15,,TOTAL,ALL,12,292.8841622076508
082023,2024,lavoro,F,Y_GE15,,TOTAL,ALL,12,233.4328919980834
082023,2018,lavoro,F,Y_GE15,,TOTAL,ALL,22,1540.0
082023,2019,lavoro,F,Y_GE15,,TOTAL,ALL,22,1520.0
082023,2021,lavoro,F,Y_GE15,,TOTAL,ALL,22,1421.53556161996
082023,2022,lavoro,F,Y_GE15,,TOTAL,ALL,22,1473.77438921255
082023,2023,lavoro,F,Y_GE15,,TOTAL,ALL,22,1539.884162207651
082023,2024,lavoro,F,Y_GE15,,TOTAL,ALL,22,1586.4328919980835
082023,2018,lavoro,F,Y_GE15,,TOTAL,ALL,23,3349.0
082023,2019,lavoro,F,Y_GE15,,TOTAL,ALL,23,3400.0
082023,2021,lavoro,F,Y_GE15,,TOTAL,ALL,23,3558.46443838004
082023,2022,lavoro,F,Y_GE15,,TOTAL,ALL,23,3559.22561078745
082023,2023,lavoro,F,Y_GE15,,TOTAL,ALL,23,3510.1158377923493
082023,2024,lavoro,F,Y_GE15,,TOTAL,ALL,23,3519.5671080019165
082023,2018,lavoro,F,Y_GE15,,TOTAL,ALL,24,614.0
082023,2019,lavoro,F,Y_GE15,,TOTAL,ALL,24,621.0
