territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2018,F,Y15-24,TOTAL,ALL,1,206.0
081001,2019,F,Y15-24,TOTAL,ALL,1,183.0
081001,2021,F,Y15-24,TOTAL,ALL,1,222.0
081001,2022,F,Y15-24,TOTAL,ALL,1,249.0
081001,2023,F,Y15-24,TOTAL,ALL,1,244.0
081001,2024,F,Y15-24,TOTAL,ALL,1,249.0
081001,2018,F,Y15-24,TOTAL,ALL,12,306.0
081001,2019,F,Y15-24,TOTAL,ALL,12,298.0
081001,2021,F,Y15-24,TOTAL,ALL,12,147.027486591495
081001,2022,F,Y15-24,TOTAL,ALL,12,145.885537418373
081001,2023,F,Y15-24,TOTAL,ALL,12,121.7164166752104
081001,2024,F,Y15-24,TOTAL,ALL,12,100.56381953899071
081001,2018,F,Y15-24,TOTAL,ALL,22,512.0
081001,2019,F,Y15-24,TOTAL,ALL,22,481.0
081001,2021,F,Y15-24,TOTAL,ALL,22,369.027486591495
081001,2022,F,Y15-24,TOTAL,ALL,22,394.885537418373
081001,2023,F,Y15-24,TOTAL,ALL,22,365.7164166752104
081001,2024,F,Y15-24,TOTAL,ALL,22,349.56381953899074
081001,2018,F,Y15-24,TOTAL,ALL,23,1878.0
081001,2019,F,Y15-24,TOTAL,ALL,23,1861.0
081001,2021,F,Y15-24,TOTAL,ALL,23,1847.9725134085
081001,2022,F,Y15-24,TOTAL,ALL,23,1835.11446258163
081001,2023,F,Y15-24,TOTAL,ALL,23,1821.2835833247896
081001,2024,F,Y15-24,TOTAL,ALL,23,1796.4361804610091
081001,2018,F,Y15-24,TOTAL,ALL,24,2.0
081001,2019,F,Y15-24,TOTAL,ALL,24,3.0
081001,2021,F,Y15-24,TOTAL,ALL,24,2.78485900790948
081001,2022,F,Y15-24,TOTAL,ALL,24,2.55344535266547
081001,2023,F,Y15-24,TOTAL,ALL,24,1.4009624718054603
081001,2024,F,Y15-24,TOTAL,ALL,24,2.2540021167141666
081001,2018,F,Y15-24,TOTAL,ALL,4,188.0
081001,2019,F,Y15-24,TOTAL,ALL,4,161.0
081001,2021,F,Y15-24,TOTAL,ALL,4,203.662853189285
081001,2022,F,Y15-24,TOTAL,ALL,4,176.15426688674
081001,2023,F,Y15-24,TOTAL,ALL,4,149.6010219998095
081001,2024,F,Y15-24,TOTAL,ALL,4,122.64897135939113
081001,2018,F,Y15-24,TOTAL,ALL,5,1546.0
081001,2019,F,Y15-24,TOTAL,ALL,5,1602.0
081001,2021,F,Y15-24,TOTAL,ALL,5,1536.48309446861
081001,2022,F,Y15-24,TOTAL,ALL,5,1555.55782781964
081001,2023,F,Y15-24,TOTAL,ALL,5,1595.9403811159548
081001,2024,F,Y15-24,TOTAL,ALL,5,1597.5861339041885
081001,2018,F,Y15-24,TOTAL,ALL,7,142.0
081001,2019,F,Y15-24,TOTAL,ALL,7,95.0
081001,2021,F,Y15-24,TOTAL,ALL,7,105.041706742698
081001,2022,F,Y15-24,TOTAL,ALL,7,100.848922522584
081001,2023,F,Y15-24,TOTAL,ALL,7,74.34121773721976
081001,2024,F,Y15-24,TOTAL,ALL,7,73.94707308071537
081001,2018,F,Y15-24,TOTAL,ALL,99,2390.0
081001,2019,F,Y15-24,TOTAL,ALL,99,2342.0
081001,2021,F,Y15-24,TOTAL,ALL,99,2217.0
081001,2022,F,Y15-24,TOTAL,ALL,99,2230.0
081001,2023,F,Y15-24,TOTAL,ALL,99,2187.0
081001,2024,F,Y15-24,TOTAL,ALL,99,2146.0
081001,2018,M,Y15-24,TOTAL,ALL,1,483.0
081001,2019,M,Y15-24,TOTAL,ALL,1,456.0
081001,2021,M,Y15-24,TOTAL,ALL,1,513.0
081001,2022,M,Y15-24,TOTAL,ALL,1,568.0
081001,2023,M,Y15-24,TOTAL,ALL,1,585.0
081001,2024,M,Y15-24,TOTAL,ALL,1,577.0
081001,2018,M,Y15-24,TOTAL,ALL,12,400.0
081001,2019,M,Y15-24,TOTAL,ALL,12,411.0
081001,2021,M,Y15-24,TOTAL,ALL,12,239.761750740413
081001,2022,M,Y15-24,TOTAL,ALL,12,224.724925916996
081001,2023,M,Y15-24,TOTAL,ALL,12,186.3392384679911
