territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2018,F,Y_GE15,TOTAL,ALL,1,5379.0
081001,2019,F,Y_GE15,TOTAL,ALL,1,5442.0
081001,2021,F,Y_GE15,TOTAL,ALL,1,5741.0
081001,2022,F,Y_GE15,TOTAL,ALL,1,5901.0
081001,2023,F,Y_GE15,TOTAL,ALL,1,6271.0
081001,2024,F,Y_GE15,TOTAL,ALL,1,6530.0
081001,2018,F,Y_GE15,TOTAL,ALL,12,1981.0
081001,2019,F,Y_GE15,TOTAL,ALL,12,1994.0
081001,2021,F,Y_GE15,TOTAL,ALL,12,955.758994998942
081001,2022,F,Y_GE15,TOTAL,ALL,12,970.886318885065
081001,2023,F,Y_GE15,TOTAL,ALL,12,885.3004085124476
081001,2024,F,Y_GE15,TOTAL,ALL,12,762.1901888978942
081001,2018,F,Y_GE15,TOTAL,ALL,22,7360.0
081001,2019,F,Y_GE15,TOTAL,ALL,22,7435.0
081001,2021,F,Y_GE15,TOTAL,ALL,22,6696.75899499894
081001,2022,F,Y_GE15,TOTAL,ALL,22,6871.88631888506
081001,2023,F,Y_GE15,TOTAL,ALL,22,7156.300408512448
081001,2024,F,Y_GE15,TOTAL,ALL,22,7292.190188897895
081001,2018,F,Y_GE15,TOTAL,ALL,23,12674.0
081001,2019,F,Y_GE15,TOTAL,ALL,23,12561.0
081001,2021,F,Y_GE15,TOTAL,ALL,23,13097.2410050011
081001,2022,F,Y_GE15,TOTAL,ALL,23,12899.1136811149
081001,2023,F,Y_GE15,TOTAL,ALL,23,12615.699591487552
081001,2024,F,Y_GE15,TOTAL,ALL,23,12436.809811102106
081001,2018,F,Y_GE15,TOTAL,ALL,24,3736.0
081001,2019,F,Y_GE15,TOTAL,ALL,24,3654.0
081001,2021,F,Y_GE15,TOTAL,ALL,24,3775.6620201995
081001,2022,F,Y_GE15,TOTAL,ALL,24,3810.2104619456
081001,2023,F,Y_GE15,TOTAL,ALL,24,3538.6160229229167
081001,2024,F,Y_GE15,TOTAL,ALL,24,3601.3594856309205
081001,2018,F,Y_GE15,TOTAL,ALL,4,5603.0
081001,2019,F,Y_GE15,TOTAL,ALL,4,5572.0
081001,2021,F,Y_GE15,TOTAL,ALL,4,5900.56603157157
081001,2022,F,Y_GE15,TOTAL,ALL,4,5802.51669092029
081001,2023,F,Y_GE15,TOTAL,ALL,4,5691.88666364699
081001,2024,F,Y_GE15,TOTAL,ALL,4,5515.671192923052
081001,2018,F,Y_GE15,TOTAL,ALL,5,1830.0
081001,2019,F,Y_GE15,TOTAL,ALL,5,1912.0
081001,2021,F,Y_GE15,TOTAL,ALL,5,1885.29704498465
081001,2022,F,Y_GE15,TOTAL,ALL,5,1855.74888182623
081001,2023,F,Y_GE15,TOTAL,ALL,5,1900.7579803892177
081001,2024,F,Y_GE15,TOTAL,ALL,5,1874.400906643498
081001,2018,F,Y_GE15,TOTAL,ALL,7,1506.0
081001,2019,F,Y_GE15,TOTAL,ALL,7,1424.0
081001,2021,F,Y_GE15,TOTAL,ALL,7,1535.71590824533
081001,2022,F,Y_GE15,TOTAL,ALL,7,1430.63764642281
081001,2023,F,Y_GE15,TOTAL,ALL,7,1484.4389245284278
081001,2024,F,Y_GE15,TOTAL,ALL,7,1445.378225904636
081001,2018,F,Y_GE15,TOTAL,ALL,99,20034.0
081001,2019,F,Y_GE15,TOTAL,ALL,99,19996.0
081001,2021,F,Y_GE15,TOTAL,ALL,99,19794.0
081001,2022,F,Y_GE15,TOTAL,ALL,99,19771.0
081001,2023,F,Y_GE15,TOTAL,ALL,99,19772.0
081001,2024,F,Y_GE15,TOTAL,ALL,99,19729.0
081001,2018,M,Y_GE15,TOTAL,ALL,1,9081.0
081001,2019,M,Y_GE15,TOTAL,ALL,1,9223.0
081001,2021,M,Y_GE15,TOTAL,ALL,1,9301.0
081001,2022,M,Y_GE15,TOTAL,ALL,1,9526.0
081001,2023,M,Y_GE15,TOTAL,ALL,1,9736.0
081001,2024,M,Y_GE15,TOTAL,ALL,1,10076.0
081001,2018,M,Y_GE15,TOTAL,ALL,12,2181.0
081001,2019,M,Y_GE15,TOTAL,ALL,12,2074.0
081001,2021,M,Y_GE15,TOTAL,ALL,12,1167.26917114165
