territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,1,3311.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,1,3370.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,1,3395.0
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,1,3472.0
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,1,3585.0
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,1,3654.0
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,12,1045.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,12,1002.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,12,652.834509652486
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,12,583.355125493339
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,12,673.8709072085421
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,12,543.2955754788176
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,22,4356.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,22,4372.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,22,4047.83450965249
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,22,4055.35512549334
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,22,4258.870907208542
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,22,4197.295575478817
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,23,7880.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,23,7805.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,23,8085.16549034751
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,23,7955.64487450666
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,23,7735.129092791457
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,23,7689.704424521182
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,24,2183.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,24,2283.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,24,2352.14634238471
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,24,2351.67347182208
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,24,2228.089357312192
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,24,2164.963973413357
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,4,3639.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,4,3501.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,4,3672.31522746847
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,4,3634.66648526043
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,4,3407.190423746346
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,4,3480.0756814277447
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,5,1037.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,5,1151.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,5,1129.02328054847
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,5,1111.25773896732
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,5,1094.771936705216
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,5,1051.7688760801584
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,7,1021.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,7,870.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,7,931.680639945868
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,7,858.047178456834
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,7,1005.077375027703
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,7,992.8958935999214
081008,2018,lavoro,F,Y_GE15,,TOTAL,ALL,99,12236.0
081008,2019,lavoro,F,Y_GE15,,TOTAL,ALL,99,12177.0
081008,2021,lavoro,F,Y_GE15,,TOTAL,ALL,99,12133.0
081008,2022,lavoro,F,Y_GE15,,TOTAL,ALL,99,12011.0
081008,2023,lavoro,F,Y_GE15,,TOTAL,ALL,99,11994.0
081008,2024,lavoro,F,Y_GE15,,TOTAL,ALL,99,11887.0
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,1,146.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,1,164.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,1,117.0
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,1,135.0
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,1,120.0
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,1,121.0
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,12,14.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,12,13.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,12,12.1675802754958
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,12,6.16059427731631
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,12,10.441602356135888
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,12,8.634222606272022
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,22,160.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,22,177.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,22,129.167580275496
