territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2018,F,TOTAL,,ALL,FRGAPO,80
082023,2019,F,TOTAL,,ALL,FRGAPO,77
082023,2020,F,TOTAL,,ALL,FRGAPO,71
082023,2021,F,TOTAL,,ALL,FRGAPO,59
082023,2022,F,TOTAL,,ALL,FRGAPO,60
082023,2023,F,TOTAL,,ALL,FRGAPO,71
082023,2024,F,TOTAL,,ALL,FRGAPO,75
082023,2018,F,TOTAL,,ALL,ITL,5706
082023,2019,F,TOTAL,,ALL,ITL,5769
082023,2020,F,TOTAL,,ALL,ITL,5818
082023,2021,F,TOTAL,,ALL,ITL,5829
082023,2022,F,TOTAL,,ALL,ITL,5851
082023,2023,F,TOTAL,,ALL,ITL,5859
082023,2024,F,TOTAL,,ALL,ITL,5891
082023,2018,F,TOTAL,,ALL,TOTAL,5786
082023,2019,F,TOTAL,,ALL,TOTAL,5846
082023,2020,F,TOTAL,,ALL,TOTAL,5889
082023,2021,F,TOTAL,,ALL,TOTAL,5888
082023,2022,F,TOTAL,,ALL,TOTAL,5911
082023,2023,F,TOTAL,,ALL,TOTAL,5930
082023,2024,F,TOTAL,,ALL,TOTAL,5966
082023,2018,F,Y_GE100,,ALL,ITL,3
082023,2019,F,Y_GE100,,ALL,ITL,2
082023,2020,F,Y_GE100,,ALL,ITL,2
082023,2021,F,Y_GE100,,ALL,ITL,2
082023,2023,F,Y_GE100,,ALL,ITL,1
082023,2024,F,Y_GE100,,ALL,ITL,1
082023,2018,F,Y_GE100,,ALL,TOTAL,3
082023,2019,F,Y_GE100,,ALL,TOTAL,2
082023,2020,F,Y_GE100,,ALL,TOTAL,2
082023,2021,F,Y_GE100,,ALL,TOTAL,2
082023,2023,F,Y_GE100,,ALL,TOTAL,1
082023,2024,F,Y_GE100,,ALL,TOTAL,1
082023,2021,F,Y0,0.0,ALL,ITL,46
082023,2022,F,Y0,0.0,ALL,ITL,41
082023,2023,F,Y0,0.0,ALL,ITL,50
082023,2024,F,Y0,0.0,ALL,ITL,47
082023,2021,F,Y0,0.0,ALL,TOTAL,46
082023,2022,F,Y0,0.0,ALL,TOTAL,41
082023,2023,F,Y0,0.0,ALL,TOTAL,50
082023,2024,F,Y0,0.0,ALL,TOTAL,47
082023,2021,F,Y1,1.0,ALL,ITL,47
082023,2022,F,Y1,1.0,ALL,ITL,44
082023,2023,F,Y1,1.0,ALL,ITL,43
082023,2024,F,Y1,1.0,ALL,ITL,50
082023,2021,F,Y1,1.0,ALL,TOTAL,47
082023,2022,F,Y1,1.0,ALL,TOTAL,44
082023,2023,F,Y1,1.0,ALL,TOTAL,43
082023,2024,F,Y1,1.0,ALL,TOTAL,50
082023,2021,F,Y10,10.0,ALL,ITL,56
082023,2022,F,Y10,10.0,ALL,ITL,72
082023,2023,F,Y10,10.0,ALL,ITL,71
082023,2024,F,Y10,10.0,ALL,ITL,57
082023,2021,F,Y10,10.0,ALL,TOTAL,56
082023,2022,F,Y10,10.0,ALL,TOTAL,72
082023,2023,F,Y10,10.0,ALL,TOTAL,71
082023,2024,F,Y10,10.0,ALL,TOTAL,57
082023,2021,F,Y11,11.0,ALL,FRGAPO,3
082023,2021,F,Y11,11.0,ALL,ITL,64
082023,2022,F,Y11,11.0,ALL,ITL,56
082023,2023,F,Y11,11.0,ALL,ITL,73
082023,2024,F,Y11,11.0,ALL,ITL,71
082023,2021,F,Y11,11.0,ALL,TOTAL,67
082023,2022,F,Y11,11.0,ALL,TOTAL,56
082023,2023,F,Y11,11.0,ALL,TOTAL,73
082023,2024,F,Y11,11.0,ALL,TOTAL,71
082023,2021,F,Y12,12.0,ALL,FRGAPO,1
082023,2022,F,Y12,12.0,ALL,FRGAPO,3
082023,2021,F,Y12,12.0,ALL,ITL,65
082023,2022,F,Y12,12.0,ALL,ITL,67
082023,2023,F,Y12,12.0,ALL,ITL,55
082023,2024,F,Y12,12.0,ALL,ITL,73
082023,2021,F,Y12,12.0,ALL,TOTAL,66
082023,2022,F,Y12,12.0,ALL,TOTAL,70
082023,2023,F,Y12,12.0,ALL,TOTAL,55
082023,2024,F,Y12,12.0,ALL,TOTAL,73
082023,2021,F,Y13,13.0,ALL,FRGAPO,1
082023,2022,F,Y13,13.0,ALL,FRGAPO,1
082023,2023,F,Y13,13.0,ALL,FRGAPO,3
082023,2021,F,Y13,13.0,ALL,ITL,57
082023,2022,F,Y13,13.0,ALL,ITL,61
082023,2023,F,Y13,13.0,ALL,ITL,68
082023,2024,F,Y13,13.0,ALL,ITL,55
082023,2021,F,Y13,13.0,ALL,TOTAL,58
082023,2022,F,Y13,13.0,ALL,TOTAL,62
082023,2023,F,Y13,13.0,ALL,TOTAL,71
082023,2024,F,Y13,13.0,ALL,TOTAL,55
082023,2022,F,Y14,14.0,ALL,FRGAPO,1
082023,2023,F,Y14,14.0,ALL,FRGAPO,1
082023,2024,F,Y14,14.0,ALL,FRGAPO,3
082023,2021,F,Y14,14.0,ALL,ITL,63
082023,2022,F,Y14,14.0,ALL,ITL,60
082023,2023,F,Y14,14.0,ALL,ITL,65
082023,2024,F,Y14,14.0,ALL,ITL,67
082023,2021,F,Y14,14.0,ALL,TOTAL,63
082023,2022,F,Y14,14.0,ALL,TOTAL,61
082023,2023,F,Y14,14.0,ALL,TOTAL,66
082023,2024,F,Y14,14.0,ALL,TOTAL,70
082023,2021,F,Y15,15.0,ALL,FRGAPO,4
082023,2023,F,Y15,15.0,ALL,FRGAPO,1
082023,2024,F,Y15,15.0,ALL,FRGAPO,1
082023,2021,F,Y15,15.0,ALL,ITL,59
082023,2022,F,Y15,15.0,ALL,ITL,60
082023,2023,F,Y15,15.0,ALL,ITL,62
082023,2024,F,Y15,15.0,ALL,ITL,66
082023,2021,F,Y15,15.0,ALL,TOTAL,63
082023,2022,F,Y15,15.0,ALL,TOTAL,60
082023,2023,F,Y15,15.0,ALL,TOTAL,63
082023,2024,F,Y15,15.0,ALL,TOTAL,67
082023,2022,F,Y16,16.0,ALL,FRGAPO,4
082023,2024,F,Y16,16.0,ALL,FRGAPO,1
082023,2021,F,Y16,16.0,ALL,ITL,71
082023,2022,F,Y16,16.0,ALL,ITL,59
082023,2023,F,Y16,16.0,ALL,ITL,58
082023,2024,F,Y16,16.0,ALL,ITL,61
082023,2021,F,Y16,16.0,ALL,TOTAL,71
082023,2022,F,Y16,16.0,ALL,TOTAL,63
082023,2023,F,Y16,16.0,ALL,TOTAL,58
082023,2024,F,Y16,16.0,ALL,TOTAL,62
082023,2023,F,Y17,17.0,ALL,FRGAPO,4
082023,2021,F,Y17,17.0,ALL,ITL,52
082023,2022,F,Y17,17.0,ALL,ITL,69
082023,2023,F,Y17,17.0,ALL,ITL,60
082023,2024,F,Y17,17.0,ALL,ITL,57
082023,2021,F,Y17,17.0,ALL,TOTAL,52
082023,2022,F,Y17,17.0,ALL,TOTAL,69
082023,2023,F,Y17,17.0,ALL,TOTAL,64
082023,2024,F,Y17,17.0,ALL,TOTAL,57
082023,2021,F,Y18,18.0,ALL,FRGAPO,1
082023,2024,F,Y18,18.0,ALL,FRGAPO,3
082023,2021,F,Y18,18.0,ALL,ITL,60
082023,2022,F,Y18,18.0,ALL,ITL,55
082023,2023,F,Y18,18.0,ALL,ITL,67
