territorio,nome_comune,x,y
081001,Alcamo,321820,4204259
081002,Buseto Palizzolo,300539,4207720
081003,Calatafimi-Segesta,312674,4197132
081004,Campobello di Mazara,298114,4165062
081005,Castellammare del Golfo,309378,4210186
081006,Castelvetrano,308296,4170830
081007,Custonaci,298460,4216793
081008,Erice,288712,4209726
081009,Favignana,263987,4201495
081010,Gibellina,320408,4186997
081011,Marsala,286601,4189405
081012,Mazara del Vallo,290708,4174090
081013,Paceco,289950,4202656
081014,Pantelleria,232375,4075458
081015,Partanna,314613,4176455
081016,Poggioreale,327944,4184006
081017,Salaparuta,322568,4181113
081018,Salemi,304551,4188375
081019,Santa Ninfa,311883,4183215
081020,San Vito Lo Capo,303439,4221920
081021,Trapani,298671,4197267
081022,Valderice,292582,4211633
081023,Vita,310711,4192268
081024,Petrosino,280699,4175810
081025,Misiliscemi,284157,4198994
082001,Alia,388774,4180167
082002,Alimena,420619,4169988
082003,Aliminusa,392395,4191557
082004,Altavilla Milicia,375206,4208816
082005,Altofonte,352202,4210325
082006,Bagheria,368179,4215633
082007,Balestrate,325771,4213332
082008,Baucina,370863,4199564
082009,Belmonte Mezzagno,358526,4210952
082010,Bisacquino,337668,4183889
082011,Bolognetta,365755,4205022
082012,Bompietro,419262,4174844
082013,Borgetto,338339,4212080
082014,Caccamo,384050,4193488
082015,Caltavuturo,405543,4182253
082016,Campofelice di Fitalia,368251,4186098
082017,Campofelice di Roccella,402071,4205269
082018,Campofiorito,347111,4180039
082019,Camporeale,332365,4195476
082020,Capaci,345518,4225907
082021,Carini,340503,4222036
082022,Castelbuono,420852,4198609
082023,Casteldaccia,370164,4208015
082024,Castellana Sicula,414924,4177020
082025,Castronovo di Sicilia,378223,4173825
082026,Cefalà Diana,364856,4197477
082027,Cefalù,415808,4205409
082028,Cerda,396552,4195041
082029,Chiusa Sclafani,348571,4169973
082030,Ciminna,372959,4193037
082031,Cinisi,334790,4224378
082032,Collesano,404396,4198661
082033,Contessa Entellina,333074,4178692
082034,Corleone,349807,4184228
082035,Ficarazzi,365357,4217092
082036,Gangi,431606,4178100
082037,Geraci Siculo,429424,4188440
082038,Giardinello,339663,4215590
082039,Giuliana,343416,4169391
082040,Godrano,360675,4191570
082041,Gratteri,410209,4202814
082042,Isnello,412515,4196213
082043,Isola delle Femmine,346685,4228334
082044,Lascari,406461,4206279
082045,Lercara Friddi,378564,4178325
082046,Marineo,361670,4201045
082047,Mezzojuso,365469,4192350
082048,Misilmeri,363292,4209163
082049,Monreale,331897,4201125
082050,Montelepre,340260,4216905
082051,Montemaggiore Belsito,391430,4188130
082052,Palazzo Adriano,358436,4169507
082053,Palermo,352054,4222542
082054,Partinico,329046,4209214
082055,Petralia Soprana,422668,4183132
082056,Petralia Sottana,416303,4178283
082057,Piana degli Albanesi,350682,4203469
082058,Polizzi Generosa,409605,4181459
082059,Pollina,422973,4205379
082060,Prizzi,363435,4177408
082061,Roccamena,338681,4187421
082062,Roccapalumba,381289,4184444
082063,San Cipirello,339962,4200436
082064,San Giuseppe Jato,337917,4203779
082065,San Mauro Castelverde,429660,4197966
082066,Santa Cristina Gela,353588,4204415
082067,Santa Flavia,370792,4214344
082068,Sciara,390347,4198336
082069,Sclafani Bagni,392468,4177290
082070,Termini Imerese,386235,4201712
082071,Terrasini,331761,4220607
082072,Torretta,344640,4223996
082073,Trabia,377433,4205557
082074,Trappeto,330050,4215762
082075,Ustica,341372,4285547
082076,Valledolmo,396772,4178991
082077,Ventimiglia di Sicilia,370004,4205282
082078,Vicari,374526,4183624
082079,Villabate,363440,4215562
082080,Villafrati,367059,4199114
082081,Scillato,405882,4190417
082082,Blufi,418304,4178294
083001,Alcara li Fusi,473709,4204571
083002,Alì,535807,4210609
083003,Alì Terme,537575,4207656
083004,Antillo,519417,4201844
083005,Barcellona Pozzo di Gotto,520183,4220023
083006,Basicò,505787,4212332
083007,Brolo,485637,4221798
083008,Capizzi,453441,4190331
083009,Capo d'Orlando,476042,4220669
083010,Capri Leone,475486,4216495
083011,Caronia,454872,4203005
083012,Casalvecchio Siculo,523653,4204446
083013,Castel di Lucio,438110,4192776
083014,Castell'Umberto,483524,4214154
083015,Castelmola,522974,4190812
083016,Castroreale,520530,4213200
083017,Cesarò,469752,4192077
083018,Condrò,528735,4224636
083019,Falcone,505970,4217452
083020,Ficarra,485388,4219143
083021,Fiumedinisi,532568,4210745
083022,Floresta,492476,4201999
083023,Fondachelli-Fantina,516626,4206594
083024,Forza d'Agrò,525772,4197894
083025,Francavilla di Sicilia,510546,4198495
083026,Frazzanò,478052,4212579
083027,Furci Siculo,526305,4205423
083028,Furnari,510130,4217230
083029,Gaggi,519740,4191010
083030,Galati Mamertino,481498,4206805
083031,Gallodoro,526666,4195155
083032,Giardini-Naxos,523221,4186786
083033,Gioiosa Marea,493144,4222553
083034,Graniti,519242,4194206
083035,Gualtieri Sicaminò,530151,4221015
083036,Itala,537464,4211603
083037,Leni,485225,4266979
083038,Letojanni,527468,4193910
083039,Librizzi,496769,4215262
083040,Limina,523982,4199671
083041,Lipari,494751,4259213
083042,Longi,479823,4202404
083043,Malfa,485331,4269651
083044,Malvagna,504911,4196943
083045,Mandanici,528545,4207390
083046,Mazzarrà Sant'Andrea,511634,4214859
083047,Merì,522666,4223762
083048,Messina,544916,4225260
083049,Milazzo,521122,4231389
083050,Militello Rosmarino,470179,4206472
083051,Mirto,478403,4215466
083052,Mistretta,445723,4195386
083053,Moio Alcantara,503437,4196616
083054,Monforte San Giorgio,534565,4222002
083055,Mongiuffi Melia,522788,4195407
083056,Montagnareale,494508,4220046
083057,Montalbano Elicona,501443,4208202
083058,Motta Camastra,516453,4195191
083059,Motta d'Affermo,439507,4204335
083060,Naso,479968,4219787
083061,Nizza di Sicilia,530580,4208437
083062,Novara di Sicilia,511567,4208641
083063,Oliveri,503680,4218025
083064,Pace del Mela,526605,4226323
083065,Pagliara,527159,4206099
083066,Patti,499578,4218520
083067,Pettineo,438688,4201215
083068,Piraino,488809,4222677
083069,Raccuja,492995,4209104
083070,Reitano,441921,4204599
083071,Roccafiorita,522996,4198517
083072,Roccalumera,533448,4204690
083073,Roccavaldina,533362,4225493
083074,Roccella Valdemone,500233,4199263
083075,Rodì Milici,514891,4213135
083076,Rometta,536097,4225416
083077,San Filippo del Mela,524286,4225594
083078,San Fratello,465761,4202596
083079,San Marco d'Alunzio,474389,4212901
083080,San Pier Niceto,531551,4222203
083081,San Piero Patti,496527,4209212
083082,San Salvatore di Fitalia,480970,4213324
083083,Santa Domenica Vittoria,496681,4198123
083084,Sant'Agata di Militello,468195,4208684
083085,Sant'Alessio Siculo,529674,4197395
083086,Santa Lucia del Mela,526442,4216832
083087,Santa Marina Salina,487638,4267323
083088,Sant'Angelo di Brolo,490662,4217039
083089,Santa Teresa di Riva,531873,4199967
083090,San Teodoro,472902,4187481
083091,Santo Stefano di Camastra,444520,4204542
083092,Saponara,539294,4227242
083093,Savoca,529911,4200782
083094,Scaletta Zanclea,540106,4211601
083095,Sinagra,487030,4215003
083096,Spadafora,534309,4228729
083097,Taormina,524158,4188880
083098,Torregrotta,530628,4228597
083099,Tortorici,486967,4204729
083100,Tripi - Abakainon,507118,4209959
083101,Tusa,433185,4204623
083102,Ucria,489981,4208503
083103,Valdina,531697,4228531
083104,Venetico,532831,4228125
083105,Villafranca Tirrena,540626,4230029
083106,Terme Vigliatore,513466,4220018
083107,Acquedolci,463545,4211765
083108,Torrenova,472980,4216530
084001,Agrigento,374548,4131014
084002,Alessandria della Rocca,364943,4156037
084003,Aragona,376447,4142373
084004,Bivona,359050,4159503
084005,Burgio,349197,4165341
084006,Calamonaci,351296,4153946
084007,Caltabellotta,342384,4159391
084008,Camastra,393952,4122860
084009,Cammarata,390477,4165568
084010,Campobello di Licata,402527,4120902
084011,Canicattì,396891,4137531
084012,Casteltermini,378207,4153896
084013,Castrofilippo,389236,4135666
084014,Cattolica Eraclea,355475,4143647
084015,Cianciana,361577,4151942
084016,Comitini,380575,4141229
084017,Favara,381979,4130691
084018,Grotte,384169,4142422
084019,Joppolo Giancaxio,373022,4138404
084020,Lampedusa e Linosa,281852,3932477
084021,Licata,403942,4113462
084022,Lucca Sicula,352545,4158135
084023,Menfi,321378,4164327
084024,Montallegro,355621,4139231
084025,Montevago,320050,4174003
084026,Naro,389779,4126073
084027,Palma di Montechiaro,390472,4115803
084028,Porto Empedocle,367022,4130442
084029,Racalmuto,389922,4139611
084030,Raffadali,369473,4140508
084031,Ravanusa,410073,4122262
084032,Realmonte,362765,4130730
084033,Ribera,349462,4147590
084034,Sambuca di Sicilia,336029,4169201
084035,San Biagio Platani,370573,4153251
084036,San Giovanni Gemini,380706,4164321
084037,Santa Elisabetta,370887,4144892
084038,Santa Margherita di Belice,326405,4172663
084039,Sant'Angelo Muxaro,367857,4147473
084040,Santo Stefano Quisquina,368926,4162174
084041,Sciacca,331388,4157375
084042,Siculiana,357861,4135500
084043,Villafranca Sicula,348311,4159143
085001,Acquaviva Platani,384801,4158319
085002,Bompensiere,393047,4147564
085003,Butera,422509,4117126
085004,Caltanissetta,412799,4146989
085005,Campofranco,384865,4149861
085006,Delia,404214,4134080
085007,Gela,435720,4104967
085008,Marianopoli,402765,4161887
085009,Mazzarino,438430,4123440
085010,Milena,388835,4146332
085011,Montedoro,395848,4146148
085012,Mussomeli,395774,4156646
085013,Niscemi,447848,4111248
085014,Resuttano,417155,4165826
085015,Riesi,419311,4128404
085016,San Cataldo,405265,4152201
085017,Santa Caterina Villarmosa,422857,4160024
085018,Serradifalco,400324,4144815
085019,Sommatino,412445,4130737
085020,Sutera,389796,4153264
085021,Vallelunga Pratameno,393924,4174051
085022,Villalba,399534,4166053
086001,Agira,459176,4163311
086002,Aidone,456662,4142407
086003,Assoro,450247,4161716
086004,Barrafranca,429223,4135475
086005,Calascibetta,434900,4165634
086006,Catenanuova,473298,4158331
086007,Centuripe,477678,4161768
086008,Cerami,457760,4185660
086009,Enna,433965,4152992
086010,Gagliano Castelferrato,459633,4175505
086011,Leonforte,443816,4166132
086012,Nicosia,448179,4178106
086013,Nissoria,450640,4171727
086014,Piazza Armerina,441329,4136106
086015,Pietraperzia,423304,4140362
086016,Regalbuto,470535,4167167
086017,Sperlinga,440658,4177854
086018,Troina,468017,4179065
