territorio,nome_comune,parte,anello,ordine,x,y
081001,Alcamo,0,0,0,323035,4211702
081001,Alcamo,0,0,1,322951,4210753
081001,Alcamo,0,0,2,323084,4210013
081001,Alcamo,0,0,3,323321,4209601
081001,Alcamo,0,0,4,324201,4209176
081001,Alcamo,0,0,5,324541,4208783
081001,Alcamo,0,0,6,324818,4208019
081001,Alcamo,0,0,7,324597,4207449
081001,Alcamo,0,0,8,324713,4206797
081001,Alcamo,0,0,9,326696,4205157
081001,Alcamo,0,0,10,326551,4204341
081001,Alcamo,0,0,11,326708,4203921
081001,Alcamo,0,0,12,327581,4204364
081001,Alcamo,0,0,13,327868,4204177
081001,Alcamo,0,0,14,328379,4203326
081001,Alcamo,0,0,15,329003,4203014
081001,Alcamo,0,0,16,328202,4202648
081001,Alcamo,0,0,17,327973,4201829
081001,Alcamo,0,0,18,328271,4200797
081001,Alcamo,0,0,19,327775,4199086
081001,Alcamo,0,0,20,328324,4198447
081001,Alcamo,0,0,21,327474,4198001
081001,Alcamo,0,0,22,326866,4197309
081001,Alcamo,0,0,23,325586,4196692
081001,Alcamo,0,0,24,324205,4197261
081001,Alcamo,0,0,25,324124,4197565
081001,Alcamo,0,0,26,323751,4197913
081001,Alcamo,0,0,27,323713,4197454
081001,Alcamo,0,0,28,323946,4196712
081001,Alcamo,0,0,29,323516,4196329
081001,Alcamo,0,0,30,322901,4196706
081001,Alcamo,0,0,31,322006,4196516
081001,Alcamo,0,0,32,320575,4196748
081001,Alcamo,0,0,33,320229,4196405
081001,Alcamo,0,0,34,319018,4197210
081001,Alcamo,0,0,35,319048,4198394
081001,Alcamo,0,0,36,318903,4198800
081001,Alcamo,0,0,37,317489,4199512
081001,Alcamo,0,0,38,317594,4200045
081001,Alcamo,0,0,39,318269,4200906
081001,Alcamo,0,0,40,317054,4203801
081001,Alcamo,0,0,41,317063,4204777
081001,Alcamo,0,0,42,317396,4205214
081001,Alcamo,0,0,43,317592,4206251
081001,Alcamo,0,0,44,316944,4207343
081001,Alcamo,0,0,45,316007,4208279
081001,Alcamo,0,0,46,315944,4208527
081001,Alcamo,0,0,47,316133,4209064
081001,Alcamo,0,0,48,315474,4209527
081001,Alcamo,0,0,49,316369,4210667
081001,Alcamo,0,0,50,319554,4211212
081001,Alcamo,0,0,51,322487,4212217
081001,Alcamo,0,0,52,323035,4211702
081002,Buseto Palizzolo,0,0,0,299507,4212792
081002,Buseto Palizzolo,0,0,1,300059,4212867
081002,Buseto Palizzolo,0,0,2,299778,4212624
081002,Buseto Palizzolo,0,0,3,300053,4211958
