territorio,territorio_nome,anno,quota_almeno_diploma,quota_occupati_25_49,nota
082006,Bagheria,2018,56.17606602475929,42.99312242090784,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2019,56.9474158315505,44.10539353676388,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2020,58.846512712852814,,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2021,59.95550611790879,48.16462736373749,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2022,61.21517486662715,49.60877296976882,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2023,61.484332711854215,51.50658567390389,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082006,Bagheria,2024,62.3784637822071,53.59747204666991,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2018,60.854710455249624,48.95887448926581,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2019,61.42288805819552,49.87603663165582,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2020,62.88549557292187,,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2021,63.63932060052246,53.919964220733675,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2022,64.98065558657338,54.89048524179222,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2023,65.05189947337686,56.68116940850909,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
082053,Palermo,2024,65.63123305544713,58.407974033057585,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2018,70.34255443415765,68.79099144853029,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2019,71.40469615924225,69.7196167830889,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2020,72.65226553376975,,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2021,73.61037615265728,71.6553191536372,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2022,74.85528838345446,72.4334461956103,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2023,75.29107057864316,73.88360554706873,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
IT,Italia,2024,75.88026784098727,74.69806751140631,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2018,61.386742653924415,50.333994253835634,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2019,62.14137800906326,51.26559036465518,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2020,63.95710810828531,,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2021,64.81530054644809,54.41530054644809,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2022,66.04856256452146,55.70263661714606,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2023,65.76774040696819,57.70944988698371,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
ITG1,Sicilia,2024,66.50598572991974,59.32714249360683,Aggregati separati sulla stessa fascia; non misura l'occupazione dei diplomati.
