territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082006,2018,F,TOTAL,,ALL,FRGAPO,269
082006,2019,F,TOTAL,,ALL,FRGAPO,312
082006,2020,F,TOTAL,,ALL,FRGAPO,305
082006,2021,F,TOTAL,,ALL,FRGAPO,299
082006,2022,F,TOTAL,,ALL,FRGAPO,330
082006,2023,F,TOTAL,,ALL,FRGAPO,344
082006,2024,F,TOTAL,,ALL,FRGAPO,374
082006,2018,F,TOTAL,,ALL,ITL,27263
082006,2019,F,TOTAL,,ALL,ITL,27062
082006,2020,F,TOTAL,,ALL,ITL,26923
082006,2021,F,TOTAL,,ALL,ITL,26950
082006,2022,F,TOTAL,,ALL,ITL,26891
082006,2023,F,TOTAL,,ALL,ITL,26791
082006,2024,F,TOTAL,,ALL,ITL,26799
082006,2018,F,TOTAL,,ALL,TOTAL,27532
082006,2019,F,TOTAL,,ALL,TOTAL,27374
082006,2020,F,TOTAL,,ALL,TOTAL,27228
082006,2021,F,TOTAL,,ALL,TOTAL,27249
082006,2022,F,TOTAL,,ALL,TOTAL,27221
082006,2023,F,TOTAL,,ALL,TOTAL,27135
082006,2024,F,TOTAL,,ALL,TOTAL,27173
082006,2018,F,Y_GE100,,ALL,ITL,8
082006,2019,F,Y_GE100,,ALL,ITL,5
082006,2020,F,Y_GE100,,ALL,ITL,9
082006,2021,F,Y_GE100,,ALL,ITL,11
082006,2022,F,Y_GE100,,ALL,ITL,11
082006,2023,F,Y_GE100,,ALL,ITL,14
082006,2024,F,Y_GE100,,ALL,ITL,12
082006,2018,F,Y_GE100,,ALL,TOTAL,8
082006,2019,F,Y_GE100,,ALL,TOTAL,5
082006,2020,F,Y_GE100,,ALL,TOTAL,9
082006,2021,F,Y_GE100,,ALL,TOTAL,11
082006,2022,F,Y_GE100,,ALL,TOTAL,11
082006,2023,F,Y_GE100,,ALL,TOTAL,14
082006,2024,F,Y_GE100,,ALL,TOTAL,12
082006,2021,F,Y0,0.0,ALL,FRGAPO,1
082006,2022,F,Y0,0.0,ALL,FRGAPO,5
082006,2023,F,Y0,0.0,ALL,FRGAPO,4
082006,2024,F,Y0,0.0,ALL,FRGAPO,5
082006,2021,F,Y0,0.0,ALL,ITL,200
082006,2022,F,Y0,0.0,ALL,ITL,220
082006,2023,F,Y0,0.0,ALL,ITL,194
082006,2024,F,Y0,0.0,ALL,ITL,203
082006,2021,F,Y0,0.0,ALL,TOTAL,201
082006,2022,F,Y0,0.0,ALL,TOTAL,225
082006,2023,F,Y0,0.0,ALL,TOTAL,198
082006,2024,F,Y0,0.0,ALL,TOTAL,208
082006,2021,F,Y1,1.0,ALL,FRGAPO,3
082006,2022,F,Y1,1.0,ALL,FRGAPO,2
082006,2023,F,Y1,1.0,ALL,FRGAPO,4
082006,2024,F,Y1,1.0,ALL,FRGAPO,4
082006,2021,F,Y1,1.0,ALL,ITL,240
082006,2022,F,Y1,1.0,ALL,ITL,198
082006,2023,F,Y1,1.0,ALL,ITL,217
082006,2024,F,Y1,1.0,ALL,ITL,194
082006,2021,F,Y1,1.0,ALL,TOTAL,243
082006,2022,F,Y1,1.0,ALL,TOTAL,200
082006,2023,F,Y1,1.0,ALL,TOTAL,221
082006,2024,F,Y1,1.0,ALL,TOTAL,198
082006,2021,F,Y10,10.0,ALL,FRGAPO,3
082006,2024,F,Y10,10.0,ALL,FRGAPO,4
082006,2021,F,Y10,10.0,ALL,ITL,266
082006,2022,F,Y10,10.0,ALL,ITL,257
082006,2023,F,Y10,10.0,ALL,ITL,214
082006,2024,F,Y10,10.0,ALL,ITL,250
