territorio,territorio_nome,anno,popolazione_15_34,indice_primo_anno_100,variazione_da_primo_anno_pct
082006,Bagheria,2021,12174,100.0,0.0
082006,Bagheria,2022,12118,99.54000328569082,-0.45999671430918454
082006,Bagheria,2023,11987,98.46393954328897,-1.5360604567110272
082006,Bagheria,2024,11861,97.42894693609331,-2.571053063906689
082053,Palermo,2021,137091,100.0,0.0
082053,Palermo,2022,135977,99.18740106936269,-0.8125989306373071
082053,Palermo,2023,135041,98.50464290143044,-1.4953570985695563
082053,Palermo,2024,134461,98.08156625890831,-1.9184337410916896
IT,Italia,2021,12002452,100.0,0.0
IT,Italia,2022,12063245,100.50650483751153,0.5065048375115282
IT,Italia,2023,12097168,100.78913875264821,0.7891387526482134
IT,Italia,2024,12144743,101.18551609287836,1.185516092878359
ITG1,Sicilia,2021,1060515,100.0,0.0
ITG1,Sicilia,2022,1051139,99.11590123666332,-0.8840987633366808
ITG1,Sicilia,2023,1040077,98.07282310952698,-1.9271768904730209
ITG1,Sicilia,2024,1033063,97.41144632560595,-2.588553674394049
