territorio,anno,genere,conteggio,casalinghe_o_i_%,percettori_pensione_%,altra_condizione_%,nome_territorio
082006,2018,F,376.0,12.4,0.1,7.9,Bagheria
082006,2018,M,25.0,0.8,0.2,17.9,Bagheria
082006,2018,T,401.0,6.4,0.1,13.0,Bagheria
082006,2019,F,324.0,10.9,0.1,4.7,Bagheria
082006,2019,M,28.0,0.9,0.3,12.3,Bagheria
082006,2019,T,352.0,5.7,0.2,8.6,Bagheria
082006,2021,F,421.364807529602,14.8,0.1,6.1,Bagheria
082006,2021,M,47.0480565620274,1.5,0.3,15.7,Bagheria
082006,2021,T,468.412864091629,8.0,0.2,11.1,Bagheria
082006,2022,F,364.106237637171,12.8,0.1,5.8,Bagheria
082006,2022,M,41.2042508487194,1.4,0.3,14.0,Bagheria
082006,2022,T,405.31048848589,6.9,0.2,10.0,Bagheria
082006,2023,F,421.07368105452446,14.6,0.1,6.1,Bagheria
082006,2023,M,55.35814113462344,1.8,0.3,15.8,Bagheria
082006,2023,T,476.4318221891479,8.1,0.2,11.0,Bagheria
082006,2024,F,386.841120738826,13.4,0.1,6.4,Bagheria
082006,2024,M,50.22238722149622,1.7,0.4,16.1,Bagheria
082006,2024,T,437.0635079603222,7.4,0.3,11.3,Bagheria
082053,2018,F,3401.0,9.9,0.1,5.3,Palermo
082053,2018,M,238.0,0.7,0.2,12.2,Palermo
082053,2018,T,3639.0,5.1,0.1,8.8,Palermo
082053,2019,F,3258.0,9.7,0.1,3.8,Palermo
082053,2019,M,294.0,0.8,0.2,10.2,Palermo
082053,2019,T,3552.0,5.1,0.2,7.1,Palermo
082053,2021,F,4019.98626869286,12.5,0.1,4.6,Palermo
082053,2021,M,495.315432309905,1.4,0.2,12.0,Palermo
082053,2021,T,4515.30170100277,6.8,0.1,8.5,Palermo
082053,2022,F,3314.51192972051,10.2,0.1,4.8,Palermo
082053,2022,M,364.763862624922,1.1,0.3,11.1,Palermo
082053,2022,T,3679.27579234543,5.5,0.2,8.0,Palermo
082053,2023,F,3537.8313274647494,10.9,0.1,4.4,Palermo
082053,2023,M,491.47085104642014,1.4,0.3,11.2,Palermo
082053,2023,T,4029.3021785111696,6.0,0.2,7.9,Palermo
082053,2024,F,3701.081994242394,11.3,0.1,5.0,Palermo
082053,2024,M,479.7013201052901,1.4,0.4,12.5,Palermo
082053,2024,T,4180.783314347684,6.2,0.3,8.9,Palermo
IT,2018,F,138881.0,5.0,0.1,5.1,Italia
IT,2018,M,9723.0,0.3,0.1,9.0,Italia
IT,2018,T,148604.0,2.5,0.1,7.2,Italia
IT,2019,F,127675.0,4.6,0.1,4.3,Italia
IT,2019,M,10717.0,0.4,0.2,8.0,Italia
IT,2019,T,138392.0,2.4,0.1,6.2,Italia
IT,2021,F,158426.275085069,5.7,0.1,4.9,Italia
IT,2021,M,17943.0134589889,0.6,0.2,8.7,Italia
IT,2021,T,176369.288544058,3.0,0.2,6.9,Italia
IT,2022,F,128820.534296077,4.6,0.1,4.1,Italia
IT,2022,M,13462.8864247861,0.4,0.3,7.5,Italia
IT,2022,T,142283.420720863,2.4,0.2,5.9,Italia
IT,2023,F,123759.37745425772,4.4,0.1,4.1,Italia
IT,2023,M,15237.947451518528,0.5,0.2,7.7,Italia
IT,2023,T,138997.32490577624,2.4,0.2,6.0,Italia
IT,2024,F,129451.6889209912,4.6,0.1,4.4,Italia
IT,2024,M,17417.13069133934,0.6,0.3,8.5,Italia
IT,2024,T,146868.81961233052,2.5,0.2,6.5,Italia
ITG1,2018,F,25680.0,9.9,0.1,6.5,Sicilia
ITG1,2018,M,1849.0,0.7,0.2,14.9,Sicilia
ITG1,2018,T,27529.0,5.1,0.2,10.9,Sicilia
ITG1,2019,F,23165.0,9.1,0.1,4.5,Sicilia
ITG1,2019,M,2165.0,0.8,0.3,11.7,Sicilia
ITG1,2019,T,25330.0,4.8,0.2,8.2,Sicilia
ITG1,2021,F,29609.1104481034,12.0,0.1,5.5,Sicilia
ITG1,2021,M,3807.01097766797,1.4,0.3,13.7,Sicilia
ITG1,2021,T,33416.1214257713,6.5,0.2,9.8,Sicilia
ITG1,2022,F,24611.9397483521,10.0,0.1,5.1,Sicilia
ITG1,2022,M,2730.29607030749,1.0,0.4,11.7,Sicilia
ITG1,2022,T,27342.2358186596,5.3,0.2,8.6,Sicilia
ITG1,2023,F,24323.95904857281,9.9,0.1,4.5,Sicilia
ITG1,2023,M,3288.6135929392085,1.2,0.3,11.2,Sicilia
ITG1,2023,T,27612.572641512023,5.4,0.2,8.0,Sicilia
ITG1,2024,F,24486.64787525704,10.1,0.1,5.1,Sicilia
ITG1,2024,M,3294.7855873817407,1.2,0.5,12.7,Sicilia
ITG1,2024,T,27781.43346263877,5.5,0.3,9.1,Sicilia
