territorio,indicatore,decennale_2011,permanente_2018,scarto_2011_2018,salto_2019_2021
Bagheria,L2,28.7,30.4,1.7,-4.7
Palermo,L2,35.9,37.3,1.4,-4.2
Sicilia,L2,33.0,35.9,2.9,-4.3
Italia,L2,41.8,44.0,2.2,-1.6
Bagheria,L11,18.1,18.8,0.7,1.2
Palermo,L11,25.5,25.0,-0.5,1.8
Sicilia,L11,24.0,24.8,0.8,1.0
Italia,L11,36.1,36.8,0.7,0.5
Bagheria,L10,43.1,40.4,-2.7,2.1
Palermo,L10,45.0,43.5,-1.5,1.5
Sicilia,L10,46.9,44.6,-2.3,0.6
Italia,L10,54.8,53.8,-1.0,-0.0
Bagheria,L7,36.9,38.1,1.2,-15.5
Palermo,L7,29.1,32.9,3.8,-14.1
Sicilia,L7,27.1,30.9,3.8,-12.8
Italia,L7,13.6,16.4,2.8,-4.5
