territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
082006,Bagheria,2018,F,occupati,4.7,142.0,dentro lavoro o studio
082006,Bagheria,2018,M,occupati,11.5,370.0,dentro lavoro o studio
082006,Bagheria,2018,T,occupati,8.2,512.0,dentro lavoro o studio
082006,Bagheria,2019,F,occupati,5.2,154.0,dentro lavoro o studio
082006,Bagheria,2019,M,occupati,11.8,373.0,dentro lavoro o studio
082006,Bagheria,2019,T,occupati,8.6,527.0,dentro lavoro o studio
082006,Bagheria,2021,F,occupati,6.2,176.0,dentro lavoro o studio
082006,Bagheria,2021,M,occupati,13.8,419.0,dentro lavoro o studio
082006,Bagheria,2021,T,occupati,10.1,595.0,dentro lavoro o studio
082006,Bagheria,2022,F,occupati,7.7,219.0,dentro lavoro o studio
082006,Bagheria,2022,M,occupati,15.4,467.0,dentro lavoro o studio
082006,Bagheria,2022,T,occupati,11.7,686.0,dentro lavoro o studio
082006,Bagheria,2023,F,occupati,8.0,231.0,dentro lavoro o studio
082006,Bagheria,2023,M,occupati,15.2,455.0,dentro lavoro o studio
082006,Bagheria,2023,T,occupati,11.7,686.0,dentro lavoro o studio
082006,Bagheria,2024,F,occupati,8.2,236.0,dentro lavoro o studio
082006,Bagheria,2024,M,occupati,16.5,498.0,dentro lavoro o studio
082006,Bagheria,2024,T,occupati,12.4,734.0,dentro lavoro o studio
082053,Palermo,2018,F,occupati,6.3,2174.0,dentro lavoro o studio
082053,Palermo,2018,M,occupati,12.0,4391.0,dentro lavoro o studio
082053,Palermo,2018,T,occupati,9.3,6565.0,dentro lavoro o studio
082053,Palermo,2019,F,occupati,6.9,2342.0,dentro lavoro o studio
082053,Palermo,2019,M,occupati,12.1,4352.0,dentro lavoro o studio
082053,Palermo,2019,T,occupati,9.6,6694.0,dentro lavoro o studio
082053,Palermo,2021,F,occupati,7.5,2427.0,dentro lavoro o studio
082053,Palermo,2021,M,occupati,13.9,4772.0,dentro lavoro o studio
082053,Palermo,2021,T,occupati,10.8,7199.0,dentro lavoro o studio
082053,Palermo,2022,F,occupati,8.6,2801.0,dentro lavoro o studio
082053,Palermo,2022,M,occupati,15.3,5237.0,dentro lavoro o studio
082053,Palermo,2022,T,occupati,12.0,8038.0,dentro lavoro o studio
082053,Palermo,2023,F,occupati,9.2,2999.0,dentro lavoro o studio
082053,Palermo,2023,M,occupati,15.5,5329.0,dentro lavoro o studio
082053,Palermo,2023,T,occupati,12.4,8328.0,dentro lavoro o studio
082053,Palermo,2024,F,occupati,9.6,3133.0,dentro lavoro o studio
082053,Palermo,2024,M,occupati,16.5,5683.0,dentro lavoro o studio
082053,Palermo,2024,T,occupati,13.2,8816.0,dentro lavoro o studio
IT,Italia,2018,F,occupati,14.1,392972.0,dentro lavoro o studio
IT,Italia,2018,M,occupati,22.3,678852.0,dentro lavoro o studio
IT,Italia,2018,T,occupati,18.4,1071824.0,dentro lavoro o studio
IT,Italia,2019,F,occupati,14.5,404460.0,dentro lavoro o studio
IT,Italia,2019,M,occupati,23.0,697746.0,dentro lavoro o studio
IT,Italia,2019,T,occupati,18.9,1102206.0,dentro lavoro o studio
IT,Italia,2021,F,occupati,15.0,416292.0,dentro lavoro o studio
IT,Italia,2021,M,occupati,24.8,746126.0,dentro lavoro o studio
IT,Italia,2021,T,occupati,20.1,1162418.0,dentro lavoro o studio
IT,Italia,2022,F,occupati,16.4,458524.0,dentro lavoro o studio
IT,Italia,2022,M,occupati,26.1,794188.0,dentro lavoro o studio
IT,Italia,2022,T,occupati,21.5,1252712.0,dentro lavoro o studio
IT,Italia,2023,F,occupati,16.9,475260.0,dentro lavoro o studio
IT,Italia,2023,M,occupati,26.4,809131.0,dentro lavoro o studio
IT,Italia,2023,T,occupati,21.9,1284391.0,dentro lavoro o studio
IT,Italia,2024,F,occupati,17.3,487633.0,dentro lavoro o studio
IT,Italia,2024,M,occupati,26.9,831827.0,dentro lavoro o studio
IT,Italia,2024,T,occupati,22.3,1319460.0,dentro lavoro o studio
ITG1,Sicilia,2018,F,occupati,7.5,19411.0,dentro lavoro o studio
ITG1,Sicilia,2018,M,occupati,14.8,41530.0,dentro lavoro o studio
ITG1,Sicilia,2018,T,occupati,11.3,60941.0,dentro lavoro o studio
ITG1,Sicilia,2019,F,occupati,8.0,20244.0,dentro lavoro o studio
ITG1,Sicilia,2019,M,occupati,15.4,42314.0,dentro lavoro o studio
ITG1,Sicilia,2019,T,occupati,11.8,62558.0,dentro lavoro o studio
ITG1,Sicilia,2021,F,occupati,8.4,20693.0,dentro lavoro o studio
ITG1,Sicilia,2021,M,occupati,17.2,45806.0,dentro lavoro o studio
ITG1,Sicilia,2021,T,occupati,13.0,66499.0,dentro lavoro o studio
ITG1,Sicilia,2022,F,occupati,9.3,22947.0,dentro lavoro o studio
ITG1,Sicilia,2022,M,occupati,18.6,49618.0,dentro lavoro o studio
ITG1,Sicilia,2022,T,occupati,14.2,72565.0,dentro lavoro o studio
ITG1,Sicilia,2023,F,occupati,9.9,24320.0,dentro lavoro o studio
ITG1,Sicilia,2023,M,occupati,19.3,51168.0,dentro lavoro o studio
ITG1,Sicilia,2023,T,occupati,14.8,75488.0,dentro lavoro o studio
ITG1,Sicilia,2024,F,occupati,10.4,25326.0,dentro lavoro o studio
ITG1,Sicilia,2024,M,occupati,20.3,53848.0,dentro lavoro o studio
ITG1,Sicilia,2024,T,occupati,15.6,79174.0,dentro lavoro o studio
082006,Bagheria,2018,F,in cerca,17.6,534.0,fuori ma in cerca
082006,Bagheria,2018,M,in cerca,18.6,596.0,fuori ma in cerca
082006,Bagheria,2018,T,in cerca,18.1,1130.0,fuori ma in cerca
082006,Bagheria,2019,F,in cerca,17.1,509.0,fuori ma in cerca
082006,Bagheria,2019,M,in cerca,19.3,607.0,fuori ma in cerca
082006,Bagheria,2019,T,in cerca,18.2,1116.0,fuori ma in cerca
082006,Bagheria,2021,F,in cerca,9.0,255.8,fuori ma in cerca
082006,Bagheria,2021,M,in cerca,12.2,371.6,fuori ma in cerca
082006,Bagheria,2021,T,in cerca,10.6,627.4,fuori ma in cerca
082006,Bagheria,2022,F,in cerca,9.1,260.5,fuori ma in cerca
082006,Bagheria,2022,M,in cerca,11.0,335.2,fuori ma in cerca
082006,Bagheria,2022,T,in cerca,10.1,595.7,fuori ma in cerca
082006,Bagheria,2023,F,in cerca,10.3,296.6,fuori ma in cerca
