territorio,genere,ritenzione_%,coorte,nome_territorio
082006,F,100.4,15-19 nel 2021,Bagheria
082006,M,98.5,15-19 nel 2021,Bagheria
082053,F,100.8,15-19 nel 2021,Palermo
082053,M,101.1,15-19 nel 2021,Palermo
IT,F,101.8,15-19 nel 2021,Italia
IT,M,104.8,15-19 nel 2021,Italia
ITG1,F,100.7,15-19 nel 2021,Sicilia
ITG1,M,103.0,15-19 nel 2021,Sicilia
082006,F,102.0,20-24 nel 2021,Bagheria
082006,M,99.7,20-24 nel 2021,Bagheria
082053,F,99.8,20-24 nel 2021,Palermo
082053,M,97.7,20-24 nel 2021,Palermo
IT,F,102.7,20-24 nel 2021,Italia
IT,M,104.1,20-24 nel 2021,Italia
ITG1,F,99.2,20-24 nel 2021,Sicilia
ITG1,M,98.3,20-24 nel 2021,Sicilia
082006,F,96.3,25-29 nel 2021,Bagheria
082006,M,101.2,25-29 nel 2021,Bagheria
082053,F,98.8,25-29 nel 2021,Palermo
082053,M,96.9,25-29 nel 2021,Palermo
IT,F,103.0,25-29 nel 2021,Italia
IT,M,103.8,25-29 nel 2021,Italia
ITG1,F,97.6,25-29 nel 2021,Sicilia
ITG1,M,97.6,25-29 nel 2021,Sicilia
