territorio,anno,eta,genere,popolazione,occupati,tasso_occupazione,quota_casalinghe,nome_territorio
082006,2018,Y15-24,F,3037.0,142.0,4.6757,12.3806,Bagheria
082006,2018,Y15-24,M,3206.0,370.0,11.5409,0.7798,Bagheria
082006,2018,Y25-49,F,9250.0,2641.0,28.5514,42.0973,Bagheria
082006,2018,Y25-49,M,8925.0,5173.0,57.9608,2.1849,Bagheria
082006,2018,Y50-64,F,5794.0,1530.0,26.4066,54.9534,Bagheria
082006,2018,Y50-64,M,5231.0,3002.0,57.3886,3.2499,Bagheria
082006,2019,Y15-24,F,2983.0,154.0,5.1626,10.8615,Bagheria
082006,2019,Y15-24,M,3151.0,373.0,11.8375,0.8886,Bagheria
082006,2019,Y25-49,F,9059.0,2696.0,29.7605,40.8765,Bagheria
082006,2019,Y25-49,M,8703.0,5138.0,59.0371,2.3325,Bagheria
082006,2019,Y50-64,F,5880.0,1543.0,26.2415,55.2211,Bagheria
082006,2019,Y50-64,M,5338.0,3220.0,60.3222,3.091,Bagheria
082006,2020,Y25-49,F,8782.0,,,,Bagheria
082006,2020,Y25-49,M,8366.0,,,,Bagheria
082006,2020,Y50-64,F,5883.0,,,,Bagheria
082006,2020,Y50-64,M,5369.0,,,,Bagheria
082006,2021,Y15-24,F,2852.0,176.0,6.1711,14.7744,Bagheria
082006,2021,Y15-24,M,3039.0,419.0,13.7874,1.5481,Bagheria
082006,2021,Y25-49,F,8679.0,2853.0,32.8725,45.7618,Bagheria
082006,2021,Y25-49,M,8402.0,5374.0,63.961,4.0397,Bagheria
082006,2021,Y50-64,F,5981.0,1641.0,27.4369,56.9329,Bagheria
082006,2021,Y50-64,M,5467.0,3382.0,61.8621,5.2487,Bagheria
082006,2022,Y15-24,F,2847.0,219.0,7.6923,12.7891,Bagheria
082006,2022,Y15-24,M,3035.0,467.0,15.3871,1.3576,Bagheria
082006,2022,Y25-49,F,8550.0,2918.0,34.1287,44.9533,Bagheria
082006,2022,Y25-49,M,8320.0,5451.0,65.5168,4.1573,Bagheria
082006,2022,Y50-64,F,6082.0,1670.0,27.4581,57.5049,Bagheria
082006,2022,Y50-64,M,5498.0,3412.0,62.0589,5.985,Bagheria
082006,2023,Y15-24,F,2881.0000000000005,231.0,8.018,14.6155,Bagheria
082006,2023,Y15-24,M,2998.0000000000005,455.0,15.1768,1.8465,Bagheria
082006,2023,Y25-49,F,8383.0,3068.0,36.5979,43.6731,Bagheria
082006,2023,Y25-49,M,8244.0,5496.0,66.6667,4.3409,Bagheria
082006,2023,Y50-64,F,6154.0,1773.0,28.8105,55.948,Bagheria
082006,2023,Y50-64,M,5515.0,3470.0,62.9193,6.1326,Bagheria
082006,2024,Y15-24,F,2882.0,236.0,8.1888,13.4227,Bagheria
082006,2024,Y15-24,M,3022.0,498.0,16.4792,1.6619,Bagheria
082006,2024,Y25-49,F,8267.0,3272.0,39.579,42.2245,Bagheria
082006,2024,Y25-49,M,8189.000000000001,5548.0,67.7494,3.8333,Bagheria
082006,2024,Y50-64,F,6211.0,1917.0,30.8646,55.2502,Bagheria
082006,2024,Y50-64,M,5532.000000000001,3585.0,64.8048,5.5824,Bagheria
082053,2018,Y15-24,F,34298.0,2174.0,6.3386,9.916,Palermo
082053,2018,Y15-24,M,36460.0,4391.0,12.0433,0.6528,Palermo
082053,2018,Y25-49,F,108290.0,41539.0,38.359,32.5773,Palermo
082053,2018,Y25-49,M,105373.0,63068.0,59.8521,1.842,Palermo
082053,2018,Y50-64,F,74360.0,27262.0,36.6622,43.8892,Palermo
082053,2018,Y50-64,M,65614.0,41877.0,63.8233,2.5239,Palermo
082053,2019,Y15-24,F,33754.0,2342.0,6.9384,9.6522,Palermo
082053,2019,Y15-24,M,35853.0,4352.0,12.1385,0.82,Palermo
082053,2019,Y25-49,F,105668.0,41250.0,39.0374,32.604,Palermo
082053,2019,Y25-49,M,102458.0,62555.0,61.0543,2.0252,Palermo
082053,2019,Y50-64,F,74614.0,27692.0,37.1137,43.9435,Palermo
082053,2019,Y50-64,M,65987.0,42323.0,64.1384,2.7172,Palermo
082053,2020,Y25-49,F,102167.0,,,,Palermo
082053,2020,Y25-49,M,97965.0,,,,Palermo
082053,2020,Y50-64,F,73635.0,,,,Palermo
082053,2020,Y50-64,M,65437.0,,,,Palermo
082053,2021,Y15-24,F,32229.0,2427.0,7.5305,12.4732,Palermo
082053,2021,Y15-24,M,34400.0,4772.0,13.8721,1.4399,Palermo
082053,2021,Y25-49,F,99685.0,42915.0,43.0506,36.7909,Palermo
082053,2021,Y25-49,M,97077.0,63179.0,65.0813,3.7245,Palermo
082053,2021,Y50-64,F,74402.0,30017.0,40.3443,45.0421,Palermo
082053,2021,Y50-64,M,66745.0,44032.0,65.9705,4.8347,Palermo
082053,2022,Y15-24,F,32475.0,2801.0,8.6251,10.2063,Palermo
082053,2022,Y15-24,M,34257.0,5237.0,15.2874,1.0648,Palermo
082053,2022,Y25-49,F,97908.0,43188.0,44.1108,34.7329,Palermo
082053,2022,Y25-49,M,95171.0,62794.0,65.9802,3.4192,Palermo
082053,2022,Y50-64,F,74636.0,30335.0,40.6439,44.1206,Palermo
082053,2022,Y50-64,M,67038.0,44470.0,66.3355,4.7055,Palermo
082053,2023,Y15-24,F,32550.99999999999,2999.0,9.2132,10.8686,Palermo
082053,2023,Y15-24,M,34389.0,5329.0,15.4962,1.4292,Palermo
082053,2023,Y25-49,F,96311.0,44557.0,46.2637,34.8432,Palermo
082053,2023,Y25-49,M,93768.0,63182.0,67.3812,4.0393,Palermo
082053,2023,Y50-64,F,74884.0,31507.0,42.0744,43.8351,Palermo
082053,2023,Y50-64,M,67239.0,45356.0,67.4549,5.476,Palermo
082053,2024,Y15-24,F,32672.0,3133.0,9.5893,11.328,Palermo
082053,2024,Y15-24,M,34363.0,5683.0,16.5381,1.396,Palermo
082053,2024,Y25-49,F,94681.0,45437.0,47.9896,33.7612,Palermo
082053,2024,Y25-49,M,92326.0,63790.0,69.0921,3.4645,Palermo
082053,2024,Y50-64,F,75252.0,32883.0,43.6972,43.2216,Palermo
082053,2024,Y50-64,M,67703.0,46867.0,69.2244,4.7745,Palermo
IT,2018,Y15-24,F,2792434.0,392972.0,14.0727,4.9735,Italia
IT,2018,Y15-24,M,3043549.0,678852.0,22.3046,0.3195,Italia
IT,2018,Y25-49,F,9615362.0,5740438.0,59.7007,20.3953,Italia
IT,2018,Y25-49,M,9692781.0,7541825.0,77.8087,0.9978,Italia
IT,2018,Y50-64,F,6717970.0,3448612.0,51.3341,29.089,Italia
IT,2018,Y50-64,M,6389475.0,4608995.0,72.1342,1.4473,Italia
IT,2019,Y15-24,F,2792459.0,404460.0,14.484,4.5721,Italia
IT,2019,Y15-24,M,3034485.0,697746.0,22.9939,0.3532,Italia
IT,2019,Y25-49,F,9417183.0,5709857.0,60.6323,19.8074,Italia
IT,2019,Y25-49,M,9503172.0,7481342.0,78.7247,0.9848,Italia
IT,2019,Y50-64,F,6815471.0,3558336.0,52.2097,28.949,Italia
IT,2019,Y50-64,M,6492074.0,4719730.0,72.6999,1.4662,Italia
IT,2020,Y25-49,F,9177408.0,,,,Italia
IT,2020,Y25-49,M,9278640.0,,,,Italia
