anno,eta,genere,vs Palermo,vs Sicilia
2018,Y15-24,F,-1.6629,-2.8415
2018,Y15-24,M,-0.5025,-3.2866
2018,Y25-49,F,-9.8077,-9.4973
2018,Y25-49,M,-1.8914,-4.7054
2018,Y50-64,F,-10.2556,-9.9488
2018,Y50-64,M,-6.4346,-6.9143
2019,Y15-24,F,-1.7758,-2.7979
2019,Y15-24,M,-0.3009,-3.5577
2019,Y25-49,F,-9.2769,-9.0559
2019,Y25-49,M,-2.0172,-4.7147
2019,Y50-64,F,-10.8722,-10.5727
2019,Y50-64,M,-3.8162,-4.2728
2021,Y15-24,F,-1.3594,-2.2452
2021,Y15-24,M,-0.0847,-3.3738
2021,Y25-49,F,-10.1782,-9.2773
2021,Y25-49,M,-1.1204,-2.6923
2021,Y50-64,F,-12.9075,-10.7584
2021,Y50-64,M,-4.1084,-3.3569
2022,Y15-24,F,-0.9328,-1.6491
2022,Y15-24,M,0.0998,-3.2612
2022,Y25-49,F,-9.9821,-9.2726
2022,Y25-49,M,-0.4634,-2.4259
2022,Y50-64,F,-13.1859,-10.9955
2022,Y50-64,M,-4.2766,-3.6129
2023,Y15-24,F,-1.1952,-1.9216
2023,Y15-24,M,-0.3194,-4.0876
2023,Y25-49,F,-9.6658,-9.3186
2023,Y25-49,M,-0.7145,-2.7254
2023,Y50-64,F,-13.2639,-11.4322
2023,Y50-64,M,-4.5356,-4.6354
2024,Y15-24,F,-1.4005,-2.221
2024,Y15-24,M,-0.059,-3.7868
2024,Y25-49,F,-8.4105,-8.0421
2024,Y25-49,M,-1.3427,-3.1224
2024,Y50-64,F,-12.8326,-10.891
2024,Y50-64,M,-4.4196,-4.2543
