indicatore,anno,bagheria,percentile_390,mediana_gemelle,palermo,italia,nome_indicatore
F4,1991,1.3,9.0,2.0,2.1,2.9,Incidenza di giovani che vivono da soli
F4,2001,1.7,6.4,2.6,2.6,4.6,Incidenza di giovani che vivono da soli
F4,2011,3.6,3.3,4.4,4.0,7.0,Incidenza di giovani che vivono da soli
F5,1991,1.3,54.4,1.0,1.7,1.0,Incidenza di famiglie monogenitoriali giovani
F5,2001,0.9,56.9,0.7,0.8,1.0,Incidenza di famiglie monogenitoriali giovani
F5,2011,0.9,49.0,0.8,0.7,1.0,Incidenza di famiglie monogenitoriali giovani
F6,1991,5.0,80.0,4.8,4.5,5.4,Incidenza di coppie giovani senza figli
F6,2001,4.7,84.4,4.2,4.1,5.0,Incidenza di coppie giovani senza figli
F6,2011,3.4,81.8,3.6,2.9,3.4,Incidenza di coppie giovani senza figli
F7,1991,25.6,88.5,24.6,20.9,16.3,Incidenza di coppie giovani con figli
F7,2001,18.4,86.7,17.8,14.3,11.0,Incidenza di coppie giovani con figli
F7,2011,11.7,81.0,11.8,9.3,7.4,Incidenza di coppie giovani con figli
