territorio,nome_territorio,anno,vantaggio_diploma_15_24_pp,almeno_diploma_F,almeno_diploma_M,tasso_occupazione_F,tasso_occupazione_M
082006,Bagheria,2021,3.5,48.8,45.3,6.2,13.8
082006,Bagheria,2022,4.3,49.9,45.6,7.7,15.4
082006,Bagheria,2023,4.3,49.8,45.5,8.0,15.2
082006,Bagheria,2024,4.8,51.0,46.2,8.2,16.5
082053,Palermo,2021,3.0,48.1,45.1,7.5,13.9
082053,Palermo,2022,2.8,48.3,45.5,8.6,15.3
082053,Palermo,2023,2.8,46.6,43.8,9.2,15.5
082053,Palermo,2024,2.8,47.3,44.5,9.6,16.5
IT,Italia,2021,3.5,53.7,50.2,15.0,24.8
IT,Italia,2022,3.6,54.1,50.5,16.4,26.1
IT,Italia,2023,3.8,53.1,49.3,16.9,26.4
IT,Italia,2024,3.9,53.4,49.5,17.3,26.9
ITG1,Sicilia,2021,4.8,50.8,46.0,8.4,17.2
ITG1,Sicilia,2022,4.9,51.4,46.5,9.3,18.6
ITG1,Sicilia,2023,4.7,50.2,45.5,9.9,19.3
ITG1,Sicilia,2024,4.7,50.9,46.2,10.4,20.3
VICINI5,vicinato (5 comuni),2021,2.3,46.2,43.9,7.5,15.6
VICINI5,vicinato (5 comuni),2022,2.5,47.7,45.2,7.9,16.4
VICINI5,vicinato (5 comuni),2023,1.5,45.7,44.2,8.1,16.7
VICINI5,vicinato (5 comuni),2024,1.5,47.0,45.5,8.9,17.7
