anno,tasso_occupazione_F,tasso_occupazione_M,rapporto_M_F_occupazione,almeno_diploma_F,almeno_diploma_M,vantaggio_istruzione_F_pp,territorio,nome_territorio
2018,4.68,11.54,2.47,30.24,27.11,3.13,082006,Bagheria
2019,5.16,11.84,2.29,29.75,26.81,2.94,082006,Bagheria
2021,6.17,13.79,2.23,31.06,28.32,2.74,082006,Bagheria
2022,7.69,15.39,2.0,32.18,28.85,3.32,082006,Bagheria
2023,8.02,15.18,1.89,32.6,28.68,3.92,082006,Bagheria
2024,8.19,16.48,2.01,33.44,29.25,4.19,082006,Bagheria
2018,6.34,12.04,1.9,29.53,26.95,2.58,082053,Palermo
2019,6.94,12.14,1.75,28.91,26.81,2.1,082053,Palermo
2021,7.53,13.87,1.84,30.24,28.7,1.54,082053,Palermo
2022,8.63,15.29,1.77,30.66,29.02,1.63,082053,Palermo
2023,9.21,15.5,1.68,29.8,28.13,1.67,082053,Palermo
2024,9.59,16.54,1.72,30.47,28.72,1.75,082053,Palermo
2018,7.52,14.83,1.97,31.34,27.76,3.58,ITG1,Sicilia
2019,7.96,15.4,1.93,31.16,27.67,3.48,ITG1,Sicilia
2021,8.42,17.16,2.04,32.48,29.82,2.66,ITG1,Sicilia
2022,9.34,18.65,2.0,33.07,30.28,2.79,ITG1,Sicilia
2023,9.94,19.26,1.94,32.5,29.76,2.74,ITG1,Sicilia
2024,10.41,20.27,1.95,33.06,30.41,2.65,ITG1,Sicilia
2018,14.07,22.3,1.58,32.65,30.26,2.39,IT,Italia
2019,14.48,22.99,1.59,32.81,30.48,2.32,IT,Italia
2021,15.0,24.75,1.65,33.81,31.9,1.92,IT,Italia
2022,16.4,26.15,1.59,34.35,32.34,2.0,IT,Italia
2023,16.9,26.44,1.56,33.98,31.88,2.1,IT,Italia
2024,17.27,26.93,1.56,34.48,32.34,2.14,IT,Italia
2018,5.94,13.42,2.26,27.83,24.97,2.86,VICINI5,vicinato (5 comuni)
2019,6.54,13.08,2.0,27.44,24.53,2.91,VICINI5,vicinato (5 comuni)
2021,7.46,15.64,2.1,28.27,27.08,1.19,VICINI5,vicinato (5 comuni)
2022,7.87,16.44,2.09,29.08,27.84,1.24,VICINI5,vicinato (5 comuni)
2023,8.09,16.68,2.06,28.0,27.54,0.46,VICINI5,vicinato (5 comuni)
2024,8.9,17.66,1.98,29.18,28.66,0.52,VICINI5,vicinato (5 comuni)
