territorio,nome_territorio,anno,genere,pop_15_24,diplomati,occupati,minimo_pct,tetto_pct
082006,Bagheria,2021,F,2852.0,1391.0,176.0,0.0,12.7
082006,Bagheria,2021,M,3039.0,1377.0,419.0,0.0,30.4
082006,Bagheria,2022,F,2847.0,1420.0,219.0,0.0,15.4
082006,Bagheria,2022,M,3035.0,1385.0,467.0,0.0,33.7
082006,Bagheria,2023,F,2881.0,1435.0,231.0,0.0,16.1
082006,Bagheria,2023,M,2998.0,1364.0,455.0,0.0,33.4
082006,Bagheria,2024,F,2882.0,1469.0,236.0,0.0,16.1
082006,Bagheria,2024,M,3022.0,1395.0,498.0,0.0,35.7
082053,Palermo,2021,F,32229.0,15496.0,2427.0,0.0,15.7
082053,Palermo,2021,M,34400.0,15529.0,4772.0,0.0,30.7
082053,Palermo,2022,F,32475.0,15679.0,2801.0,0.0,17.9
082053,Palermo,2022,M,34257.0,15580.0,5237.0,0.0,33.6
082053,Palermo,2023,F,32551.0,15161.0,2999.0,0.0,19.8
082053,Palermo,2023,M,34389.0,15064.0,5329.0,0.0,35.4
082053,Palermo,2024,F,32672.0,15453.0,3133.0,0.0,20.3
082053,Palermo,2024,M,34363.0,15287.0,5683.0,0.0,37.2
IT,Italia,2021,F,2775037.0,1489457.0,416292.0,0.0,27.9
IT,Italia,2021,M,3014421.0,1512969.0,746126.0,0.0,49.3
IT,Italia,2022,F,2796244.0,1512184.0,458524.0,0.0,30.3
IT,Italia,2022,M,3037208.0,1533320.0,794188.0,0.0,51.8
IT,Italia,2023,F,2811640.0,1492147.0,475260.0,0.0,31.9
IT,Italia,2023,M,3059980.0,1509980.0,809131.0,0.0,53.6
IT,Italia,2024,F,2822968.0,1507552.0,487633.0,0.0,32.3
IT,Italia,2024,M,3088740.0,1530402.0,831827.0,0.0,54.4
ITG1,Sicilia,2021,F,245867.0,124834.0,20693.0,0.0,16.6
ITG1,Sicilia,2021,M,266915.0,122914.0,45806.0,0.0,37.3
ITG1,Sicilia,2022,F,245647.0,126190.0,22947.0,0.0,18.2
ITG1,Sicilia,2022,M,266072.0,123775.0,49618.0,0.0,40.1
ITG1,Sicilia,2023,F,244677.0,122921.0,24320.0,0.0,19.8
ITG1,Sicilia,2023,M,265609.0,120809.0,51168.0,0.0,42.4
ITG1,Sicilia,2024,F,243292.0,123862.0,25326.0,0.0,20.4
ITG1,Sicilia,2024,M,265707.0,122761.0,53848.0,0.0,43.9
