territorio,nome_territorio,anno,genere,quota_pct,persone
082006,Bagheria,2018,F,38.0,1153
082006,Bagheria,2018,M,37.4,1200
082006,Bagheria,2018,T,37.7,2353
082006,Bagheria,2019,F,32.7,976
082006,Bagheria,2019,M,32.8,1033
082006,Bagheria,2019,T,32.8,2009
082006,Bagheria,2021,F,29.9,853
082006,Bagheria,2021,M,29.7,904
082006,Bagheria,2021,T,29.8,1757
082006,Bagheria,2022,F,27.8,791
082006,Bagheria,2022,M,26.8,812
082006,Bagheria,2022,T,27.3,1603
082006,Bagheria,2023,F,31.1,895
082006,Bagheria,2023,M,30.4,913
082006,Bagheria,2023,T,30.7,1807
082006,Bagheria,2024,F,26.7,771
082006,Bagheria,2024,M,27.1,818
082006,Bagheria,2024,T,26.9,1589
082053,Palermo,2018,F,34.0,11672
082053,Palermo,2018,M,33.4,12169
082053,Palermo,2018,T,33.7,23841
082053,Palermo,2019,F,31.3,10563
082053,Palermo,2019,M,31.3,11213
082053,Palermo,2019,T,31.3,21776
082053,Palermo,2021,F,25.9,8347
082053,Palermo,2021,M,25.5,8769
082053,Palermo,2021,T,25.7,17116
082053,Palermo,2022,F,24.0,7808
082053,Palermo,2022,M,23.4,8032
082053,Palermo,2022,T,23.7,15839
082053,Palermo,2023,F,23.7,7720
082053,Palermo,2023,M,23.5,8097
082053,Palermo,2023,T,23.6,15817
082053,Palermo,2024,F,23.6,7708
082053,Palermo,2024,M,23.7,8131
082053,Palermo,2024,T,23.6,15840
IT,Italia,2018,F,21.1,589334
IT,Italia,2018,M,20.8,631947
IT,Italia,2018,T,20.9,1221281
IT,Italia,2019,F,18.7,521995
IT,Italia,2019,M,18.9,572374
IT,Italia,2019,T,18.8,1094369
IT,Italia,2021,F,17.6,489702
IT,Italia,2021,M,16.9,510233
IT,Italia,2021,T,17.3,999935
IT,Italia,2022,F,15.1,423034
IT,Italia,2022,M,14.6,444859
IT,Italia,2022,T,14.9,867893
IT,Italia,2023,F,14.7,413892
IT,Italia,2023,M,14.7,450852
IT,Italia,2023,T,14.7,864744
IT,Italia,2024,F,14.9,421772
IT,Italia,2024,M,15.7,485149
IT,Italia,2024,T,15.3,906921
ITG1,Sicilia,2018,F,32.4,83734
ITG1,Sicilia,2018,M,32.9,92143
ITG1,Sicilia,2018,T,32.7,175877
ITG1,Sicilia,2019,F,29.0,73810
ITG1,Sicilia,2019,M,29.8,81774
ITG1,Sicilia,2019,T,29.4,155584
ITG1,Sicilia,2021,F,25.6,62828
ITG1,Sicilia,2021,M,25.6,68379
ITG1,Sicilia,2021,T,25.6,131207
ITG1,Sicilia,2022,F,23.6,57862
ITG1,Sicilia,2022,M,22.9,60970
ITG1,Sicilia,2022,T,23.2,118832
ITG1,Sicilia,2023,F,22.4,54924
ITG1,Sicilia,2023,M,22.1,58831
ITG1,Sicilia,2023,T,22.3,113755
ITG1,Sicilia,2024,F,21.8,53104
ITG1,Sicilia,2024,M,22.7,60359
ITG1,Sicilia,2024,T,22.3,113463
VICINI5,vicinato (5 comuni),2018,F,41.0,1956
VICINI5,vicinato (5 comuni),2018,M,37.7,1867
VICINI5,vicinato (5 comuni),2018,T,39.4,3823
VICINI5,vicinato (5 comuni),2019,F,36.5,1708
VICINI5,vicinato (5 comuni),2019,M,34.3,1706
VICINI5,vicinato (5 comuni),2019,T,35.4,3414
VICINI5,vicinato (5 comuni),2021,F,32.0,1458
VICINI5,vicinato (5 comuni),2021,M,28.9,1411
VICINI5,vicinato (5 comuni),2021,T,30.4,2869
VICINI5,vicinato (5 comuni),2022,F,29.0,1315
VICINI5,vicinato (5 comuni),2022,M,27.0,1308
VICINI5,vicinato (5 comuni),2022,T,28.0,2623
VICINI5,vicinato (5 comuni),2023,F,32.1,1468
VICINI5,vicinato (5 comuni),2023,M,30.0,1474
VICINI5,vicinato (5 comuni),2023,T,31.0,2941
VICINI5,vicinato (5 comuni),2024,F,27.6,1275
VICINI5,vicinato (5 comuni),2024,M,27.2,1345
VICINI5,vicinato (5 comuni),2024,T,27.4,2620
