indicatore,anno,Bagheria,Palermo,Sicilia,Italia,percentile_390,nome_indicatore
L2,1991,20.6,28.9,28.0,35.3,7.9,Partecipazione al mercato del lavoro femminile
L2,2001,27.2,33.5,30.0,37.6,40.8,Partecipazione al mercato del lavoro femminile
L2,2011,28.7,35.9,33.0,41.8,31.5,Partecipazione al mercato del lavoro femminile
L11,1991,10.9,18.0,15.7,27.7,22.1,Tasso di occupazione femminile
L11,2001,15.1,21.5,19.5,32.0,23.6,Tasso di occupazione femminile
L11,2011,18.1,25.5,24.0,36.1,12.3,Tasso di occupazione femminile
L10,1991,44.2,45.3,45.0,55.8,63.6,Tasso di occupazione maschile
L10,2001,43.8,44.4,44.6,54.8,54.9,Tasso di occupazione maschile
L10,2011,43.1,45.0,46.9,54.8,14.6,Tasso di occupazione maschile
L7,1991,47.3,37.6,44.1,21.7,45.9,Tasso di disoccupazione femminile
L7,2001,44.5,35.7,34.8,14.8,84.4,Tasso di disoccupazione femminile
L7,2011,36.9,29.1,27.1,13.6,94.6,Tasso di disoccupazione femminile
I1,1991,102.6,111.2,108.2,110.3,34.1,Differenziali di genere per l'istruzione superiore
I1,2001,101.2,105.0,102.2,104.5,47.4,Differenziali di genere per l'istruzione superiore
I1,2011,98.9,102.5,100.7,101.5,37.4,Differenziali di genere per l'istruzione superiore
