nome_territorio,anno,tasso_occupazione,tasso_disoccupazione,fuori_da_lavoro_e_studio
Bagheria,2018,6.8,-17.3,-0.6
Bagheria,2019,6.6,-14.9,0.1
Bagheria,2021,7.6,-12.2,-0.2
Bagheria,2022,7.7,-12.5,-1.0
Bagheria,2023,7.2,-11.0,-0.7
Bagheria,2024,8.3,-10.5,0.4
Palermo,2018,5.7,-11.9,-0.6
Palermo,2019,5.2,-9.7,0.0
Palermo,2021,6.4,-7.7,-0.4
Palermo,2022,6.7,-9.0,-0.6
Palermo,2023,6.3,-7.1,-0.2
Palermo,2024,6.9,-6.7,0.1
Sicilia,2018,7.3,-14.4,0.5
Sicilia,2019,7.4,-13.4,0.8
Sicilia,2021,8.8,-11.1,0.0
Sicilia,2022,9.3,-12.6,-0.7
Sicilia,2023,9.4,-11.5,-0.3
Sicilia,2024,9.9,-9.7,0.9
Italia,2018,8.2,-10.2,-0.3
Italia,2019,8.5,-9.1,0.2
Italia,2021,9.8,-8.7,-0.7
Italia,2022,9.7,-7.8,-0.5
Italia,2023,9.5,-7.2,0.0
Italia,2024,9.6,-6.3,0.8
