territorio,nome_territorio,anno,tasso_F,tasso_M,gap,gap_lo,gap_hi,rapporto_M_F
082006,Bagheria,2018,4.7,11.5,6.9,5.5,8.2,2.47
082006,Bagheria,2019,5.2,11.8,6.7,5.3,8.1,2.29
082006,Bagheria,2021,6.2,13.8,7.6,6.1,9.1,2.23
082006,Bagheria,2022,7.7,15.4,7.7,6.1,9.3,2.0
082006,Bagheria,2023,8.0,15.2,7.2,5.5,8.8,1.89
082006,Bagheria,2024,8.2,16.5,8.3,6.6,10.0,2.01
082053,Palermo,2018,6.3,12.0,5.7,5.3,6.1,1.9
082053,Palermo,2019,6.9,12.1,5.2,4.8,5.6,1.75
082053,Palermo,2021,7.5,13.9,6.3,5.9,6.8,1.84
082053,Palermo,2022,8.6,15.3,6.7,6.2,7.2,1.77
082053,Palermo,2023,9.2,15.5,6.3,5.8,6.8,1.68
082053,Palermo,2024,9.6,16.5,6.9,6.4,7.5,1.72
IT,Italia,2018,14.1,22.3,8.2,8.2,8.3,1.58
IT,Italia,2019,14.5,23.0,8.5,8.4,8.6,1.59
IT,Italia,2021,15.0,24.8,9.8,9.7,9.8,1.65
IT,Italia,2022,16.4,26.1,9.8,9.7,9.8,1.59
IT,Italia,2023,16.9,26.4,9.5,9.5,9.6,1.56
IT,Italia,2024,17.3,26.9,9.7,9.6,9.7,1.56
ITG1,Sicilia,2018,7.5,14.8,7.3,7.1,7.5,1.97
ITG1,Sicilia,2019,8.0,15.4,7.4,7.3,7.6,1.93
ITG1,Sicilia,2021,8.4,17.2,8.7,8.6,8.9,2.04
ITG1,Sicilia,2022,9.3,18.6,9.3,9.1,9.5,2.0
ITG1,Sicilia,2023,9.9,19.3,9.3,9.1,9.5,1.94
ITG1,Sicilia,2024,10.4,20.3,9.9,9.7,10.1,1.95
