territorio,nome_territorio,anno,tasso_F,tasso_M,gap,gap_lo,gap_hi,rapporto_M_F
082023,Casteldaccia,2018,5.3,13.9,8.5,5.3,11.8,2.59
082023,Casteldaccia,2019,5.2,14.3,9.1,5.9,12.5,2.77
082023,Casteldaccia,2021,5.5,15.4,9.9,6.5,13.2,2.79
082023,Casteldaccia,2022,6.6,16.4,9.9,6.4,13.4,2.5
082023,Casteldaccia,2023,6.7,18.6,12.0,8.4,15.5,2.8
082023,Casteldaccia,2024,8.3,18.2,9.9,6.2,13.5,2.18
082035,Ficarazzi,2018,6.4,12.6,6.2,3.3,9.1,1.97
082035,Ficarazzi,2019,8.5,13.3,4.8,1.8,7.9,1.57
082035,Ficarazzi,2021,9.8,14.4,4.6,1.3,7.9,1.47
082035,Ficarazzi,2022,8.8,16.4,7.6,4.2,10.9,1.86
082035,Ficarazzi,2023,8.9,15.1,6.2,3.0,9.5,1.7
082035,Ficarazzi,2024,9.1,14.7,5.6,2.4,8.9,1.62
082048,Misilmeri,2018,6.6,13.7,7.1,5.1,9.1,2.08
082048,Misilmeri,2019,6.2,12.6,6.4,4.4,8.4,2.04
082048,Misilmeri,2021,8.0,16.2,8.2,6.0,10.4,2.02
082048,Misilmeri,2022,7.5,16.8,9.3,7.0,11.5,2.24
082048,Misilmeri,2023,6.7,15.6,8.9,6.7,11.0,2.32
082048,Misilmeri,2024,9.1,18.1,9.1,6.7,11.4,2.0
082067,Santa Flavia,2018,5.5,14.9,9.4,6.0,12.8,2.7
082067,Santa Flavia,2019,6.4,13.6,7.2,3.7,10.6,2.11
082067,Santa Flavia,2021,7.6,16.0,8.4,4.7,12.1,2.1
082067,Santa Flavia,2022,7.2,16.7,9.5,5.8,13.2,2.33
082067,Santa Flavia,2023,8.5,18.4,9.9,6.1,13.8,2.17
082067,Santa Flavia,2024,7.8,17.9,10.1,6.3,13.9,2.29
082079,Villabate,2018,5.3,12.6,7.3,5.0,9.6,2.38
082079,Villabate,2019,6.5,12.7,6.2,3.8,8.6,1.95
082079,Villabate,2021,6.1,15.6,9.6,7.0,12.1,2.58
082079,Villabate,2022,8.8,15.9,7.1,4.4,9.8,1.8
082079,Villabate,2023,10.1,17.3,7.2,4.4,10.0,1.72
082079,Villabate,2024,9.5,18.6,9.1,6.3,11.9,1.96
VICINI5,vicinato (5 comuni),2018,5.9,13.4,7.5,6.3,8.6,2.26
VICINI5,vicinato (5 comuni),2019,6.5,13.1,6.5,5.4,7.7,2.0
VICINI5,vicinato (5 comuni),2021,7.5,15.6,8.2,6.9,9.5,2.1
VICINI5,vicinato (5 comuni),2022,7.9,16.4,8.6,7.3,9.9,2.09
VICINI5,vicinato (5 comuni),2023,8.1,16.7,8.6,7.3,9.9,2.06
VICINI5,vicinato (5 comuni),2024,8.9,17.7,8.8,7.4,10.1,1.98
