territorio,anno,genere,popolazione_9_24,almeno_diploma_%,licenza_media_%,nessun_titolo_o_elementare_%,nome_territorio
082006,2018,F,4699.0,30.2,40.8,29.0,Bagheria
082006,2018,M,4983.0,27.1,42.0,30.8,Bagheria
082006,2018,T,9682.0,28.6,41.4,30.0,Bagheria
082006,2019,F,4592.0,29.7,41.0,29.2,Bagheria
082006,2019,M,4920.0,26.8,42.6,30.6,Bagheria
082006,2019,T,9512.0,28.2,41.8,29.9,Bagheria
082006,2020,F,4536.0,30.4,39.3,30.3,Bagheria
082006,2020,M,4837.0,27.5,41.1,31.4,Bagheria
082006,2020,T,9373.0,28.9,40.2,30.9,Bagheria
082006,2021,F,4478.0,31.1,38.8,30.2,Bagheria
082006,2021,M,4862.0,28.3,40.0,31.7,Bagheria
082006,2021,T,9340.0,29.6,39.4,31.0,Bagheria
082006,2022,F,4413.0,32.2,39.3,28.5,Bagheria
082006,2022,M,4800.0,28.9,39.8,31.4,Bagheria
082006,2022,T,9213.0,30.4,39.5,30.0,Bagheria
082006,2023,F,4402.0,32.6,38.8,28.6,Bagheria
082006,2023,M,4756.0,28.7,40.5,30.8,Bagheria
082006,2023,T,9158.0,30.6,39.7,29.8,Bagheria
082006,2024,F,4393.0,33.4,38.2,28.4,Bagheria
082006,2024,M,4770.0,29.2,40.1,30.6,Bagheria
082006,2024,T,9163.0,31.3,39.2,29.6,Bagheria
082053,2018,F,53926.0,29.5,40.0,30.5,Palermo
082053,2018,M,56861.0,26.9,42.0,31.1,Palermo
082053,2018,T,110787.0,28.2,41.0,30.8,Palermo
082053,2019,F,53159.0,28.9,40.9,30.2,Palermo
082053,2019,M,55921.0,26.8,42.7,30.5,Palermo
082053,2019,T,109080.0,27.8,41.8,30.4,Palermo
082053,2020,F,51944.0,29.5,39.9,30.7,Palermo
082053,2020,M,54677.0,27.7,41.3,31.0,Palermo
082053,2020,T,106621.0,28.6,40.6,30.9,Palermo
082053,2021,F,51248.0,30.2,39.5,30.3,Palermo
082053,2021,M,54110.0,28.7,40.7,30.6,Palermo
082053,2021,T,105358.0,29.4,40.1,30.4,Palermo
082053,2022,F,51143.0,30.7,39.6,29.7,Palermo
082053,2022,M,53683.0,29.0,40.8,30.2,Palermo
082053,2022,T,104826.0,29.8,40.2,30.0,Palermo
082053,2023,F,50868.0,29.8,40.6,29.6,Palermo
082053,2023,M,53550.0,28.1,41.6,30.2,Palermo
082053,2023,T,104418.0,28.9,41.1,29.9,Palermo
082053,2024,F,50712.0,30.5,40.1,29.4,Palermo
082053,2024,M,53226.0,28.7,41.2,30.1,Palermo
082053,2024,T,103938.0,29.6,40.7,29.7,Palermo
IT,2018,F,4444114.0,32.6,35.9,31.5,Italia
IT,2018,M,4796777.0,30.3,37.7,32.0,Italia
IT,2018,T,9240891.0,31.4,36.8,31.8,Italia
IT,2019,F,4435679.0,32.8,35.8,31.4,Italia
IT,2019,M,4780471.0,30.5,37.7,31.8,Italia
IT,2019,T,9216150.0,31.6,36.8,31.6,Italia
IT,2020,F,4428706.0,33.0,35.7,31.4,Italia
IT,2020,M,4768837.0,30.9,37.5,31.6,Italia
IT,2020,T,9197543.0,31.9,36.6,31.5,Italia
IT,2021,F,4404849.0,33.8,35.3,30.9,Italia
IT,2021,M,4743512.0,31.9,36.9,31.2,Italia
IT,2021,T,9148361.0,32.8,36.2,31.0,Italia
IT,2022,F,4402407.0,34.3,35.3,30.4,Italia
IT,2022,M,4740562.0,32.3,37.0,30.6,Italia
IT,2022,T,9142969.0,33.3,36.2,30.5,Italia
IT,2023,F,4391057.0,34.0,35.7,30.3,Italia
IT,2023,M,4736069.0,31.9,37.6,30.5,Italia
IT,2023,T,9127126.0,32.9,36.7,30.4,Italia
IT,2024,F,4371642.0,34.5,35.6,29.9,Italia
IT,2024,M,4732165.0,32.3,37.5,30.2,Italia
IT,2024,T,9103807.0,33.4,36.6,30.0,Italia
ITG1,2018,F,400082.0,31.3,38.8,29.8,Sicilia
ITG1,2018,M,430732.0,27.8,41.1,31.1,Sicilia
ITG1,2018,T,830814.0,29.5,40.0,30.5,Sicilia
ITG1,2019,F,394025.0,31.2,39.1,29.7,Sicilia
ITG1,2019,M,422816.0,27.7,41.9,30.5,Sicilia
ITG1,2019,T,816841.0,29.4,40.5,30.1,Sicilia
ITG1,2020,F,387313.0,31.5,38.4,30.0,Sicilia
ITG1,2020,M,415369.0,28.5,41.0,30.5,Sicilia
ITG1,2020,T,802682.0,30.0,39.8,30.3,Sicilia
ITG1,2021,F,384393.0,32.5,37.9,29.6,Sicilia
ITG1,2021,M,412216.0,29.8,40.0,30.2,Sicilia
ITG1,2021,T,796609.0,31.1,39.0,29.9,Sicilia
ITG1,2022,F,381533.0,33.1,37.6,29.3,Sicilia
ITG1,2022,M,408761.0,30.3,40.0,29.7,Sicilia
ITG1,2022,T,790294.0,31.6,38.9,29.5,Sicilia
ITG1,2023,F,378270.0,32.5,38.2,29.3,Sicilia
ITG1,2023,M,406007.0,29.8,40.7,29.5,Sicilia
ITG1,2023,T,784277.0,31.1,39.5,29.4,Sicilia
ITG1,2024,F,374652.0,33.1,37.8,29.1,Sicilia
ITG1,2024,M,403742.0,30.4,40.1,29.5,Sicilia
ITG1,2024,T,778394.0,31.7,39.0,29.3,Sicilia
