indicatore,anno,Bagheria,Palermo,Sicilia,Italia,percentile_390,comuni,nome_indicatore,fonte
L2,2018,30.4,37.3,35.9,44.0,21.5,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L2,2019,31.3,37.1,36.2,44.0,21.3,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L2,2021,26.6,32.9,31.9,42.4,17.9,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L2,2022,26.7,33.7,32.8,42.8,15.1,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L2,2023,28.1,34.0,33.7,43.6,14.1,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L2,2024,27.9,34.3,33.7,44.0,16.9,390,Partecipazione al mercato del lavoro femminile,censimento permanente
L11,2018,18.8,25.0,24.8,36.8,8.2,390,Tasso di occupazione femminile,censimento permanente
L11,2019,19.4,25.4,25.3,37.4,9.7,390,Tasso di occupazione femminile,censimento permanente
L11,2021,20.6,27.2,26.3,37.9,13.3,390,Tasso di occupazione femminile,censimento permanente
L11,2022,21.1,27.7,27.0,38.5,13.1,390,Tasso di occupazione femminile,censimento permanente
L11,2023,22.2,28.6,28.1,39.6,12.6,390,Tasso di occupazione femminile,censimento permanente
L11,2024,23.7,29.6,29.0,40.3,16.9,390,Tasso di occupazione femminile,censimento permanente
L10,2018,40.4,43.5,44.6,53.8,15.4,390,Tasso di occupazione maschile,censimento permanente
L10,2019,41.5,44.0,45.3,54.4,19.2,390,Tasso di occupazione maschile,censimento permanente
L10,2021,43.6,45.6,45.9,54.3,34.9,390,Tasso di occupazione maschile,censimento permanente
L10,2022,44.7,46.2,46.8,54.8,35.6,390,Tasso di occupazione maschile,censimento permanente
L10,2023,45.1,46.7,47.7,55.4,28.5,390,Tasso di occupazione maschile,censimento permanente
L10,2024,46.1,47.8,48.6,55.8,29.5,390,Tasso di occupazione maschile,censimento permanente
L7,2018,38.1,32.9,30.9,16.4,92.6,390,Tasso di disoccupazione femminile,censimento permanente
L7,2019,38.1,31.5,30.1,15.1,91.8,390,Tasso di disoccupazione femminile,censimento permanente
L7,2021,22.6,17.4,17.3,10.6,95.6,390,Tasso di disoccupazione femminile,censimento permanente
L7,2022,21.0,17.9,17.9,10.1,84.4,390,Tasso di disoccupazione femminile,censimento permanente
L7,2023,21.0,15.9,16.6,9.2,83.1,390,Tasso di disoccupazione femminile,censimento permanente
L7,2024,15.2,13.7,13.9,8.4,73.6,390,Tasso di disoccupazione femminile,censimento permanente
