territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
081001,Alcamo,321820,4204259,47.7,25.6,33.1,63.3,81.8,19729,71,
081002,Buseto Palizzolo,300539,4207720,68.1,24.9,30.7,59.0,69.0,1236,121,
081003,Calatafimi-Segesta,312674,4197132,58.5,21.6,29.1,37.2,54.9,2722,176,
081004,Campobello di Mazara,298114,4165062,86.4,19.6,26.5,23.8,36.9,4952,246,
081005,Castellammare del Golfo,309378,4210186,59.1,25.5,31.7,62.6,75.6,6409,95,
081006,Castelvetrano,308296,4170830,74.8,24.9,29.8,59.0,61.3,13204,151,
081007,Custonaci,298460,4216793,69.7,25.2,29.9,62.3,62.6,2292,146,
081008,Erice,288712,4209726,79.7,26.8,30.7,70.8,69.2,11887,120,
081009,Favignana,263987,4201495,105.1,22.5,30.9,41.8,71.0,1981,113,
081010,Gibellina,320408,4186997,55.7,26.4,34.8,67.7,90.3,1710,38,
081011,Marsala,286601,4189405,85.7,21.0,28.5,32.6,51.5,35412,189,
081012,Mazara del Vallo,290708,4174090,87.9,19.2,26.2,21.5,34.4,21978,256,
081013,Paceco,289950,4202656,79.3,24.9,29.4,59.0,57.2,4812,167,
081014,Pantelleria,232375,4075458,195.2,26.6,33.6,69.0,85.6,3136,56,
081015,Partanna,314613,4176455,66.4,26.9,33.5,72.1,85.4,4463,57,
081016,Poggioreale,327944,4184006,51.2,22.1,30.0,38.5,63.6,586,142,
081017,Salaparuta,322568,4181113,57.2,24.8,27.2,58.2,41.0,695,230,
081018,Salemi,304551,4188375,69.2,24.9,29.7,59.0,59.5,4407,158,
081019,Santa Ninfa,311883,4183215,65.0,25.9,30.0,65.4,64.1,2203,140,
081020,San Vito Lo Capo,303439,4221920,65.0,25.7,35.0,63.6,91.0,2171,35,
081021,Trapani,298671,4197267,71.9,24.2,29.4,54.4,56.9,25209,168,
081022,Valderice,292582,4211633,75.7,26.5,31.9,68.5,76.4,5081,92,
