territorio,nome_comune,parte,anello,ordine,x,y,occupazione_femminile_2011
081001,Alcamo,0,0,0,323035,4211702,25.6
081001,Alcamo,0,0,1,322951,4210753,25.6
081001,Alcamo,0,0,2,323084,4210013,25.6
081001,Alcamo,0,0,3,323321,4209601,25.6
081001,Alcamo,0,0,4,324201,4209176,25.6
081001,Alcamo,0,0,5,324541,4208783,25.6
081001,Alcamo,0,0,6,324818,4208019,25.6
081001,Alcamo,0,0,7,324597,4207449,25.6
081001,Alcamo,0,0,8,324713,4206797,25.6
081001,Alcamo,0,0,9,326696,4205157,25.6
081001,Alcamo,0,0,10,326551,4204341,25.6
081001,Alcamo,0,0,11,326708,4203921,25.6
081001,Alcamo,0,0,12,327581,4204364,25.6
081001,Alcamo,0,0,13,327868,4204177,25.6
081001,Alcamo,0,0,14,328379,4203326,25.6
081001,Alcamo,0,0,15,329003,4203014,25.6
081001,Alcamo,0,0,16,328202,4202648,25.6
081001,Alcamo,0,0,17,327973,4201829,25.6
081001,Alcamo,0,0,18,328271,4200797,25.6
081001,Alcamo,0,0,19,327775,4199086,25.6
081001,Alcamo,0,0,20,328324,4198447,25.6
081001,Alcamo,0,0,21,327474,4198001,25.6
081001,Alcamo,0,0,22,326866,4197309,25.6
081001,Alcamo,0,0,23,325586,4196692,25.6
081001,Alcamo,0,0,24,324205,4197261,25.6
081001,Alcamo,0,0,25,324124,4197565,25.6
081001,Alcamo,0,0,26,323751,4197913,25.6
081001,Alcamo,0,0,27,323713,4197454,25.6
081001,Alcamo,0,0,28,323946,4196712,25.6
081001,Alcamo,0,0,29,323516,4196329,25.6
081001,Alcamo,0,0,30,322901,4196706,25.6
081001,Alcamo,0,0,31,322006,4196516,25.6
081001,Alcamo,0,0,32,320575,4196748,25.6
081001,Alcamo,0,0,33,320229,4196405,25.6
081001,Alcamo,0,0,34,319018,4197210,25.6
081001,Alcamo,0,0,35,319048,4198394,25.6
081001,Alcamo,0,0,36,318903,4198800,25.6
081001,Alcamo,0,0,37,317489,4199512,25.6
081001,Alcamo,0,0,38,317594,4200045,25.6
081001,Alcamo,0,0,39,318269,4200906,25.6
081001,Alcamo,0,0,40,317054,4203801,25.6
081001,Alcamo,0,0,41,317063,4204777,25.6
081001,Alcamo,0,0,42,317396,4205214,25.6
081001,Alcamo,0,0,43,317592,4206251,25.6
081001,Alcamo,0,0,44,316944,4207343,25.6
081001,Alcamo,0,0,45,316007,4208279,25.6
081001,Alcamo,0,0,46,315944,4208527,25.6
081001,Alcamo,0,0,47,316133,4209064,25.6
081001,Alcamo,0,0,48,315474,4209527,25.6
081001,Alcamo,0,0,49,316369,4210667,25.6
081001,Alcamo,0,0,50,319554,4211212,25.6
081001,Alcamo,0,0,51,322487,4212217,25.6
081001,Alcamo,0,0,52,323035,4211702,25.6
081002,Buseto Palizzolo,0,0,0,299507,4212792,24.9
081002,Buseto Palizzolo,0,0,1,300059,4212867,24.9
081002,Buseto Palizzolo,0,0,2,299778,4212624,24.9
081002,Buseto Palizzolo,0,0,3,300053,4211958,24.9
081002,Buseto Palizzolo,0,0,4,300749,4210978,24.9
081002,Buseto Palizzolo,0,0,5,301607,4210632,24.9
081002,Buseto Palizzolo,0,0,6,302552,4210777,24.9
081002,Buseto Palizzolo,0,0,7,302920,4209752,24.9
081002,Buseto Palizzolo,0,0,8,303000,4208896,24.9
081002,Buseto Palizzolo,0,0,9,303419,4208089,24.9
081002,Buseto Palizzolo,0,0,10,305207,4207290,24.9
081002,Buseto Palizzolo,0,0,11,305279,4206505,24.9
081002,Buseto Palizzolo,0,0,12,307192,4205981,24.9
081002,Buseto Palizzolo,0,0,13,307049,4204629,24.9
081002,Buseto Palizzolo,0,0,14,307703,4202593,24.9
081002,Buseto Palizzolo,0,0,15,307067,4202291,24.9
081002,Buseto Palizzolo,0,0,16,304313,4201828,24.9
081002,Buseto Palizzolo,0,0,17,300929,4202793,24.9
081002,Buseto Palizzolo,0,0,18,300338,4203223,24.9
081002,Buseto Palizzolo,0,0,19,300825,4203595,24.9
081002,Buseto Palizzolo,0,0,20,300507,4204026,24.9
081002,Buseto Palizzolo,0,0,21,299007,4204979,24.9
081002,Buseto Palizzolo,0,0,22,297724,4206143,24.9
081002,Buseto Palizzolo,0,0,23,296473,4206700,24.9
081002,Buseto Palizzolo,0,0,24,296806,4207351,24.9
081002,Buseto Palizzolo,0,0,25,296863,4208142,24.9
081002,Buseto Palizzolo,0,0,26,295035,4208708,24.9
081002,Buseto Palizzolo,0,0,27,295089,4209806,24.9
081002,Buseto Palizzolo,0,0,28,295662,4210759,24.9
081002,Buseto Palizzolo,0,0,29,295769,4211307,24.9
081002,Buseto Palizzolo,0,0,30,296458,4210974,24.9
081002,Buseto Palizzolo,0,0,31,297007,4211083,24.9
081002,Buseto Palizzolo,0,0,32,296812,4212560,24.9
081002,Buseto Palizzolo,0,0,33,297149,4212871,24.9
081002,Buseto Palizzolo,0,0,34,298486,4213013,24.9
081002,Buseto Palizzolo,0,0,35,299507,4212792,24.9
081003,Calatafimi-Segesta,0,0,0,317584,4206264,21.6
081003,Calatafimi-Segesta,0,0,1,317396,4205214,21.6
081003,Calatafimi-Segesta,0,0,2,317063,4204777,21.6
081003,Calatafimi-Segesta,0,0,3,317054,4203801,21.6
081003,Calatafimi-Segesta,0,0,4,318269,4200906,21.6
081003,Calatafimi-Segesta,0,0,5,317594,4200045,21.6
081003,Calatafimi-Segesta,0,0,6,317470,4199594,21.6
081003,Calatafimi-Segesta,0,0,7,317805,4199262,21.6
081003,Calatafimi-Segesta,0,0,8,318903,4198800,21.6
081003,Calatafimi-Segesta,0,0,9,319048,4198394,21.6
081003,Calatafimi-Segesta,0,0,10,319021,4197353,21.6
081003,Calatafimi-Segesta,0,0,11,318768,4197192,21.6
081003,Calatafimi-Segesta,0,0,12,318382,4196481,21.6
081003,Calatafimi-Segesta,0,0,13,318560,4195861,21.6
081003,Calatafimi-Segesta,0,0,14,318062,4195108,21.6
081003,Calatafimi-Segesta,0,0,15,318534,4194786,21.6
081003,Calatafimi-Segesta,0,0,16,319537,4194665,21.6
081003,Calatafimi-Segesta,0,0,17,319886,4193209,21.6
081003,Calatafimi-Segesta,0,0,18,320195,4193223,21.6
081003,Calatafimi-Segesta,0,0,19,320429,4192729,21.6
081003,Calatafimi-Segesta,0,0,20,320128,4192145,21.6
081003,Calatafimi-Segesta,0,0,21,319411,4191583,21.6
081003,Calatafimi-Segesta,0,0,22,318929,4190454,21.6
081003,Calatafimi-Segesta,0,0,23,318523,4189774,21.6
081003,Calatafimi-Segesta,0,0,24,318195,4189523,21.6
081003,Calatafimi-Segesta,0,0,25,317428,4189434,21.6
081003,Calatafimi-Segesta,0,0,26,316038,4188682,21.6
081003,Calatafimi-Segesta,0,0,27,314807,4188610,21.6
081003,Calatafimi-Segesta,0,0,28,313344,4188086,21.6
081003,Calatafimi-Segesta,0,0,29,312651,4188544,21.6
081003,Calatafimi-Segesta,0,0,30,312144,4188559,21.6
081003,Calatafimi-Segesta,0,0,31,311796,4189034,21.6
081003,Calatafimi-Segesta,0,0,32,311149,4190627,21.6
081003,Calatafimi-Segesta,0,0,33,311511,4191368,21.6
