territorio,nome_territorio,anno,genere,eta,neet_pct
IT,Italia,2018,F,Y15-24,19.298646
IT,Italia,2019,F,Y15-24,17.84267
IT,Italia,2020,F,Y15-24,19.00621
IT,Italia,2021,F,Y15-24,20.002734
IT,Italia,2022,F,Y15-24,15.401463
IT,Italia,2023,F,Y15-24,12.279504
IT,Italia,2024,F,Y15-24,11.596079
IT,Italia,2025,F,Y15-24,9.862341
IT,Italia,2018,M,Y15-24,18.945658
IT,Italia,2019,M,Y15-24,18.132578
IT,Italia,2020,M,Y15-24,19.323312
IT,Italia,2021,M,Y15-24,19.526684
IT,Italia,2022,M,Y15-24,16.283084
IT,Italia,2023,M,Y15-24,13.038825
IT,Italia,2024,M,Y15-24,12.297676
IT,Italia,2025,M,Y15-24,9.951907
IT,Italia,2018,T,Y15-24,19.115984
IT,Italia,2019,T,Y15-24,17.992676
IT,Italia,2020,T,Y15-24,19.170064
IT,Italia,2021,T,Y15-24,19.756526
IT,Italia,2022,T,Y15-24,15.857568
IT,Italia,2023,T,Y15-24,12.672271
IT,Italia,2024,T,Y15-24,11.959324
IT,Italia,2025,T,Y15-24,9.908812
IT,Italia,2018,F,Y15-29,25.170094
IT,Italia,2019,F,Y15-29,24.100728
IT,Italia,2020,F,Y15-29,25.84208
IT,Italia,2021,F,Y15-29,25.038407
IT,Italia,2022,F,Y15-29,20.469958
IT,Italia,2023,F,Y15-29,17.8412
IT,Italia,2024,F,Y15-29,16.633438
IT,Italia,2025,F,Y15-29,14.932451
IT,Italia,2018,M,Y15-29,21.305387
IT,Italia,2019,M,Y15-29,20.146893
IT,Italia,2020,M,Y15-29,21.757016
IT,Italia,2021,M,Y15-29,21.210573
IT,Italia,2022,M,Y15-29,17.692124
IT,Italia,2023,M,Y15-29,14.38645
IT,Italia,2024,M,Y15-29,13.846822
IT,Italia,2025,M,Y15-29,11.829756
IT,Italia,2018,T,Y15-29,23.184508
IT,Italia,2019,T,Y15-29,22.067804
IT,Italia,2020,T,Y15-29,23.742047
IT,Italia,2021,T,Y15-29,23.066929
IT,Italia,2022,T,Y15-29,19.036906
IT,Italia,2023,T,Y15-29,16.056448
IT,Italia,2024,T,Y15-29,15.190796
IT,Italia,2025,T,Y15-29,13.320796
IT,Italia,2018,F,Y15-34,28.590406
IT,Italia,2019,F,Y15-34,27.606421
IT,Italia,2020,F,Y15-34,29.670325
IT,Italia,2021,F,Y15-34,28.570908
IT,Italia,2022,F,Y15-34,24.698934
IT,Italia,2023,F,Y15-34,21.754186
IT,Italia,2024,F,Y15-34,20.648138
IT,Italia,2025,F,Y15-34,19.05245
IT,Italia,2018,M,Y15-34,20.758716
IT,Italia,2019,M,Y15-34,19.853878
IT,Italia,2020,M,Y15-34,21.537564
IT,Italia,2021,M,Y15-34,20.48689
IT,Italia,2022,M,Y15-34,17.111043
IT,Italia,2023,M,Y15-34,14.520725
IT,Italia,2024,M,Y15-34,14.195112
IT,Italia,2025,M,Y15-34,12.340135
IT,Italia,2018,T,Y15-34,24.592638
IT,Italia,2019,T,Y15-34,23.644848
IT,Italia,2020,T,Y15-34,25.512884
IT,Italia,2021,T,Y15-34,24.430603
IT,Italia,2022,T,Y15-34,20.805513
IT,Italia,2023,T,Y15-34,18.035435
IT,Italia,2024,T,Y15-34,17.323425
IT,Italia,2025,T,Y15-34,15.581164
IT,Italia,2018,F,Y18-29,29.783349
IT,Italia,2019,F,Y18-29,28.536738
IT,Italia,2020,F,Y18-29,30.800324
IT,Italia,2021,F,Y18-29,29.056231
IT,Italia,2022,F,Y18-29,23.931115
IT,Italia,2023,F,Y18-29,21.730156
IT,Italia,2024,F,Y18-29,20.311037
IT,Italia,2025,F,Y18-29,18.326994
IT,Italia,2018,M,Y18-29,24.982252
IT,Italia,2019,M,Y18-29,23.384161
IT,Italia,2020,M,Y18-29,25.767862
IT,Italia,2021,M,Y18-29,24.274813
IT,Italia,2022,M,Y18-29,20.410153
IT,Italia,2023,M,Y18-29,17.307689
IT,Italia,2024,M,Y18-29,16.67331
IT,Italia,2025,M,Y18-29,14.297334
IT,Italia,2018,T,Y18-29,27.319434
IT,Italia,2019,T,Y18-29,25.888761
IT,Italia,2020,T,Y18-29,28.214331
IT,Italia,2021,T,Y18-29,26.594033
IT,Italia,2022,T,Y18-29,22.114621
IT,Italia,2023,T,Y18-29,19.444776
IT,Italia,2024,T,Y18-29,18.426117
IT,Italia,2025,T,Y18-29,16.231072
ITG1,Sicilia,2018,F,Y15-24,31.493526
ITG1,Sicilia,2019,F,Y15-24,29.676445
ITG1,Sicilia,2020,F,Y15-24,28.310576
ITG1,Sicilia,2021,F,Y15-24,30.471519
ITG1,Sicilia,2022,F,Y15-24,26.354064
ITG1,Sicilia,2023,F,Y15-24,21.114043
ITG1,Sicilia,2024,F,Y15-24,17.400803
ITG1,Sicilia,2025,F,Y15-24,14.990729
ITG1,Sicilia,2018,M,Y15-24,30.966322
ITG1,Sicilia,2019,M,Y15-24,30.741395
ITG1,Sicilia,2020,M,Y15-24,31.731836
ITG1,Sicilia,2021,M,Y15-24,30.028757
ITG1,Sicilia,2022,M,Y15-24,26.38327
ITG1,Sicilia,2023,M,Y15-24,23.109055
ITG1,Sicilia,2024,M,Y15-24,21.468405
ITG1,Sicilia,2025,M,Y15-24,17.198237
ITG1,Sicilia,2018,T,Y15-24,31.222085
ITG1,Sicilia,2019,T,Y15-24,30.224524
ITG1,Sicilia,2020,T,Y15-24,30.068439
ITG1,Sicilia,2021,T,Y15-24,30.24334
ITG1,Sicilia,2022,T,Y15-24,26.369184
ITG1,Sicilia,2023,T,Y15-24,22.142982
ITG1,Sicilia,2024,T,Y15-24,19.499739
ITG1,Sicilia,2025,T,Y15-24,16.130843
ITG1,Sicilia,2018,F,Y15-29,40.230506
ITG1,Sicilia,2019,F,Y15-29,39.900397
ITG1,Sicilia,2020,F,Y15-29,40.736097
ITG1,Sicilia,2021,F,Y15-29,39.350964
ITG1,Sicilia,2022,F,Y15-29,34.569932
ITG1,Sicilia,2023,F,Y15-29,30.371498
ITG1,Sicilia,2024,F,Y15-29,27.393836
ITG1,Sicilia,2025,F,Y15-29,24.712496
ITG1,Sicilia,2018,M,Y15-29,36.582584
ITG1,Sicilia,2019,M,Y15-29,36.136367
ITG1,Sicilia,2020,M,Y15-29,36.234991
ITG1,Sicilia,2021,M,Y15-29,33.438049
ITG1,Sicilia,2022,M,Y15-29,30.359409
ITG1,Sicilia,2023,M,Y15-29,25.555972
ITG1,Sicilia,2024,M,Y15-29,24.185596
ITG1,Sicilia,2025,M,Y15-29,21.071603
ITG1,Sicilia,2018,T,Y15-29,38.361858
ITG1,Sicilia,2019,T,Y15-29,37.97464
ITG1,Sicilia,2020,T,Y15-29,38.434161
ITG1,Sicilia,2021,T,Y15-29,36.320204
ITG1,Sicilia,2022,T,Y15-29,32.410618
ITG1,Sicilia,2023,T,Y15-29,27.896386
ITG1,Sicilia,2024,T,Y15-29,25.742155
ITG1,Sicilia,2025,T,Y15-29,22.835329
ITG1,Sicilia,2018,F,Y15-34,46.386386
ITG1,Sicilia,2019,F,Y15-34,45.859629
ITG1,Sicilia,2020,F,Y15-34,46.757853
ITG1,Sicilia,2021,F,Y15-34,45.807018
ITG1,Sicilia,2022,F,Y15-34,41.393369
ITG1,Sicilia,2023,F,Y15-34,37.51474
ITG1,Sicilia,2024,F,Y15-34,35.257603
ITG1,Sicilia,2025,F,Y15-34,32.114385
ITG1,Sicilia,2018,M,Y15-34,36.807798
ITG1,Sicilia,2019,M,Y15-34,35.639782
ITG1,Sicilia,2020,M,Y15-34,37.17315
ITG1,Sicilia,2021,M,Y15-34,34.869375
ITG1,Sicilia,2022,M,Y15-34,31.610038
ITG1,Sicilia,2023,M,Y15-34,27.157218
ITG1,Sicilia,2024,M,Y15-34,25.219984
ITG1,Sicilia,2025,M,Y15-34,23.066165
ITG1,Sicilia,2018,T,Y15-34,41.502635
ITG1,Sicilia,2019,T,Y15-34,40.651591
ITG1,Sicilia,2020,T,Y15-34,41.876
ITG1,Sicilia,2021,T,Y15-34,40.22833
ITG1,Sicilia,2022,T,Y15-34,36.406564
ITG1,Sicilia,2023,T,Y15-34,32.219836
ITG1,Sicilia,2024,T,Y15-34,30.118529
ITG1,Sicilia,2025,T,Y15-34,27.473363
ITG1,Sicilia,2018,F,Y18-29,47.546418
ITG1,Sicilia,2019,F,Y18-29,47.136244
ITG1,Sicilia,2020,F,Y18-29,48.657273
ITG1,Sicilia,2021,F,Y18-29,45.517182
ITG1,Sicilia,2022,F,Y18-29,40.901685
ITG1,Sicilia,2023,F,Y18-29,37.102614
ITG1,Sicilia,2024,F,Y18-29,33.539896
ITG1,Sicilia,2025,F,Y18-29,30.250961
ITG1,Sicilia,2018,M,Y18-29,42.855638
ITG1,Sicilia,2019,M,Y18-29,42.091247
ITG1,Sicilia,2020,M,Y18-29,42.844347
ITG1,Sicilia,2021,M,Y18-29,38.528268
ITG1,Sicilia,2022,M,Y18-29,35.568077
ITG1,Sicilia,2023,M,Y18-29,31.090678
ITG1,Sicilia,2024,M,Y18-29,29.288454
ITG1,Sicilia,2025,M,Y18-29,25.841872
ITG1,Sicilia,2018,T,Y18-29,45.148008
