territorio,I1,L11,nome_comune,gemella,evidenzia
081001,99.0,25.6,Alcamo,False,
081002,103.3,24.9,Buseto Palizzolo,False,
081003,102.3,21.6,Calatafimi-Segesta,False,
081004,105.7,19.6,Campobello di Mazara,False,
081005,97.4,25.5,Castellammare del Golfo,False,
081006,94.1,24.9,Castelvetrano,False,
081007,92.0,25.2,Custonaci,False,
081008,101.0,26.8,Erice,True,
081009,118.8,22.5,Favignana,False,
081010,107.0,26.4,Gibellina,False,
081011,102.9,21.0,Marsala,False,
081012,102.0,19.2,Mazara del Vallo,False,
081013,97.4,24.9,Paceco,False,
081014,90.7,26.6,Pantelleria,False,
081015,94.2,26.9,Partanna,False,
081016,104.6,22.1,Poggioreale,False,
081017,89.4,24.8,Salaparuta,False,
081018,99.6,24.9,Salemi,False,
081019,103.9,25.9,Santa Ninfa,False,
081020,93.5,25.7,San Vito Lo Capo,False,
081021,103.7,24.2,Trapani,False,
081022,105.8,26.5,Valderice,False,
081023,97.8,25.1,Vita,False,
081024,104.9,18.0,Petrosino,False,
082001,96.7,17.4,Alia,False,
082002,103.2,20.8,Alimena,False,
082003,120.2,18.6,Aliminusa,False,
082004,98.4,23.2,Altavilla Milicia,False,
082005,100.1,24.1,Altofonte,True,
082006,98.9,18.1,Bagheria,False,Bagheria
082007,105.2,19.2,Balestrate,False,
082008,100.4,18.4,Baucina,False,
082009,101.2,19.2,Belmonte Mezzagno,False,
082010,103.6,19.8,Bisacquino,False,
082011,102.5,18.2,Bolognetta,False,
082012,109.1,25.8,Bompietro,False,
082013,102.2,17.4,Borgetto,False,
082014,88.3,23.2,Caccamo,False,
082015,107.1,20.4,Caltavuturo,False,
082016,61.9,18.4,Campofelice di Fitalia,False,
082017,97.8,26.4,Campofelice di Roccella,False,
082018,108.7,22.4,Campofiorito,False,
082019,84.1,23.6,Camporeale,False,
082020,97.0,22.2,Capaci,True,
082021,102.9,21.7,Carini,False,
082022,99.4,24.6,Castelbuono,False,
082023,102.5,20.1,Casteldaccia,False,
082024,98.8,27.6,Castellana Sicula,False,
082025,104.1,20.2,Castronovo di Sicilia,False,
082026,94.8,22.3,Cefalà Diana,False,
082027,97.1,27.7,Cefalù,False,
082028,94.5,19.0,Cerda,False,
082029,117.0,18.0,Chiusa Sclafani,False,
082030,116.5,13.7,Ciminna,False,
082031,103.5,22.1,Cinisi,False,
082032,115.7,22.5,Collesano,False,
082033,88.3,20.8,Contessa Entellina,False,
082034,104.7,21.6,Corleone,False,
082035,99.6,20.1,Ficarazzi,False,
082036,101.8,23.5,Gangi,False,
082037,84.6,27.6,Geraci Siculo,False,
082038,101.6,20.8,Giardinello,False,
082039,112.1,20.0,Giuliana,False,
082040,111.5,24.8,Godrano,False,
082041,104.4,16.3,Gratteri,False,
082042,122.8,22.1,Isnello,False,
082043,104.9,24.1,Isola delle Femmine,False,
082044,96.4,24.5,Lascari,False,
082045,95.9,16.8,Lercara Friddi,False,
082046,98.5,18.3,Marineo,False,
082047,92.2,20.6,Mezzojuso,False,
082048,107.0,16.2,Misilmeri,True,
082049,96.6,21.8,Monreale,False,
082050,109.9,21.5,Montelepre,False,
082051,116.4,18.3,Montemaggiore Belsito,False,
082052,97.8,23.5,Palazzo Adriano,False,
082053,102.5,25.5,Palermo,False,Palermo
082054,100.8,21.5,Partinico,False,
082055,107.5,28.3,Petralia Soprana,False,
082056,97.2,32.4,Petralia Sottana,False,
082057,90.7,24.0,Piana degli Albanesi,False,
082058,109.9,20.9,Polizzi Generosa,False,
082059,82.3,24.5,Pollina,False,
082060,96.1,17.5,Prizzi,False,
082061,95.2,18.6,Roccamena,False,
082062,99.0,17.8,Roccapalumba,False,
082063,95.9,18.1,San Cipirello,False,
082064,95.0,15.5,San Giuseppe Jato,False,
082065,111.0,21.1,San Mauro Castelverde,False,
082066,102.8,24.5,Santa Cristina Gela,False,
082067,101.3,18.6,Santa Flavia,True,
082068,88.2,17.1,Sciara,False,
082069,150.2,21.2,Sclafani Bagni,False,
082070,99.8,21.0,Termini Imerese,True,
082071,103.9,18.3,Terrasini,True,
082072,106.4,19.0,Torretta,False,
082073,102.1,17.7,Trabia,True,
082074,105.7,19.7,Trappeto,False,
082075,118.7,17.3,Ustica,False,
082076,100.2,19.2,Valledolmo,False,
082077,101.3,16.4,Ventimiglia di Sicilia,False,
082078,95.5,17.7,Vicari,False,
082079,102.9,16.6,Villabate,False,
082080,96.0,21.0,Villafrati,False,
082081,117.6,18.5,Scillato,False,
082082,90.9,29.5,Blufi,False,
083001,116.5,27.0,Alcara li Fusi,False,
083002,86.7,27.1,Alì,False,
083003,100.3,29.1,Alì Terme,False,
083004,123.4,26.0,Antillo,False,
083005,98.0,29.2,Barcellona Pozzo di Gotto,False,
083006,105.9,25.9,Basicò,False,
083007,95.8,36.5,Brolo,False,
083008,89.3,22.3,Capizzi,False,
083009,96.1,36.5,Capo d'Orlando,False,
083010,92.4,34.6,Capri Leone,False,
083011,104.2,26.1,Caronia,False,
083012,129.8,22.4,Casalvecchio Siculo,False,
083013,87.9,25.7,Castel di Lucio,False,
083014,86.1,31.0,Castell'Umberto,False,
083015,85.0,33.6,Castelmola,False,
083016,100.4,27.2,Castroreale,False,
083017,99.0,25.9,Cesarò,False,
083018,104.3,19.5,Condrò,False,
083019,91.2,29.5,Falcone,False,
083020,119.6,28.7,Ficarra,False,
083021,88.9,31.4,Fiumedinisi,False,
083022,123.9,27.8,Floresta,False,
083023,123.1,27.3,Fondachelli-Fantina,False,
083024,114.7,31.1,Forza d'Agrò,False,
083025,97.4,31.4,Francavilla di Sicilia,False,
083026,86.8,30.1,Frazzanò,False,
083027,101.6,35.2,Furci Siculo,False,
083028,101.6,29.8,Furnari,False,
083029,95.2,27.4,Gaggi,False,
083030,88.2,32.5,Galati Mamertino,False,
083031,111.4,26.4,Gallodoro,False,
083032,95.8,32.7,Giardini-Naxos,False,
083033,100.6,32.3,Gioiosa Marea,False,
083034,83.3,22.6,Graniti,False,
083035,115.2,21.4,Gualtieri Sicaminò,False,
083036,106.7,24.3,Itala,False,
083037,92.7,32.1,Leni,False,
083038,92.8,35.3,Letojanni,False,
083039,114.8,29.1,Librizzi,False,
083040,109.8,19.1,Limina,False,
083041,87.8,29.9,Lipari,False,
083042,112.1,31.8,Longi,False,
083043,84.4,28.1,Malfa,False,
083044,125.2,27.8,Malvagna,False,
083045,122.8,23.6,Mandanici,False,
083046,107.7,26.8,Mazzarrà Sant'Andrea,False,
083047,96.2,28.1,Merì,False,
083048,103.5,27.0,Messina,False,
083049,105.4,26.6,Milazzo,False,
083050,109.6,23.3,Militello Rosmarino,False,
083051,90.5,30.8,Mirto,False,
083052,87.4,23.7,Mistretta,False,
083053,109.3,27.5,Moio Alcantara,False,
083054,116.6,24.0,Monforte San Giorgio,False,
083055,73.4,30.9,Mongiuffi Melia,False,
083056,102.8,29.5,Montagnareale,False,
083057,103.1,28.2,Montalbano Elicona,False,
083058,99.8,32.4,Motta Camastra,False,
083059,112.1,22.5,Motta d'Affermo,False,
083060,93.7,30.9,Naso,False,
083061,102.9,31.9,Nizza di Sicilia,False,
083062,111.7,25.0,Novara di Sicilia,False,
083063,104.5,29.5,Oliveri,False,
083064,106.9,26.0,Pace del Mela,False,
083065,120.2,27.9,Pagliara,False,
083066,103.8,32.7,Patti,False,
083067,110.8,23.1,Pettineo,False,
083068,99.7,32.5,Piraino,False,
083069,110.0,31.7,Raccuja,False,
083070,100.6,23.5,Reitano,False,
083071,84.0,29.2,Roccafiorita,False,
083072,100.1,31.2,Roccalumera,False,
083073,118.6,24.8,Roccavaldina,False,
083074,119.2,27.4,Roccella Valdemone,False,
083075,100.1,32.0,Rodì Milici,False,
083076,109.6,25.8,Rometta,False,
083077,108.1,25.8,San Filippo del Mela,False,
083078,111.1,26.8,San Fratello,False,
083079,102.1,37.0,San Marco d'Alunzio,False,
083080,97.7,22.8,San Pier Niceto,False,
083081,95.1,32.2,San Piero Patti,False,
083082,91.9,24.2,San Salvatore di Fitalia,False,
083083,98.1,36.1,Santa Domenica Vittoria,False,
083084,94.0,31.1,Sant'Agata di Militello,False,
083085,101.0,38.6,Sant'Alessio Siculo,False,
083086,97.5,24.1,Santa Lucia del Mela,False,
083087,99.4,29.0,Santa Marina Salina,False,
083088,101.8,33.7,Sant'Angelo di Brolo,False,
083089,101.9,32.9,Santa Teresa di Riva,False,
083090,98.5,25.5,San Teodoro,False,
083091,97.0,25.9,Santo Stefano di Camastra,False,
083092,106.0,20.9,Saponara,False,
083093,92.2,26.7,Savoca,False,
083094,100.1,23.5,Scaletta Zanclea,False,
083095,102.3,33.7,Sinagra,False,
083096,110.3,23.6,Spadafora,False,
083097,97.0,34.2,Taormina,False,
083098,106.9,24.6,Torregrotta,False,
083099,84.5,36.9,Tortorici,False,
083100,104.3,31.3,Tripi,False,
083101,99.2,25.1,Tusa,False,
083102,112.7,22.5,Ucria,False,
083103,105.8,27.4,Valdina,False,
083104,104.3,24.5,Venetico,False,
083105,107.5,26.1,Villafranca Tirrena,False,
083106,97.9,33.9,Terme Vigliatore,False,
083107,102.3,26.7,Acquedolci,False,
083108,96.0,36.3,Torrenova,False,
084001,102.1,26.9,Agrigento,False,
084002,101.1,19.8,Alessandria della Rocca,False,
084003,102.5,23.3,Aragona,False,
084004,95.0,21.3,Bivona,False,
084005,104.5,22.5,Burgio,False,
084006,95.8,24.5,Calamonaci,False,
084007,105.5,19.1,Caltabellotta,False,
084008,104.0,20.6,Camastra,False,
084009,94.0,22.7,Cammarata,False,
084010,99.6,17.9,Campobello di Licata,False,
084011,103.1,19.5,Canicattì,False,
084012,113.6,18.9,Casteltermini,False,
084013,110.0,16.7,Castrofilippo,False,
084014,110.0,18.7,Cattolica Eraclea,False,
084015,115.1,20.0,Cianciana,False,
084016,115.7,23.0,Comitini,False,
084017,99.0,20.6,Favara,False,
084018,101.0,18.1,Grotte,False,
084019,113.9,25.0,Joppolo Giancaxio,False,
084020,98.5,22.3,Lampedusa e Linosa,False,
084021,98.6,17.7,Licata,False,
084022,92.3,28.5,Lucca Sicula,False,
084023,103.0,19.1,Menfi,False,
084024,94.7,20.3,Montallegro,False,
084025,95.5,21.1,Montevago,False,
084026,114.6,15.4,Naro,False,
084027,115.3,13.6,Palma di Montechiaro,False,
084028,105.5,16.5,Porto Empedocle,True,
084029,104.8,18.2,Racalmuto,False,
084030,115.7,22.2,Raffadali,False,
084031,102.1,17.3,Ravanusa,False,
084032,106.1,18.7,Realmonte,False,
084033,99.5,21.5,Ribera,False,
084034,94.9,24.1,Sambuca di Sicilia,False,
084035,100.5,18.0,San Biagio Platani,False,
084036,95.4,23.1,San Giovanni Gemini,False,
084037,114.5,19.6,Santa Elisabetta,False,
084038,93.2,19.9,Santa Margherita di Belice,False,
084039,99.8,20.9,Sant'Angelo Muxaro,False,
084040,91.1,19.4,Santo Stefano Quisquina,False,
084041,100.3,22.9,Sciacca,True,
084042,111.6,19.1,Siculiana,False,
084043,102.1,23.3,Villafranca Sicula,False,
085001,106.1,20.1,Acquaviva Platani,False,
085002,151.9,16.1,Bompensiere,False,
085003,106.2,17.6,Butera,False,
085004,102.3,28.5,Caltanissetta,False,
085005,120.7,19.6,Campofranco,False,
085006,102.9,23.9,Delia,False,
085007,104.7,16.2,Gela,False,
085008,134.7,16.9,Marianopoli,False,
085009,103.7,18.1,Mazzarino,False,
085010,121.2,23.6,Milena,False,
085011,130.3,16.3,Montedoro,False,
085012,101.5,26.6,Mussomeli,False,
085013,105.5,13.2,Niscemi,False,
085014,105.5,20.4,Resuttano,False,
085015,108.5,15.0,Riesi,False,
085016,100.7,23.8,San Cataldo,False,
085017,103.0,18.3,Santa Caterina Villarmosa,False,
