nome_territorio,motivo,anno,quota_F,quota_M,gap_M_meno_F
Bagheria,STD,2018,17.0,14.0,-3.0
Bagheria,STD,2019,16.3,13.6,-2.7
Bagheria,WK,2018,32.3,40.6,8.3
Bagheria,WK,2019,33.0,41.2,8.2
Italia,STD,2018,29.4,27.9,-1.5
Italia,STD,2019,30.0,28.6,-1.4
Italia,WK,2018,45.5,50.4,5.0
Italia,WK,2019,46.0,50.7,4.7
Palermo,STD,2018,1.0,0.9,-0.2
Palermo,STD,2019,0.7,0.6,-0.1
Palermo,WK,2018,4.8,6.5,1.7
Palermo,WK,2019,4.0,5.5,1.5
Sicilia,STD,2018,20.6,18.9,-1.7
Sicilia,STD,2019,21.5,19.7,-1.8
Sicilia,WK,2018,28.3,32.3,3.9
Sicilia,WK,2019,28.4,32.5,4.1
