territorio,nome_territorio,anno,genere,pop_15_24,diplomati,occupati,almeno_diploma_15_24_%,occupazione_15_24_%,per_1000_diploma,per_1000_occupati,pop_18_24,almeno_diploma_18_24_bound_%
082006,Bagheria,2021,F,2852.0,1391.0,176.0,48.8,6.2,488,62,1982.0,70.2
082006,Bagheria,2021,M,3039.0,1377.0,419.0,45.3,13.8,453,138,2121.0,64.9
082006,Bagheria,2022,F,2847.0,1420.0,219.0,49.9,7.7,499,77,2030.0,70.0
082006,Bagheria,2022,M,3035.0,1385.0,467.0,45.6,15.4,456,154,2129.0,65.1
082006,Bagheria,2023,F,2881.0,1435.0,231.0,49.8,8.0,498,80,2064.0,69.5
082006,Bagheria,2023,M,2998.0,1364.0,455.0,45.5,15.2,455,152,2118.0,64.4
082006,Bagheria,2024,F,2882.0,1469.0,236.0,51.0,8.2,510,82,2053.0,71.6
082006,Bagheria,2024,M,3022.0,1395.0,498.0,46.2,16.5,462,165,2116.0,65.9
082053,Palermo,2021,F,32229.0,15496.0,2427.0,48.1,7.5,481,75,22165.0,69.9
082053,Palermo,2021,M,34400.0,15529.0,4772.0,45.1,13.9,451,139,23835.0,65.2
082053,Palermo,2022,F,32475.0,15679.0,2801.0,48.3,8.6,483,86,22425.0,69.9
082053,Palermo,2022,M,34257.0,15580.0,5237.0,45.5,15.3,455,153,23914.0,65.2
082053,Palermo,2023,F,32551.0,15161.0,2999.0,46.6,9.2,466,92,22662.0,66.9
082053,Palermo,2023,M,34389.0,15064.0,5329.0,43.8,15.5,438,155,24065.0,62.6
082053,Palermo,2024,F,32672.0,15453.0,3133.0,47.3,9.6,473,96,22835.0,67.7
082053,Palermo,2024,M,34363.0,15287.0,5683.0,44.5,16.5,445,165,24205.0,63.2
IT,Italia,2021,F,2775037.0,1489457.0,416292.0,53.7,15.0,537,150,1938579.0,76.8
IT,Italia,2021,M,3014421.0,1512969.0,746126.0,50.2,24.8,502,248,2121760.0,71.3
IT,Italia,2022,F,2796244.0,1512184.0,458524.0,54.1,16.4,541,164,1959510.0,77.2
IT,Italia,2022,M,3037208.0,1533320.0,794188.0,50.5,26.1,505,261,2142328.0,71.6
IT,Italia,2023,F,2811640.0,1492147.0,475260.0,53.1,16.9,531,169,1968309.0,75.8
IT,Italia,2023,M,3059980.0,1509980.0,809131.0,49.3,26.4,493,264,2159100.0,69.9
IT,Italia,2024,F,2822968.0,1507552.0,487633.0,53.4,17.3,534,173,1979400.0,76.2
IT,Italia,2024,M,3088740.0,1530402.0,831827.0,49.5,26.9,495,269,2186355.0,70.0
ITG1,Sicilia,2021,F,245867.0,124834.0,20693.0,50.8,8.4,508,84,172556.0,72.3
ITG1,Sicilia,2021,M,266915.0,122914.0,45806.0,46.0,17.2,460,172,188116.0,65.3
ITG1,Sicilia,2022,F,245647.0,126190.0,22947.0,51.4,9.3,514,93,173475.0,72.7
ITG1,Sicilia,2022,M,266072.0,123775.0,49618.0,46.5,18.6,465,186,188757.0,65.6
ITG1,Sicilia,2023,F,244677.0,122921.0,24320.0,50.2,9.9,502,99,173138.0,71.0
ITG1,Sicilia,2023,M,265609.0,120809.0,51168.0,45.5,19.3,455,193,188562.0,64.1
ITG1,Sicilia,2024,F,243292.0,123862.0,25326.0,50.9,10.4,509,104,172081.0,72.0
ITG1,Sicilia,2024,M,265707.0,122761.0,53848.0,46.2,20.3,462,203,189077.0,64.9
VICINI5,vicinato (5 comuni),2021,F,4560.0,2108.0,340.0,46.2,7.5,462,75,3108.0,67.8
VICINI5,vicinato (5 comuni),2021,M,4884.0,2146.0,764.0,43.9,15.6,439,156,3310.0,64.8
VICINI5,vicinato (5 comuni),2022,F,4535.0,2165.0,357.0,47.7,7.9,477,79,3124.0,69.3
VICINI5,vicinato (5 comuni),2022,M,4835.0,2184.0,795.0,45.2,16.4,452,164,3346.0,65.3
VICINI5,vicinato (5 comuni),2023,F,4572.0,2090.0,370.0,45.7,8.1,457,81,3195.0,65.4
VICINI5,vicinato (5 comuni),2023,M,4910.0,2170.0,819.0,44.2,16.7,442,167,3457.0,62.8
VICINI5,vicinato (5 comuni),2024,F,4618.0,2171.0,411.0,47.0,8.9,470,89,3233.0,67.2
VICINI5,vicinato (5 comuni),2024,M,4943.0,2247.0,873.0,45.5,17.7,455,177,3475.0,64.7
