territorio,nome_territorio,genere,anno_da,anno_a,anni,eta_da,eta_a,n_da,n_a,ritenzione_pct,fonti_diverse
082006,Bagheria,F,2001,2011,10,Y10-14,Y20-24,1786,1843,103.2,False
082006,Bagheria,F,2001,2011,10,Y15-19,Y25-29,1799,1851,102.9,False
082006,Bagheria,F,2001,2011,10,Y20-24,Y30-34,1829,1893,103.5,False
082006,Bagheria,F,2001,2011,10,Y25-29,Y35-39,2017,2056,101.9,False
082006,Bagheria,F,2001,2011,10,Y30-34,Y40-44,2126,2153,101.3,False
082006,Bagheria,F,2001,2011,10,Y35-39,Y45-49,2009,2069,103.0,False
082006,Bagheria,M,2001,2011,10,Y10-14,Y20-24,1895,1871,98.7,False
082006,Bagheria,M,2001,2011,10,Y15-19,Y25-29,1823,1794,98.4,False
082006,Bagheria,M,2001,2011,10,Y20-24,Y30-34,1845,1847,100.1,False
082006,Bagheria,M,2001,2011,10,Y25-29,Y35-39,1867,1951,104.5,False
082006,Bagheria,M,2001,2011,10,Y30-34,Y40-44,1913,1977,103.3,False
082006,Bagheria,M,2001,2011,10,Y35-39,Y45-49,1990,1956,98.3,False
082053,Palermo,F,2001,2011,10,Y10-14,Y20-24,21828,20595,94.4,False
082053,Palermo,F,2001,2011,10,Y15-19,Y25-29,22838,19999,87.6,False
082053,Palermo,F,2001,2011,10,Y20-24,Y30-34,24527,21533,87.8,False
082053,Palermo,F,2001,2011,10,Y25-29,Y35-39,26064,24213,92.9,False
082053,Palermo,F,2001,2011,10,Y30-34,Y40-44,26281,25540,97.2,False
082053,Palermo,F,2001,2011,10,Y35-39,Y45-49,27475,26565,96.7,False
082053,Palermo,M,2001,2011,10,Y10-14,Y20-24,23084,21866,94.7,False
082053,Palermo,M,2001,2011,10,Y15-19,Y25-29,24076,20786,86.3,False
082053,Palermo,M,2001,2011,10,Y20-24,Y30-34,25205,20924,83.0,False
082053,Palermo,M,2001,2011,10,Y25-29,Y35-39,25913,23003,88.8,False
082053,Palermo,M,2001,2011,10,Y30-34,Y40-44,24996,23415,93.7,False
082053,Palermo,M,2001,2011,10,Y35-39,Y45-49,25138,23747,94.5,False
ITG1,Sicilia,F,2001,2011,10,Y10-14,Y20-24,151659,153992,101.5,False
ITG1,Sicilia,F,2001,2011,10,Y15-19,Y25-29,158332,154817,97.8,False
ITG1,Sicilia,F,2001,2011,10,Y20-24,Y30-34,170448,164587,96.6,False
ITG1,Sicilia,F,2001,2011,10,Y25-29,Y35-39,186981,184590,98.7,False
ITG1,Sicilia,F,2001,2011,10,Y30-34,Y40-44,191761,193504,100.9,False
ITG1,Sicilia,F,2001,2011,10,Y35-39,Y45-49,192024,192776,100.4,False
ITG1,Sicilia,M,2001,2011,10,Y10-14,Y20-24,159749,160509,100.5,False
ITG1,Sicilia,M,2001,2011,10,Y15-19,Y25-29,164576,156490,95.1,False
ITG1,Sicilia,M,2001,2011,10,Y20-24,Y30-34,173828,162037,93.2,False
ITG1,Sicilia,M,2001,2011,10,Y25-29,Y35-39,184791,178971,96.9,False
ITG1,Sicilia,M,2001,2011,10,Y30-34,Y40-44,184135,183228,99.5,False
ITG1,Sicilia,M,2001,2011,10,Y35-39,Y45-49,181346,180602,99.6,False
IT,Italia,F,2001,2011,10,Y10-14,Y20-24,1364628,1495624,109.6,False
IT,Italia,F,2001,2011,10,Y15-19,Y25-29,1445729,1634863,113.1,False
IT,Italia,F,2001,2011,10,Y20-24,Y30-34,1685003,1897630,112.6,False
IT,Italia,F,2001,2011,10,Y25-29,Y35-39,2108572,2292622,108.7,False
IT,Italia,F,2001,2011,10,Y30-34,Y40-44,2260176,2417302,107.0,False
IT,Italia,F,2001,2011,10,Y35-39,Y45-49,2309619,2416476,104.6,False
IT,Italia,M,2001,2011,10,Y10-14,Y20-24,1440659,1556725,108.1,False
IT,Italia,M,2001,2011,10,Y15-19,Y25-29,1517900,1640679,108.1,False
IT,Italia,M,2001,2011,10,Y20-24,Y30-34,1739347,1883743,108.3,False
IT,Italia,M,2001,2011,10,Y25-29,Y35-39,2138204,2271544,106.2,False
IT,Italia,M,2001,2011,10,Y30-34,Y40-44,2283606,2378283,104.1,False
IT,Italia,M,2001,2011,10,Y35-39,Y45-49,2313969,2355807,101.8,False
082006,Bagheria,F,2011,2021,10,Y10-14,Y20-24,1476,1383,93.7,True
082006,Bagheria,F,2011,2021,10,Y15-19,Y25-29,1732,1534,88.6,True
082006,Bagheria,F,2011,2021,10,Y20-24,Y30-34,1843,1668,90.5,True
082006,Bagheria,F,2011,2021,10,Y25-29,Y35-39,1851,1671,90.3,True
082006,Bagheria,F,2011,2021,10,Y30-34,Y40-44,1893,1794,94.8,True
082006,Bagheria,F,2011,2021,10,Y35-39,Y45-49,2056,2012,97.9,True
082006,Bagheria,M,2011,2021,10,Y10-14,Y20-24,1611,1525,94.7,True
082006,Bagheria,M,2011,2021,10,Y15-19,Y25-29,1744,1464,83.9,True
082006,Bagheria,M,2011,2021,10,Y20-24,Y30-34,1871,1617,86.4,True
082006,Bagheria,M,2011,2021,10,Y25-29,Y35-39,1794,1667,92.9,True
082006,Bagheria,M,2011,2021,10,Y30-34,Y40-44,1847,1770,95.8,True
082006,Bagheria,M,2011,2021,10,Y35-39,Y45-49,1951,1884,96.6,True
082053,Palermo,F,2011,2021,10,Y10-14,Y20-24,16539,15871,96.0,True
082053,Palermo,F,2011,2021,10,Y15-19,Y25-29,18895,17035,90.2,True
082053,Palermo,F,2011,2021,10,Y20-24,Y30-34,20595,17949,87.2,True
082053,Palermo,F,2011,2021,10,Y25-29,Y35-39,19999,18882,94.4,True
082053,Palermo,F,2011,2021,10,Y30-34,Y40-44,21533,21522,99.9,True
082053,Palermo,F,2011,2021,10,Y35-39,Y45-49,24213,24297,100.3,True
082053,Palermo,M,2011,2021,10,Y10-14,Y20-24,17445,17101,98.0,True
082053,Palermo,M,2011,2021,10,Y15-19,Y25-29,20159,17392,86.3,True
082053,Palermo,M,2011,2021,10,Y20-24,Y30-34,21866,18086,82.7,True
082053,Palermo,M,2011,2021,10,Y25-29,Y35-39,20786,18382,88.4,True
082053,Palermo,M,2011,2021,10,Y30-34,Y40-44,20924,20252,96.8,True
082053,Palermo,M,2011,2021,10,Y35-39,Y45-49,23003,22965,99.8,True
ITG1,Sicilia,F,2011,2021,10,Y10-14,Y20-24,127489,123783,97.1,True
