territorio,nome_territorio,genere,eta_2021,eta_2024,n_2021,n_2024,ritenzione_pct,ritenzione_rolling3_pct
082006,Bagheria,F,13,16,301,301,100.0,
082006,Bagheria,F,14,17,259,261,100.8,99.8
082006,Bagheria,F,15,18,263,259,98.5,100.6
082006,Bagheria,F,16,19,289,296,102.4,99.5
082006,Bagheria,F,17,20,318,311,97.8,100.5
082006,Bagheria,F,18,21,314,319,101.6,100.3
082006,Bagheria,F,19,22,285,290,101.8,101.0
082006,Bagheria,F,20,23,277,276,99.6,103.3
082006,Bagheria,F,21,24,278,302,108.6,101.5
082006,Bagheria,F,22,25,287,277,96.5,103.3
082006,Bagheria,F,23,26,256,269,105.1,100.5
082006,Bagheria,F,24,27,285,286,100.4,99.6
082006,Bagheria,F,25,28,315,298,94.6,97.1
082006,Bagheria,F,26,29,266,257,96.6,96.9
082006,Bagheria,F,27,30,314,312,99.4,97.6
082006,Bagheria,F,28,31,300,290,96.7,96.7
082006,Bagheria,F,29,32,339,320,94.4,97.9
082006,Bagheria,F,30,33,328,337,102.7,98.4
082006,Bagheria,F,31,34,324,318,98.1,
082006,Bagheria,M,13,16,285,287,100.7,
082006,Bagheria,M,14,17,319,315,98.7,99.4
082006,Bagheria,M,15,18,290,287,99.0,98.8
082006,Bagheria,M,16,19,300,296,98.7,99.2
082006,Bagheria,M,17,20,328,328,100.0,99.4
082006,Bagheria,M,18,21,299,297,99.3,98.3
082006,Bagheria,M,19,22,297,283,95.3,97.8
082006,Bagheria,M,20,23,315,311,98.7,99.2
082006,Bagheria,M,21,24,303,314,103.6,100.7
082006,Bagheria,M,22,25,287,286,99.7,100.4
082006,Bagheria,M,23,26,306,300,98.0,98.7
082006,Bagheria,M,24,27,314,309,98.4,97.5
082006,Bagheria,M,25,28,289,277,95.8,97.6
082006,Bagheria,M,26,29,290,286,98.6,100.0
082006,Bagheria,M,27,30,293,309,105.5,102.7
082006,Bagheria,M,28,31,297,309,104.0,103.7
082006,Bagheria,M,29,32,295,300,101.7,101.1
082006,Bagheria,M,30,33,298,291,97.7,100.0
082006,Bagheria,M,31,34,324,326,100.6,
082053,Palermo,F,13,16,3201,3238,101.2,
082053,Palermo,F,14,17,3328,3350,100.7,100.9
082053,Palermo,F,15,18,3297,3331,101.0,100.7
082053,Palermo,F,16,19,3403,3419,100.5,100.2
082053,Palermo,F,17,20,3364,3334,99.1,100.7
082053,Palermo,F,18,21,3095,3180,102.7,100.9
082053,Palermo,F,19,22,3199,3227,100.9,101.0
082053,Palermo,F,20,23,3214,3195,99.4,99.9
082053,Palermo,F,21,24,3164,3149,99.5,100.0
082053,Palermo,F,22,25,3149,3180,101.0,99.9
082053,Palermo,F,23,26,3186,3161,99.2,99.9
082053,Palermo,F,24,27,3158,3147,99.7,98.8
082053,Palermo,F,25,28,3305,3225,97.6,98.8
082053,Palermo,F,26,29,3268,3241,99.2,98.6
082053,Palermo,F,27,30,3328,3298,99.1,99.0
082053,Palermo,F,28,31,3434,3394,98.8,99.1
082053,Palermo,F,29,32,3700,3679,99.4,99.5
082053,Palermo,F,30,33,3550,3556,100.2,99.7
082053,Palermo,F,31,34,3542,3528,99.6,
082053,Palermo,M,13,16,3397,3431,101.0,
082053,Palermo,M,14,17,3302,3348,101.4,101.2
082053,Palermo,M,15,18,3562,3610,101.3,101.5
082053,Palermo,M,16,19,3478,3541,101.8,101.2
082053,Palermo,M,17,20,3525,3543,100.5,101.3
082053,Palermo,M,18,21,3391,3446,101.6,100.7
082053,Palermo,M,19,22,3343,3341,99.9,99.7
082053,Palermo,M,20,23,3420,3339,97.6,98.5
082053,Palermo,M,21,24,3452,3385,98.1,98.4
082053,Palermo,M,22,25,3483,3464,99.5,97.9
082053,Palermo,M,23,26,3368,3239,96.2,97.6
082053,Palermo,M,24,27,3378,3281,97.1,96.6
082053,Palermo,M,25,28,3380,3263,96.5,96.4
082053,Palermo,M,26,29,3415,3262,95.5,96.5
082053,Palermo,M,27,30,3318,3232,97.4,96.7
082053,Palermo,M,28,31,3561,3456,97.1,97.4
082053,Palermo,M,29,32,3718,3635,97.8,97.9
082053,Palermo,M,30,33,3622,3585,99.0,98.7
082053,Palermo,M,31,34,3621,3600,99.4,
ITG1,Sicilia,F,13,16,23813,23926,100.5,
ITG1,Sicilia,F,14,17,23745,23851,100.4,100.5
ITG1,Sicilia,F,15,18,23798,23910,100.5,100.5
ITG1,Sicilia,F,16,19,24530,24639,100.4,100.4
ITG1,Sicilia,F,17,20,24983,25034,100.2,100.7
ITG1,Sicilia,F,18,21,24340,24696,101.5,100.8
ITG1,Sicilia,F,19,22,24433,24599,100.7,100.7
ITG1,Sicilia,F,20,23,24617,24573,99.8,100.2
ITG1,Sicilia,F,21,24,24585,24630,100.2,99.8
ITG1,Sicilia,F,22,25,25075,24954,99.5,99.4
ITG1,Sicilia,F,23,26,24751,24351,98.4,98.6
ITG1,Sicilia,F,24,27,24755,24265,98.0,97.9
