territorio,nome_territorio,genere,eta_2021,eta_2024,n_2021,n_2024,ritenzione_pct,ritenzione_rolling3_pct
082067,Santa Flavia,F,13,16,59,64,108.5,
082067,Santa Flavia,F,14,17,53,55,103.8,105.3
082067,Santa Flavia,F,15,18,57,59,103.5,101.7
082067,Santa Flavia,F,16,19,62,61,98.4,102.2
082067,Santa Flavia,F,17,20,64,67,104.7,100.5
082067,Santa Flavia,F,18,21,65,64,98.5,99.4
082067,Santa Flavia,F,19,22,51,48,94.1,96.4
082067,Santa Flavia,F,20,23,52,50,96.2,94.1
082067,Santa Flavia,F,21,24,67,62,92.5,94.4
082067,Santa Flavia,F,22,25,58,55,94.8,92.8
082067,Santa Flavia,F,23,26,55,50,90.9,93.6
082067,Santa Flavia,F,24,27,59,56,94.9,99.4
082067,Santa Flavia,F,25,28,60,67,111.7,104.2
082067,Santa Flavia,F,26,29,48,51,106.2,107.1
082067,Santa Flavia,F,27,30,60,62,103.3,106.0
082067,Santa Flavia,F,28,31,75,81,108.0,105.1
082067,Santa Flavia,F,29,32,62,64,103.2,104.5
082067,Santa Flavia,F,30,33,61,62,101.6,104.8
082067,Santa Flavia,F,31,34,64,70,109.4,
082067,Santa Flavia,M,13,16,65,63,96.9,
082067,Santa Flavia,M,14,17,65,66,101.5,101.1
082067,Santa Flavia,M,15,18,56,59,105.4,102.8
082067,Santa Flavia,M,16,19,56,57,101.8,104.0
082067,Santa Flavia,M,17,20,64,67,104.7,100.6
082067,Santa Flavia,M,18,21,55,52,94.5,101.7
082067,Santa Flavia,M,19,22,55,58,105.5,96.9
082067,Santa Flavia,M,20,23,52,47,90.4,99.4
082067,Santa Flavia,M,21,24,57,58,101.8,98.8
082067,Santa Flavia,M,22,25,60,62,103.3,99.4
082067,Santa Flavia,M,23,26,60,56,93.3,95.2
082067,Santa Flavia,M,24,27,66,59,89.4,93.2
082067,Santa Flavia,M,25,28,50,49,98.0,95.8
082067,Santa Flavia,M,26,29,49,50,102.0,96.4
082067,Santa Flavia,M,27,30,68,62,91.2,96.0
082067,Santa Flavia,M,28,31,58,56,96.6,93.3
082067,Santa Flavia,M,29,32,68,63,92.6,92.2
082067,Santa Flavia,M,30,33,67,59,88.1,97.3
082067,Santa Flavia,M,31,34,87,94,108.0,
082035,Ficarazzi,F,13,16,79,74,93.7,
082035,Ficarazzi,F,14,17,72,70,97.2,94.0
082035,Ficarazzi,F,15,18,83,76,91.6,96.0
082035,Ficarazzi,F,16,19,68,68,100.0,94.7
082035,Ficarazzi,F,17,20,92,86,93.5,95.7
082035,Ficarazzi,F,18,21,74,70,94.6,94.0
082035,Ficarazzi,F,19,22,69,65,94.2,99.5
082035,Ficarazzi,F,20,23,77,84,109.1,105.3
082035,Ficarazzi,F,21,24,61,69,113.1,107.7
082035,Ficarazzi,F,22,25,70,71,101.4,110.9
082035,Ficarazzi,F,23,26,52,63,121.2,104.5
082035,Ficarazzi,F,24,27,80,77,96.2,105.7
082035,Ficarazzi,F,25,28,80,84,105.0,100.9
082035,Ficarazzi,F,26,29,69,70,101.4,103.1
082035,Ficarazzi,F,27,30,79,81,102.5,99.6
082035,Ficarazzi,F,28,31,97,93,95.9,100.4
082035,Ficarazzi,F,29,32,92,95,103.3,99.3
082035,Ficarazzi,F,30,33,81,80,98.8,96.3
082035,Ficarazzi,F,31,34,98,86,87.8,
082035,Ficarazzi,M,13,16,90,86,95.6,
082035,Ficarazzi,M,14,17,74,75,101.4,97.9
082035,Ficarazzi,M,15,18,75,73,97.3,99.2
082035,Ficarazzi,M,16,19,88,87,98.9,95.5
082035,Ficarazzi,M,17,20,84,76,90.5,93.1
082035,Ficarazzi,M,18,21,74,66,89.2,92.0
082035,Ficarazzi,M,19,22,79,76,96.2,97.5
082035,Ficarazzi,M,20,23,83,88,106.0,100.0
082035,Ficarazzi,M,21,24,72,70,97.2,102.2
082035,Ficarazzi,M,22,25,75,77,102.7,100.0
082035,Ficarazzi,M,23,26,79,79,100.0,99.1
082035,Ficarazzi,M,24,27,76,72,94.7,96.0
082035,Ficarazzi,M,25,28,68,63,92.6,96.2
082035,Ficarazzi,M,26,29,65,66,101.5,98.6
082035,Ficarazzi,M,27,30,74,75,101.4,99.1
082035,Ficarazzi,M,28,31,84,80,95.2,101.3
082035,Ficarazzi,M,29,32,81,87,107.4,101.6
082035,Ficarazzi,M,30,33,84,86,102.4,101.6
082035,Ficarazzi,M,31,34,92,88,95.7,
082079,Villabate,F,13,16,122,113,92.6,
082079,Villabate,F,14,17,108,109,100.9,96.8
082079,Villabate,F,15,18,116,113,97.4,99.1
082079,Villabate,F,16,19,119,118,99.2,99.1
082079,Villabate,F,17,20,111,112,100.9,97.9
082079,Villabate,F,18,21,104,97,93.3,97.0
082079,Villabate,F,19,22,113,109,96.5,94.8
082079,Villabate,F,20,23,109,103,94.5,97.4
082079,Villabate,F,21,24,124,125,100.8,100.3
082079,Villabate,F,22,25,98,104,106.1,101.0
082079,Villabate,F,23,26,93,89,95.7,98.5
082079,Villabate,F,24,27,135,128,94.8,98.6
082079,Villabate,F,25,28,120,126,105.0,102.2
082079,Villabate,F,26,29,110,119,108.2,101.1
082079,Villabate,F,27,30,134,123,91.8,98.6
082079,Villabate,F,28,31,124,121,97.6,96.8
082079,Villabate,F,29,32,147,148,100.7,98.1
082079,Villabate,F,30,33,156,150,96.2,98.2
082079,Villabate,F,31,34,131,128,97.7,
082079,Villabate,M,13,16,130,125,96.2,
082079,Villabate,M,14,17,125,120,96.0,95.8
082079,Villabate,M,15,18,105,100,95.2,95.5
082079,Villabate,M,16,19,127,121,95.3,97.6
082079,Villabate,M,17,20,140,142,101.4,98.9
082079,Villabate,M,18,21,110,110,100.0,100.0
082079,Villabate,M,19,22,127,125,98.4,97.8
082079,Villabate,M,20,23,123,117,95.1,96.1
082079,Villabate,M,21,24,112,106,94.6,96.8
082079,Villabate,M,22,25,114,115,100.9,94.6
082079,Villabate,M,23,26,89,77,86.5,96.1
082079,Villabate,M,24,27,106,105,99.1,93.4
082079,Villabate,M,25,28,107,100,93.5,94.9
082079,Villabate,M,26,29,121,112,92.6,98.5
082079,Villabate,M,27,30,104,115,110.6,98.5
082079,Villabate,M,28,31,113,106,93.8,102.7
082079,Villabate,M,29,32,116,121,104.3,96.2
082079,Villabate,M,30,33,141,129,91.5,98.2
082079,Villabate,M,31,34,133,133,100.0,
082023,Casteldaccia,F,13,16,58,62,106.9,
082023,Casteldaccia,F,14,17,63,57,90.5,98.9
082023,Casteldaccia,F,15,18,63,63,100.0,96.4
082023,Casteldaccia,F,16,19,71,70,98.6,101.6
082023,Casteldaccia,F,17,20,52,56,107.7,106.5
082023,Casteldaccia,F,18,21,61,70,114.8,109.0
082023,Casteldaccia,F,19,22,64,67,104.7,104.3
082023,Casteldaccia,F,20,23,62,58,93.5,101.7
082023,Casteldaccia,F,21,24,50,54,108.0,106.5
082023,Casteldaccia,F,22,25,57,68,119.3,109.4
082023,Casteldaccia,F,23,26,42,41,97.6,109.6
082023,Casteldaccia,F,24,27,57,62,108.8,104.8
082023,Casteldaccia,F,25,28,48,51,106.2,101.6
082023,Casteldaccia,F,26,29,79,74,93.7,99.5
082023,Casteldaccia,F,27,30,67,68,101.5,95.3
082023,Casteldaccia,F,28,31,67,61,91.0,101.6
082023,Casteldaccia,F,29,32,53,61,115.1,106.4
082023,Casteldaccia,F,30,33,68,78,114.7,115.3
082023,Casteldaccia,F,31,34,68,79,116.2,
082023,Casteldaccia,M,13,16,71,71,100.0,
082023,Casteldaccia,M,14,17,50,50,100.0,98.5
082023,Casteldaccia,M,15,18,75,72,96.0,98.5
082023,Casteldaccia,M,16,19,79,79,100.0,99.1
082023,Casteldaccia,M,17,20,60,61,101.7,99.5
082023,Casteldaccia,M,18,21,82,80,97.6,100.5
082023,Casteldaccia,M,19,22,76,78,102.6,99.6
082023,Casteldaccia,M,20,23,68,67,98.5,103.5
082023,Casteldaccia,M,21,24,54,60,111.1,105.4
082023,Casteldaccia,M,22,25,64,69,107.8,104.6
082023,Casteldaccia,M,23,26,55,52,94.5,102.1
082023,Casteldaccia,M,24,27,69,71,102.9,96.5
082023,Casteldaccia,M,25,28,49,44,89.8,103.0
082023,Casteldaccia,M,26,29,50,58,116.0,101.9
082023,Casteldaccia,M,27,30,55,55,100.0,102.4
082023,Casteldaccia,M,28,31,64,60,93.8,104.7
082023,Casteldaccia,M,29,32,52,64,123.1,104.5
082023,Casteldaccia,M,30,33,61,61,100.0,113.0
082023,Casteldaccia,M,31,34,48,57,118.8,
082048,Misilmeri,F,13,16,150,148,98.7,
082048,Misilmeri,F,14,17,151,147,97.4,98.0
082048,Misilmeri,F,15,18,154,151,98.1,96.5
082048,Misilmeri,F,16,19,183,173,94.5,97.0
082048,Misilmeri,F,17,20,157,155,98.7,99.2
082048,Misilmeri,F,18,21,149,157,105.4,100.2
082048,Misilmeri,F,19,22,158,153,96.8,100.7
082048,Misilmeri,F,20,23,138,138,100.0,97.8
082048,Misilmeri,F,21,24,167,162,97.0,98.6
082048,Misilmeri,F,22,25,136,135,99.3,98.2
082048,Misilmeri,F,23,26,141,139,98.6,99.3
082048,Misilmeri,F,24,27,160,160,100.0,100.0
082048,Misilmeri,F,25,28,155,157,101.3,101.0
082048,Misilmeri,F,26,29,173,176,101.7,101.8
082048,Misilmeri,F,27,30,183,187,102.2,105.0
082048,Misilmeri,F,28,31,160,179,111.9,105.1
082048,Misilmeri,F,29,32,208,213,102.4,108.1
082048,Misilmeri,F,30,33,172,192,111.6,106.6
082048,Misilmeri,F,31,34,164,175,106.7,
082048,Misilmeri,M,13,16,157,153,97.5,
082048,Misilmeri,M,14,17,149,152,102.0,100.8
082048,Misilmeri,M,15,18,167,172,103.0,101.1
082048,Misilmeri,M,16,19,212,210,99.1,100.7
082048,Misilmeri,M,17,20,186,187,100.5,100.0
082048,Misilmeri,M,18,21,153,154,100.7,100.4
082048,Misilmeri,M,19,22,187,187,100.0,99.0
082048,Misilmeri,M,20,23,155,149,96.1,98.6
082048,Misilmeri,M,21,24,165,164,99.4,96.3
082048,Misilmeri,M,22,25,138,128,92.8,96.6
082048,Misilmeri,M,23,26,164,159,97.0,97.2
082048,Misilmeri,M,24,27,156,158,101.3,98.6
082048,Misilmeri,M,25,28,168,164,97.6,99.8
082048,Misilmeri,M,26,29,184,185,100.5,100.0
082048,Misilmeri,M,27,30,159,162,101.9,101.8
082048,Misilmeri,M,28,31,160,165,103.1,101.5
082048,Misilmeri,M,29,32,162,161,99.4,102.8
082048,Misilmeri,M,30,33,179,189,105.6,103.5
082048,Misilmeri,M,31,34,178,187,105.1,
VICINI5,vicinato (5 comuni),F,13,16,468,461,98.5,
VICINI5,vicinato (5 comuni),F,14,17,447,438,98.0,98.1
VICINI5,vicinato (5 comuni),F,15,18,473,462,97.7,97.7
VICINI5,vicinato (5 comuni),F,16,19,503,490,97.4,98.3
VICINI5,vicinato (5 comuni),F,17,20,476,476,100.0,99.4
VICINI5,vicinato (5 comuni),F,18,21,453,458,101.1,99.4
VICINI5,vicinato (5 comuni),F,19,22,455,442,97.1,99.0
VICINI5,vicinato (5 comuni),F,20,23,438,433,98.9,98.9
VICINI5,vicinato (5 comuni),F,21,24,469,472,100.6,100.9
VICINI5,vicinato (5 comuni),F,22,25,419,433,103.3,101.3
VICINI5,vicinato (5 comuni),F,23,26,383,382,99.7,100.4
VICINI5,vicinato (5 comuni),F,24,27,491,483,98.4,101.0
VICINI5,vicinato (5 comuni),F,25,28,463,485,104.8,101.7
VICINI5,vicinato (5 comuni),F,26,29,479,490,102.3,102.1
VICINI5,vicinato (5 comuni),F,27,30,523,521,99.6,101.4
VICINI5,vicinato (5 comuni),F,28,31,523,535,102.3,101.8
VICINI5,vicinato (5 comuni),F,29,32,562,581,103.4,103.4
VICINI5,vicinato (5 comuni),F,30,33,538,562,104.5,103.4
VICINI5,vicinato (5 comuni),F,31,34,525,538,102.5,
VICINI5,vicinato (5 comuni),M,13,16,513,498,97.1,
VICINI5,vicinato (5 comuni),M,14,17,463,463,100.0,98.8
VICINI5,vicinato (5 comuni),M,15,18,478,476,99.6,99.3
VICINI5,vicinato (5 comuni),M,16,19,562,554,98.6,99.3
VICINI5,vicinato (5 comuni),M,17,20,534,533,99.8,98.7
VICINI5,vicinato (5 comuni),M,18,21,474,462,97.5,99.2
VICINI5,vicinato (5 comuni),M,19,22,524,524,100.0,98.3
VICINI5,vicinato (5 comuni),M,20,23,481,468,97.3,99.0
VICINI5,vicinato (5 comuni),M,21,24,460,458,99.6,98.9
VICINI5,vicinato (5 comuni),M,22,25,451,451,100.0,98.1
VICINI5,vicinato (5 comuni),M,23,26,447,423,94.6,97.7
VICINI5,vicinato (5 comuni),M,24,27,473,465,98.3,96.0
VICINI5,vicinato (5 comuni),M,25,28,442,420,95.0,98.0
VICINI5,vicinato (5 comuni),M,26,29,469,471,100.4,99.2
VICINI5,vicinato (5 comuni),M,27,30,460,469,102.0,99.9
VICINI5,vicinato (5 comuni),M,28,31,479,467,97.5,101.0
VICINI5,vicinato (5 comuni),M,29,32,479,496,103.5,99.8
VICINI5,vicinato (5 comuni),M,30,33,532,524,98.5,101.9
VICINI5,vicinato (5 comuni),M,31,34,538,559,103.9,
