territorio,nome_territorio,genere,transizione,eta_iniziale,n_iniziale,rapporto_pct
082006,Bagheria,F,2021-2022,15,263,99.2
082006,Bagheria,F,2021-2022,16,289,101.7
082006,Bagheria,F,2021-2022,17,318,97.2
082006,Bagheria,F,2021-2022,18,314,98.7
082006,Bagheria,F,2021-2022,19,285,100.0
082006,Bagheria,F,2021-2022,20,277,100.0
082006,Bagheria,F,2021-2022,21,278,105.4
082006,Bagheria,F,2021-2022,22,287,101.0
082006,Bagheria,F,2021-2022,23,256,103.9
082006,Bagheria,F,2021-2022,24,285,100.7
082006,Bagheria,F,2021-2022,25,315,97.8
082006,Bagheria,F,2021-2022,26,266,97.0
082006,Bagheria,F,2021-2022,27,314,100.6
082006,Bagheria,F,2021-2022,28,300,101.0
082006,Bagheria,F,2021-2022,29,339,99.1
082006,Bagheria,F,2021-2022,30,328,99.7
082006,Bagheria,M,2021-2022,15,290,100.0
082006,Bagheria,M,2021-2022,16,300,100.0
082006,Bagheria,M,2021-2022,17,328,100.3
082006,Bagheria,M,2021-2022,18,299,99.3
082006,Bagheria,M,2021-2022,19,297,98.3
082006,Bagheria,M,2021-2022,20,315,100.0
082006,Bagheria,M,2021-2022,21,303,101.0
082006,Bagheria,M,2021-2022,22,287,100.0
082006,Bagheria,M,2021-2022,23,306,99.0
082006,Bagheria,M,2021-2022,24,314,97.8
082006,Bagheria,M,2021-2022,25,289,99.3
082006,Bagheria,M,2021-2022,26,290,99.7
082006,Bagheria,M,2021-2022,27,293,101.7
082006,Bagheria,M,2021-2022,28,297,101.3
082006,Bagheria,M,2021-2022,29,295,101.4
082006,Bagheria,M,2021-2022,30,298,100.3
082053,Palermo,F,2021-2022,15,3297,100.6
082053,Palermo,F,2021-2022,16,3403,100.1
082053,Palermo,F,2021-2022,17,3364,99.6
082053,Palermo,F,2021-2022,18,3095,100.3
082053,Palermo,F,2021-2022,19,3199,100.7
082053,Palermo,F,2021-2022,20,3214,99.7
082053,Palermo,F,2021-2022,21,3164,101.0
082053,Palermo,F,2021-2022,22,3149,100.5
082053,Palermo,F,2021-2022,23,3186,100.0
082053,Palermo,F,2021-2022,24,3158,99.6
