anno,territorio,F,M,m_per_100f,nome_territorio
2001,082006,3451,3578,103.7,Bagheria
2001,082053,41419,43737,105.6,Palermo
2001,IT,2668333,2816058,105.5,Italia
2001,ITG1,290885,305749,105.1,Sicilia
2011,082006,2924,3134,107.2,Bagheria
2011,082053,32517,34268,105.4,Palermo
2011,IT,2704907,2871208,106.1,Italia
2011,ITG1,249025,263417,105.8,Sicilia
2018,082006,2673,2954,110.5,Bagheria
2018,082053,31791,32971,103.7,Palermo
2018,IT,2684970,2848165,106.1,Italia
2018,ITG1,229091,241695,105.5,Sicilia
2019,082006,2600,2901,111.6,Bagheria
2019,082053,31174,32450,104.1,Palermo
2019,IT,2650327,2812689,106.1,Italia
2019,ITG1,224976,237278,105.5,Sicilia
2020,082006,2598,2950,113.5,Bagheria
2020,082053,31141,32517,104.4,Palermo
2020,IT,2630101,2789934,106.1,Italia
2020,ITG1,224594,236882,105.5,Sicilia
2021,082006,2573,2933,114.0,Bagheria
2021,082053,30487,31737,104.1,Palermo
2021,IT,2596034,2750927,106.0,Italia
2021,ITG1,222015,233113,105.0,Sicilia
2022,082006,2515,2875,114.3,Bagheria
2022,082053,30011,31308,104.3,Palermo
2022,IT,2553367,2705488,106.0,Italia
2022,ITG1,218550,229788,105.1,Sicilia
2023,082006,2451,2873,117.2,Bagheria
2023,082053,29492,30869,104.7,Palermo
2023,IT,2502043,2652748,106.0,Italia
2023,ITG1,214801,226016,105.2,Sicilia
2024,082006,2435,2846,116.9,Bagheria
2024,082053,28950,30260,104.5,Palermo
2024,IT,2445360,2591788,106.0,Italia
2024,ITG1,210834,222117,105.4,Sicilia
