territorio,nome_territorio,anno,genere,fascia,popolazione,gia_coniugate,quota_gia_coniugate_pct
082006,Bagheria,2019,F,15-24,3037,97,3.19
082006,Bagheria,2019,F,18-24,2155,97,4.5
082006,Bagheria,2019,F,20-24,1549,94,6.07
082006,Bagheria,2020,F,15-24,2983,73,2.45
082006,Bagheria,2020,F,18-24,2068,73,3.53
082006,Bagheria,2020,F,20-24,1486,70,4.71
082006,Bagheria,2021,F,15-24,2903,54,1.86
082006,Bagheria,2021,F,18-24,1998,54,2.7
082006,Bagheria,2021,F,20-24,1432,51,3.56
082006,Bagheria,2022,F,15-24,2852,49,1.72
082006,Bagheria,2022,F,18-24,1982,49,2.47
082006,Bagheria,2022,F,20-24,1383,48,3.47
082006,Bagheria,2023,F,15-24,2847,44,1.55
082006,Bagheria,2023,F,18-24,2030,44,2.17
082006,Bagheria,2023,F,20-24,1411,43,3.05
082006,Bagheria,2024,F,15-24,2881,41,1.42
082006,Bagheria,2024,F,18-24,2064,41,1.99
082006,Bagheria,2024,F,20-24,1457,37,2.54
082006,Bagheria,2025,F,15-24,2882,41,1.42
082006,Bagheria,2025,F,18-24,2053,41,2.0
082006,Bagheria,2025,F,20-24,1498,40,2.67
082006,Bagheria,2019,M,15-24,3206,32,1.0
082006,Bagheria,2019,M,18-24,2292,32,1.4
082006,Bagheria,2019,M,20-24,1654,32,1.93
082006,Bagheria,2020,M,15-24,3151,22,0.7
082006,Bagheria,2020,M,18-24,2225,22,0.99
082006,Bagheria,2020,M,20-24,1589,22,1.38
082006,Bagheria,2021,M,15-24,3052,12,0.39
082006,Bagheria,2021,M,18-24,2128,12,0.56
082006,Bagheria,2021,M,20-24,1507,12,0.8
082006,Bagheria,2022,M,15-24,3039,12,0.39
082006,Bagheria,2022,M,18-24,2121,12,0.57
082006,Bagheria,2022,M,20-24,1525,12,0.79
082006,Bagheria,2023,M,15-24,3035,14,0.46
082006,Bagheria,2023,M,18-24,2129,14,0.66
082006,Bagheria,2023,M,20-24,1503,14,0.93
082006,Bagheria,2024,M,15-24,2998,17,0.57
082006,Bagheria,2024,M,18-24,2118,17,0.8
082006,Bagheria,2024,M,20-24,1492,16,1.07
082006,Bagheria,2025,M,15-24,3022,16,0.53
082006,Bagheria,2025,M,18-24,2116,16,0.76
082006,Bagheria,2025,M,20-24,1533,15,0.98
082053,Palermo,2019,F,15-24,34298,1139,3.32
082053,Palermo,2019,F,18-24,24418,1139,4.66
082053,Palermo,2019,F,20-24,17695,1100,6.22
082053,Palermo,2020,F,15-24,33754,979,2.9
082053,Palermo,2020,F,18-24,23925,979,4.09
082053,Palermo,2020,F,20-24,17169,947,5.52
082053,Palermo,2021,F,15-24,32568,735,2.26
082053,Palermo,2021,F,18-24,22696,734,3.23
082053,Palermo,2021,F,20-24,16204,720,4.44
082053,Palermo,2022,F,15-24,32229,631,1.96
082053,Palermo,2022,F,18-24,22165,630,2.84
082053,Palermo,2022,F,20-24,15871,611,3.85
082053,Palermo,2023,F,15-24,32475,562,1.73
082053,Palermo,2023,F,18-24,22425,562,2.51
082053,Palermo,2023,F,20-24,15970,547,3.43
082053,Palermo,2024,F,15-24,32551,575,1.77
082053,Palermo,2024,F,18-24,22662,575,2.54
082053,Palermo,2024,F,20-24,15904,559,3.51
082053,Palermo,2025,F,15-24,32672,527,1.61
082053,Palermo,2025,F,18-24,22835,526,2.3
082053,Palermo,2025,F,20-24,16085,516,3.21
082053,Palermo,2019,M,15-24,36460,343,0.94
082053,Palermo,2019,M,18-24,25945,343,1.32
082053,Palermo,2019,M,20-24,18587,337,1.81
082053,Palermo,2020,M,15-24,35853,286,0.8
082053,Palermo,2020,M,18-24,25489,286,1.12
082053,Palermo,2020,M,20-24,18283,285,1.56
082053,Palermo,2021,M,15-24,34550,182,0.53
082053,Palermo,2021,M,18-24,24137,182,0.75
082053,Palermo,2021,M,20-24,17279,180,1.04
082053,Palermo,2022,M,15-24,34400,176,0.51
082053,Palermo,2022,M,18-24,23835,176,0.74
082053,Palermo,2022,M,20-24,17101,173,1.01
082053,Palermo,2023,M,15-24,34257,152,0.44
082053,Palermo,2023,M,18-24,23914,152,0.64
082053,Palermo,2023,M,20-24,16958,151,0.89
082053,Palermo,2024,M,15-24,34389,148,0.43
082053,Palermo,2024,M,18-24,24065,148,0.62
082053,Palermo,2024,M,20-24,16970,146,0.86
082053,Palermo,2025,M,15-24,34363,150,0.44
082053,Palermo,2025,M,18-24,24205,150,0.62
082053,Palermo,2025,M,20-24,17054,147,0.86
ITG1,Sicilia,2019,F,15-24,258223,7836,3.03
ITG1,Sicilia,2019,F,18-24,183805,7830,4.26
ITG1,Sicilia,2019,F,20-24,132369,7546,5.7
ITG1,Sicilia,2020,F,15-24,254307,6830,2.69
ITG1,Sicilia,2020,F,18-24,180423,6822,3.78
ITG1,Sicilia,2020,F,20-24,130013,6567,5.05
ITG1,Sicilia,2021,F,15-24,247818,5329,2.15
ITG1,Sicilia,2021,F,18-24,174334,5324,3.05
ITG1,Sicilia,2021,F,20-24,125029,5162,4.13
ITG1,Sicilia,2022,F,15-24,245867,4832,1.97
ITG1,Sicilia,2022,F,18-24,172556,4827,2.8
ITG1,Sicilia,2022,F,20-24,123783,4668,3.77
ITG1,Sicilia,2023,F,15-24,245647,4344,1.77
ITG1,Sicilia,2023,F,18-24,173475,4340,2.5
ITG1,Sicilia,2023,F,20-24,123925,4210,3.4
ITG1,Sicilia,2024,F,15-24,244677,4046,1.65
ITG1,Sicilia,2024,F,18-24,173138,4044,2.34
ITG1,Sicilia,2024,F,20-24,123486,3901,3.16
ITG1,Sicilia,2025,F,15-24,243292,3702,1.52
ITG1,Sicilia,2025,F,18-24,172081,3695,2.15
ITG1,Sicilia,2025,F,20-24,123532,3579,2.9
ITG1,Sicilia,2019,M,15-24,280088,2000,0.71
ITG1,Sicilia,2019,M,18-24,200805,1998,0.99
ITG1,Sicilia,2019,M,20-24,142793,1961,1.37
ITG1,Sicilia,2020,M,15-24,274852,1760,0.64
ITG1,Sicilia,2020,M,18-24,196599,1759,0.89
ITG1,Sicilia,2020,M,20-24,140635,1724,1.23
ITG1,Sicilia,2021,M,15-24,267992,1297,0.48
ITG1,Sicilia,2021,M,18-24,189581,1293,0.68
ITG1,Sicilia,2021,M,20-24,136175,1282,0.94
ITG1,Sicilia,2022,M,15-24,266915,1173,0.44
ITG1,Sicilia,2022,M,18-24,188116,1169,0.62
ITG1,Sicilia,2022,M,20-24,135701,1156,0.85
ITG1,Sicilia,2023,M,15-24,266072,1041,0.39
ITG1,Sicilia,2023,M,18-24,188757,1038,0.55
ITG1,Sicilia,2023,M,20-24,134668,1024,0.76
