territorio,anno,genere,FRGAPO,ITL,totale,quota_stranieri_pct,nome_territorio
082006,2021,F,79,5975,6054,1.3,Bagheria
082006,2021,M,79,6041,6120,1.3,Bagheria
082006,2022,F,87,5923,6010,1.4,Bagheria
082006,2022,M,96,6012,6108,1.6,Bagheria
082006,2023,F,98,5857,5955,1.6,Bagheria
082006,2023,M,94,5938,6032,1.6,Bagheria
082006,2024,F,90,5756,5846,1.5,Bagheria
082006,2024,M,105,5910,6015,1.7,Bagheria
082053,2021,F,2781,64432,67213,4.1,Palermo
082053,2021,M,3209,66669,69878,4.6,Palermo
082053,2022,F,2790,64034,66824,4.2,Palermo
082053,2022,M,3173,65980,69153,4.6,Palermo
082053,2023,F,2890,63439,66329,4.4,Palermo
082053,2023,M,3529,65183,68712,5.1,Palermo
082053,2024,F,2913,63168,66081,4.4,Palermo
082053,2024,M,3887,64493,68380,5.7,Palermo
IT,2021,F,641899,5164089,5805988,11.1,Italia
IT,2021,M,764897,5431567,6196464,12.3,Italia
IT,2022,F,641902,5183003,5824905,11.0,Italia
IT,2022,M,781569,5456771,6238340,12.5,Italia
IT,2023,F,635755,5182690,5818445,10.9,Italia
IT,2023,M,818624,5460099,6278723,13.0,Italia
IT,2024,F,637500,5176369,5813869,11.0,Italia
IT,2024,M,872229,5458645,6330874,13.8,Italia
ITG1,2021,F,22688,493008,515696,4.4,Sicilia
ITG1,2021,M,34328,510491,544819,6.3,Sicilia
ITG1,2022,F,23029,487636,510665,4.5,Sicilia
ITG1,2022,M,35762,504712,540474,6.6,Sicilia
ITG1,2023,F,23137,481097,504234,4.6,Sicilia
ITG1,2023,M,37903,497940,535843,7.1,Sicilia
ITG1,2024,F,23676,475379,499055,4.7,Sicilia
ITG1,2024,M,42035,491973,534008,7.9,Sicilia
