territorio,anno,eta,genere,popolazione,almeno_diploma_%,solo_diploma_%,terziario_%,nome_territorio,ruolo
082006,2018,Y25-49,F,9250.0,58.0216,38.4216,19.6,Bagheria,confronto
082006,2018,Y25-49,M,8925.0,54.2633,40.8403,13.423,Bagheria,confronto
082006,2018,Y25-49,T,18175.0,56.1761,39.6094,16.5667,Bagheria,confronto
082006,2018,Y50-64,F,5794.0,37.0901,26.8208,10.2692,Bagheria,confronto
082006,2018,Y50-64,M,5231.0,38.9027,28.4649,10.4378,Bagheria,confronto
082006,2018,Y50-64,T,11025.0,37.9501,27.6009,10.3492,Bagheria,confronto
082006,2018,Y9-24,F,4699.0,30.2405,28.0698,2.1707,Bagheria,confronto
082006,2018,Y9-24,M,4983.0,27.1122,25.0652,2.047,Bagheria,confronto
082006,2018,Y9-24,T,9682.0,28.6304,26.5234,2.107,Bagheria,confronto
082006,2018,Y_GE65,F,5616.0,17.2721,11.6631,5.609,Bagheria,confronto
082006,2018,Y_GE65,M,4490.0,22.6058,15.5234,7.0824,Bagheria,confronto
082006,2018,Y_GE65,T,10106.0,19.6418,13.3782,6.2636,Bagheria,confronto
082006,2019,Y25-49,F,9059.0,59.256,39.894,19.362,Bagheria,confronto
082006,2019,Y25-49,M,8703.0,54.5444,41.1812,13.3632,Bagheria,confronto
082006,2019,Y25-49,T,17762.0,56.9474,40.5247,16.4227,Bagheria,confronto
082006,2019,Y50-64,F,5880.0,37.415,27.1769,10.2381,Bagheria,confronto
082006,2019,Y50-64,M,5338.0,39.3218,28.6437,10.6782,Bagheria,confronto
082006,2019,Y50-64,T,11218.0,38.3223,27.8748,10.4475,Bagheria,confronto
082006,2019,Y9-24,F,4592.0,29.7474,27.4608,2.2866,Bagheria,confronto
082006,2019,Y9-24,M,4920.0,26.8089,25.2033,1.6057,Bagheria,confronto
082006,2019,Y9-24,T,9512.0,28.2275,26.2931,1.9344,Bagheria,confronto
082006,2019,Y_GE65,F,5710.0,18.021,11.979,6.042,Bagheria,confronto
082006,2019,Y_GE65,M,4596.0,22.7589,15.3612,7.3977,Bagheria,confronto
082006,2019,Y_GE65,T,10306.0,20.1339,13.4873,6.6466,Bagheria,confronto
082006,2020,Y25-49,F,8782.0,60.7606,39.376,21.3847,Bagheria,confronto
082006,2020,Y25-49,M,8366.0,56.8372,42.4815,14.3557,Bagheria,confronto
082006,2020,Y25-49,T,17148.0,58.8465,40.8911,17.9554,Bagheria,confronto
082006,2020,Y50-64,F,5883.0,39.5716,28.6418,10.9298,Bagheria,confronto
082006,2020,Y50-64,M,5369.0,40.1937,29.3537,10.84,Bagheria,confronto
082006,2020,Y50-64,T,11252.0,39.8685,28.9815,10.887,Bagheria,confronto
082006,2020,Y9-24,F,4536.0,30.4233,27.6014,2.8219,Bagheria,confronto
082006,2020,Y9-24,M,4837.0,27.455,25.2222,2.2328,Bagheria,confronto
082006,2020,Y9-24,T,9373.0,28.8915,26.3736,2.5179,Bagheria,confronto
082006,2020,Y_GE65,F,5898.0,19.6338,12.9535,6.6802,Bagheria,confronto
082006,2020,Y_GE65,M,4710.0,24.5011,17.0701,7.431,Bagheria,confronto
082006,2020,Y_GE65,T,10608.0,21.7949,14.7813,7.0136,Bagheria,confronto
082006,2021,Y25-49,F,8679.0,62.0348,39.9355,22.0993,Bagheria,confronto
082006,2021,Y25-49,M,8402.0,57.8077,42.716,15.0916,Bagheria,confronto
082006,2021,Y25-49,T,17081.0,59.9555,41.3032,18.6523,Bagheria,confronto
082006,2021,Y50-64,F,5981.0,39.893,28.8915,11.0015,Bagheria,confronto
082006,2021,Y50-64,M,5467.0,40.2049,29.7787,10.4262,Bagheria,confronto
082006,2021,Y50-64,T,11448.0,40.0419,29.3152,10.7268,Bagheria,confronto
082006,2021,Y9-24,F,4478.0,31.063,27.4676,3.5954,Bagheria,confronto
082006,2021,Y9-24,M,4862.0,28.3217,25.7713,2.5504,Bagheria,confronto
082006,2021,Y9-24,T,9340.0,29.636,26.5846,3.0514,Bagheria,confronto
082006,2021,Y_GE65,F,6053.0,20.717,13.6296,7.0874,Bagheria,confronto
082006,2021,Y_GE65,M,4825.0,26.2591,18.0104,8.2487,Bagheria,confronto
082006,2021,Y_GE65,T,10878.0,23.1752,15.5727,7.6025,Bagheria,confronto
082006,2022,Y25-49,F,8550.0,63.6257,40.1988,23.4269,Bagheria,confronto
