destinazione,comune,persone,quota_su_chi_esce,anno,motivo,x_dest,y_dest,x_orig,y_orig
082053,Palermo,1554,91.09026963657679,2011,studio,352054.0,4222542.0,368179,4215633
082067,Santa Flavia,34,1.9929660023446658,2011,studio,370792.0,4214344.0,368179,4215633
082035,Ficarazzi,31,1.817116060961313,2011,studio,365357.0,4217092.0,368179,4215633
082070,Termini Imerese,18,1.0550996483001172,2011,studio,386235.0,4201712.0,368179,4215633
082023,Casteldaccia,18,1.0550996483001172,2011,studio,370164.0,4208015.0,368179,4215633
082027,Cefalù,14,0.82063305978898,2011,studio,415808.0,4205409.0,368179,4215633
082079,Villabate,12,0.7033997655334114,2011,studio,363440.0,4215562.0,368179,4215633
082048,Misilmeri,4,0.23446658851113716,2011,studio,363292.0,4209163.0,368179,4215633
086009,Enna,2,0.11723329425556858,2011,studio,433965.0,4152992.0,368179,4215633
087015,Catania,2,0.11723329425556858,2011,studio,504456.0,4146098.0,368179,4215633
082017,Campofelice di Roccella,2,0.11723329425556858,2011,studio,402071.0,4205269.0,368179,4215633
082004,Altavilla Milicia,2,0.11723329425556858,2011,studio,375206.0,4208816.0,368179,4215633
085004,Caltanissetta,2,0.11723329425556858,2011,studio,412799.0,4146989.0,368179,4215633
082030,Ciminna,2,0.11723329425556858,2011,studio,372959.0,4193037.0,368179,4215633
081021,Trapani,1,0.05861664712778429,2011,studio,298671.0,4197267.0,368179,4215633
082011,Bolognetta,1,0.05861664712778429,2011,studio,365755.0,4205022.0,368179,4215633
082009,Belmonte Mezzagno,1,0.05861664712778429,2011,studio,358526.0,4210952.0,368179,4215633
082049,Monreale,1,0.05861664712778429,2011,studio,331897.0,4201125.0,368179,4215633
082034,Corleone,1,0.05861664712778429,2011,studio,349807.0,4184228.0,368179,4215633
083048,Messina,1,0.05861664712778429,2011,studio,544916.0,4225260.0,368179,4215633
082073,Trabia,1,0.05861664712778429,2011,studio,377433.0,4205557.0,368179,4215633
082071,Terrasini,1,0.05861664712778429,2011,studio,331761.0,4220607.0,368179,4215633
084001,Agrigento,1,0.05861664712778429,2011,studio,374548.0,4131014.0,368179,4215633
082053,Palermo,3250,67.45537567455375,2011,lavoro,352054.0,4222542.0,368179,4215633
082067,Santa Flavia,330,6.8493150684931505,2011,lavoro,370792.0,4214344.0,368179,4215633
082070,Termini Imerese,243,5.043586550435865,2011,lavoro,386235.0,4201712.0,368179,4215633
082023,Casteldaccia,181,3.7567455375674554,2011,lavoro,370164.0,4208015.0,368179,4215633
082035,Ficarazzi,133,2.7604815276048154,2011,lavoro,365357.0,4217092.0,368179,4215633
082079,Villabate,98,2.03403902034039,2011,lavoro,363440.0,4215562.0,368179,4215633
082004,Altavilla Milicia,57,1.1830635118306352,2011,lavoro,375206.0,4208816.0,368179,4215633
082048,Misilmeri,52,1.0792860107928601,2011,lavoro,363292.0,4209163.0,368179,4215633
082021,Carini,51,1.0585305105853051,2011,lavoro,340503.0,4222036.0,368179,4215633
082027,Cefalù,42,0.8717310087173101,2011,lavoro,415808.0,4205409.0,368179,4215633
082011,Bolognetta,35,0.726442507264425,2011,lavoro,365755.0,4205022.0,368179,4215633
082017,Campofelice di Roccella,32,0.66417600664176,2011,lavoro,402071.0,4205269.0,368179,4215633
082073,Trabia,25,0.518887505188875,2011,lavoro,377433.0,4205557.0,368179,4215633
082031,Cinisi,23,0.47737650477376503,2011,lavoro,334790.0,4224378.0,368179,4215633
082014,Caccamo,20,0.41511000415110005,2011,lavoro,384050.0,4193488.0,368179,4215633
082049,Monreale,16,0.33208800332088,2011,lavoro,331897.0,4201125.0,368179,4215633
081021,Trapani,15,0.31133250311332505,2011,lavoro,298671.0,4197267.0,368179,4215633
087015,Catania,13,0.26982150269821503,2011,lavoro,504456.0,4146098.0,368179,4215633
082009,Belmonte Mezzagno,12,0.24906600249066002,2011,lavoro,358526.0,4210952.0,368179,4215633
082005,Altofonte,10,0.20755500207555003,2011,lavoro,352202.0,4210325.0,368179,4215633
082046,Marineo,9,0.18679950186799502,2011,lavoro,361670.0,4201045.0,368179,4215633
082077,Ventimiglia di Sicilia,9,0.18679950186799502,2011,lavoro,370004.0,4205282.0,368179,4215633
082054,Partinico,7,0.14528850145288502,2011,lavoro,329046.0,4209214.0,368179,4215633
084001,Agrigento,7,0.14528850145288502,2011,lavoro,374548.0,4131014.0,368179,4215633
