territorio,motivo,F,M,gap_F_M
Bagheria,studio,17.649289099526065,15.02811712235796,2.621171977168105
Bagheria,lavoro,35.16926383664696,47.2211007939712,-12.051836957324241
Comune di Palermo,studio,0.6826349364650859,0.8025844227954166,-0.11994948633033076
Comune di Palermo,lavoro,4.70662112695471,6.6994736350328585,-1.9928525080781485
5 comuni vicini,studio,44.54055409301743,41.000369594677835,3.540184498339592
5 comuni vicini,lavoro,62.75421266705404,64.5840322039584,-1.8298195369043597
Sicilia,studio,18.769804721655493,17.36398087578526,1.4058238458702341
Sicilia,lavoro,27.214269055208185,31.769823938405523,-4.555554883197338
Italia,studio,26.89341286263882,25.133008462743934,1.7604043998948846
Italia,lavoro,43.26778307071124,48.0471791296264,-4.779396058915161
