territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
081001,Alcamo,-0.5638295758188967,-9.15255246216319,8.588722886344293,12011.0,24.18189953250158
081002,Buseto Palizzolo,2.008052008052008,-2.8589029205051446,4.866954928557153,787.0,10.618598448006214
081003,Calatafimi-Segesta,-2.4382929389347865,-10.200064415328107,7.761771476393321,1617.0,14.003650738289641
081004,Campobello di Mazara,8.26245407614795,0.8838383838383805,7.37861569230957,2268.0,32.20981642294784
081005,Castellammare del Golfo,-2.9081437759853213,-4.282727931559254,1.3745841555739329,3591.0,16.77916595066632
081006,Castelvetrano,-1.6808789842117537,-2.0819067045482136,0.40102772033645984,7408.0,28.1345978112359
081007,Custonaci,5.901797013414324,9.195508525484033,-3.2937115120697094,1438.0,19.527140010764505
081008,Erice,4.435142393960653,-5.577039920559876,10.01218231452053,6995.0,15.950183760696927
081009,Favignana,-1.5160884003206263,2.9589037251173522,-4.4749921254379785,824.0,34.94074755926095
081010,Gibellina,6.877893022458423,-2.8648233486943155,9.742716371152738,1040.0,24.0410080695465
081011,Marsala,-0.9721877628659112,-5.251161140211741,4.27897337734583,17638.0,14.404719504384666
081012,Mazara del Vallo,0.08615456258319742,-2.7754553657558763,2.8616099283390737,9662.0,24.506788814530555
081013,Paceco,3.3780092679802607,1.9494832156792725,1.4285260523009882,2943.0,10.25169068983258
081014,Pantelleria,-0.20324802178503065,-0.4742422141062981,0.2709941923212674,1833.0,138.68162133822923
081015,Partanna,-0.7591051996674807,14.421265629222443,-15.180370828889924,2503.0,26.216153569888927
081016,Poggioreale,0.7589556769884638,-4.800880088008796,5.55983576499726,326.0,32.136624744985276
081017,Salaparuta,1.567849168940711,-6.666666666666668,8.234515835607379,405.0,28.844727854497084
081018,Salemi,-4.627701890688739,-0.11063497336973782,-4.517066917319001,2555.0,10.660303185181931
081019,Santa Ninfa,-2.525699503029479,12.24276908487435,-14.768468587903829,1196.0,19.287707173223055
081020,San Vito Lo Capo,0.6288226299694202,-2.1917612622260307,2.820583892195451,992.0,25.1098433487746
081021,Trapani,-1.7423159399571126,0.0151154025081226,-1.7574313424652352,16503.0,0.0
081022,Valderice,-2.086406743940991,-7.413151204154865,5.326744460213874,3148.0,15.603136767970728
081023,Vita,5.180831826401452,-1.8535371920883392,7.034369018489791,529.0,13.036548661359724
081024,Petrosino,3.899085052244061,-0.4011942526590815,4.3002793049031425,1616.0,27.989205651464996
082001,Alia,3.5106205978592406,-2.992592592592594,6.503213190451834,790.0,56.0713743812295
082002,Alimena,0.005633802816898736,1.4532627865961203,-1.4476289837792216,499.0,86.38913207689959
082003,Aliminusa,3.2967032967032956,-18.495297805642636,21.79200110234593,240.0,50.86714564431544
082004,Altavilla Milicia,-1.7234281437125745,5.674044748005876,-7.397472891718451,1722.0,26.915017741030752
082005,Altofonte,4.217396712081033,0.7660697617029513,3.451326950378082,2544.0,12.217896422870837
082006,Bagheria,2.621171977168105,-12.051836957324241,14.673008934492346,11153.0,17.54280211368754
082007,Balestrate,0.9020739123655055,-13.688446765353241,14.590520677718747,1263.0,27.84995850984342
082008,Baucina,3.2894736842105274,-1.3747145719744651,4.6641882561849926,449.0,29.69456120234815
082009,Belmonte Mezzagno,4.170991427363241,-14.535720830388229,18.70671225775147,2381.0,13.274595436396547
082010,Bisacquino,7.976080765526369,-3.8044026474855883,11.780483413011957,1079.0,41.24331951965069
082011,Bolognetta,3.012206572769948,-4.041161237563038,7.053367810332986,833.0,22.24112859096858
082012,Bompietro,8.598639455782312,9.142270159219315,-0.5436307034370031,309.0,82.41367888888348
082013,Borgetto,4.141067970632896,-1.510959778676316,5.652027749309212,1460.0,17.249773012999327
082014,Caccamo,0.8537728479925022,-11.208712424023247,12.06248527201575,2031.0,43.21896495752761
