territorio,nome,quota_fuori,atteso,residuo,km_capoluogo,pendolari,verso_palermo,fuori
081001,Alcamo,24.31644472460799,36.85969559039794,-12.54325086578995,24.18189953250158,12691.0,715.0,3086.0
081002,Buseto Palizzolo,54.332874828060525,65.65053904030944,-11.317664212248914,10.618598448006214,727.0,18.0,395.0
081003,Calatafimi-Segesta,34.817275747508305,57.30878015367472,-22.491504406166413,14.003650738289641,1505.0,55.0,524.0
081004,Campobello di Mazara,31.55674846625767,41.58617541114087,-10.029426944883202,32.20981642294784,2608.0,54.0,823.0
081005,Castellammare del Golfo,25.986078886310906,49.16068631235367,-23.174607426042762,16.77916595066632,3879.0,183.0,1008.0
081006,Castelvetrano,15.836371000405022,37.6552075000595,-21.818836499654473,28.1345978112359,7407.0,135.0,1173.0
081007,Custonaci,36.70621074668527,52.56921846693707,-15.863007720251801,19.527140010764505,1433.0,23.0,526.0
081008,Erice,61.839416058394164,46.671481493667926,15.167934564726238,15.950183760696927,6850.0,131.0,4236.0
081009,Favignana,6.031746031746032,46.166622669499354,-40.13487663775332,34.94074755926095,945.0,6.0,57.0
081010,Gibellina,54.68451242829828,51.230797899711746,3.4537145285865307,24.0410080695465,1046.0,42.0,572.0
081011,Marsala,12.399490096097274,41.96649520206859,-29.56700510597132,14.404719504384666,20396.0,199.0,2529.0
081012,Mazara del Vallo,12.78527190973106,37.08106128216864,-24.295789372437582,24.506788814530555,11787.0,124.0,1507.0
081013,Paceco,68.79254747402365,58.48341425969124,10.309133214332412,10.25169068983258,2791.0,47.0,1920.0
081014,Pantelleria,0.0,21.154833283411087,-21.154833283411087,138.68162133822923,1968.0,0.0,0.0
081015,Partanna,38.22408536585366,44.65991042958817,-6.435825063734512,26.216153569888927,2624.0,87.0,1003.0
081016,Poggioreale,44.28152492668622,53.26268040264257,-8.981155475956356,32.136624744985276,341.0,24.0,151.0
081017,Salaparuta,39.33161953727507,54.14073928691934,-14.809119749644275,28.844727854497084,389.0,17.0,153.0
081018,Salemi,29.481765834932823,58.287961533193325,-28.806195698260503,10.660303185181931,2605.0,54.0,768.0
081019,Santa Ninfa,33.898305084745765,53.58792016596742,-19.689615081221653,19.287707173223055,1239.0,37.0,420.0
081020,San Vito Lo Capo,24.02745995423341,49.28179061668062,-25.254330662447206,25.1098433487746,1311.0,36.0,315.0
081022,Valderice,61.49187121453618,51.472786539032676,10.019084675503507,15.603136767970728,3137.0,47.0,1929.0
081023,Vita,55.0,64.92869937094062,-9.92869937094062,13.036548661359724,480.0,12.0,264.0
081024,Petrosino,46.01259181532004,45.50125038217987,0.5113414331401742,27.989205651464996,1906.0,21.0,877.0
082001,Alia,29.325513196480937,40.89182901568169,-11.56631581920075,56.0713743812295,682.0,79.0,200.0
082002,Alimena,39.900249376558605,37.40469343147401,2.4955559450845968,86.38913207689959,401.0,22.0,160.0
082003,Aliminusa,50.65502183406114,48.60755392487265,2.047467909188491,50.86714564431544,229.0,34.0,116.0
082004,Altavilla Milicia,69.05405405405405,45.219445016835756,23.834609037218293,26.915017741030752,2220.0,936.0,1533.0
082005,Altofonte,72.68445839874411,56.35549402639131,16.3289643723528,12.217896422870837,2548.0,1477.0,1852.0
082006,Bagheria,40.15366627693336,42.038548446576044,-1.8848821696426867,17.54280211368754,11974.0,3129.0,4808.0
082007,Balestrate,43.1924882629108,47.863892948874955,-4.671404685964156,27.84995850984342,1278.0,196.0,552.0
082008,Baucina,46.84466019417476,53.373603254844525,-6.528943060669768,29.69456120234815,412.0,74.0,193.0
082009,Belmonte Mezzagno,50.34013605442177,55.21417997207641,-4.874043917654639,13.274595436396547,2499.0,742.0,1258.0
082010,Bisacquino,35.294117647058826,43.620505886427324,-8.326388239368498,41.24331951965069,952.0,139.0,336.0
082011,Bolognetta,56.06694560669456,52.92059527993275,3.1463503267618123,22.24112859096858,956.0,304.0,536.0
082012,Bompietro,54.166666666666664,39.55210165035081,14.614565016315858,82.41367888888348,312.0,41.0,169.0
082013,Borgetto,61.46844660194175,53.64158098483057,7.8268656171111815,17.249773012999327,1648.0,327.0,1013.0
082014,Caccamo,40.385617509119335,38.90260442048528,1.4830130886340527,43.21896495752761,1919.0,280.0,775.0
082015,Caltavuturo,43.35511982570806,36.51067067535606,6.844449150351998,66.96474178252313,918.0,105.0,398.0
082016,Campofelice di Fitalia,48.113207547169814,56.68917585735764,-8.575968310187825,39.8811728137476,106.0,14.0,51.0
082017,Campofelice di Roccella,61.10843373493976,35.39912100416438,25.70931273077538,52.91556309820391,2075.0,431.0,1268.0
082018,Campofiorito,59.227467811158796,51.119392303255026,8.10807550790377,42.78946433410916,233.0,38.0,138.0
082019,Camporeale,33.42503438789546,48.31680393865209,-14.891769550756635,33.46976362330633,727.0,80.0,243.0
082020,Capaci,73.42389411354928,63.3428422824286,10.081051831120682,7.351361846624066,2871.0,1332.0,2108.0
082021,Carini,51.6541822721598,49.590732219453145,2.0634500527066564,11.562077538228154,9612.0,3925.0,4965.0
082022,Castelbuono,23.914930555555557,29.974621531929905,-6.059690976374348,72.84197480162108,2304.0,158.0,551.0
082023,Casteldaccia,60.296191819464035,46.04997365249104,14.246218166972994,23.216499068550366,2836.0,808.0,1710.0
082024,Castellana Sicula,42.71356783919598,35.09721273665293,7.616355102543054,77.62016093773575,796.0,92.0,340.0
082025,Castronovo di Sicilia,30.71324599708879,41.0590026205169,-10.345756623428109,55.300656867708184,687.0,87.0,211.0
082026,Cefalà Diana,69.1358024691358,57.20401556138978,11.931786907746016,28.145078237588894,243.0,67.0,168.0
082027,Cefalù,20.9982354423998,28.35086082798656,-7.352625385586759,66.01599961373,3967.0,385.0,833.0
082028,Cerda,46.24881291547958,39.45445970955686,6.794353205922725,52.31039098496588,1053.0,119.0,487.0
082029,Chiusa Sclafani,39.182282793867124,42.691005040128,-3.5087222462608736,52.68425808531425,587.0,79.0,230.0
082030,Ciminna,41.81818181818182,46.82057041387849,-5.002388595696672,36.16025511525051,770.0,153.0,322.0
082031,Cinisi,53.34211392821864,50.04602741916833,3.296086509050305,17.361353403464836,3037.0,762.0,1620.0
082032,Collesano,45.916114790286976,38.87818452375057,7.0379302665364065,57.532487561377,906.0,86.0,416.0
082033,Contessa Entellina,31.35593220338983,47.05986141512026,-15.70392921173043,47.78140747194456,354.0,38.0,111.0
082034,Corleone,23.507601038190582,38.74795412013388,-15.2403530819433,38.379833311258665,2697.0,339.0,634.0
082035,Ficarazzi,75.08683296495106,52.65496800083116,22.431864964119896,14.376102009933012,3167.0,1654.0,2378.0
082036,Gangi,24.46043165467626,28.442068808541542,-3.9816371538652824,91.12415743369043,1668.0,71.0,408.0
082037,Geraci Siculo,33.68200836820084,36.724065008219505,-3.0420566400186644,84.5521336454616,478.0,29.0,161.0
082038,Giardinello,75.54744525547446,62.871324292930105,12.676120962544353,14.207997219875853,548.0,140.0,414.0
082039,Giuliana,59.857482185273156,44.263136408529725,15.594345776743431,53.84834115365115,421.0,89.0,252.0
082040,Godrano,50.0,54.343793533551796,-4.343793533551796,32.14943895311394,282.0,49.0,141.0
082041,Gratteri,47.87234042553192,46.89256244925028,0.979777976281639,61.41008067898951,188.0,17.0,90.0
082042,Isnello,41.56976744186046,42.35929443364187,-0.7895269917814076,65.9450434983555,344.0,26.0,143.0
082043,Isola delle Femmine,71.15689381933439,64.6439156742479,6.512978145086478,7.897684787328498,1893.0,983.0,1347.0
082044,Lascari,71.38523761375126,38.573867520972925,32.81137009277833,56.78562157800159,989.0,140.0,706.0
082045,Lercara Friddi,23.593220338983052,37.74550325593492,-14.152282916951869,51.55505008241191,1475.0,158.0,348.0
082046,Marineo,58.6942038640906,49.475827903678315,9.218375960412288,23.549702015099893,1501.0,359.0,881.0
082047,Mezzojuso,59.04334828101644,48.988559779081115,10.054788501935327,33.038145967956495,669.0,156.0,395.0
082048,Misilmeri,61.48284879249346,45.594318688355095,15.888530104138368,17.472558055419363,6501.0,2559.0,3997.0
082049,Monreale,66.74786845310597,35.353093082951034,31.39477537015493,29.410755481626104,9852.0,5435.0,6576.0
082050,Montelepre,68.28767123287672,58.52209780886528,9.765573424011436,13.07188605366494,1460.0,472.0,997.0
082051,Montemaggiore Belsito,42.8343949044586,42.416928399917154,0.4174665045414443,52.293930049289656,628.0,94.0,269.0
082052,Palazzo Adriano,37.93103448275862,43.827873067843406,-5.896838585084787,53.417610850729744,464.0,70.0,176.0
082054,Partinico,34.172613437457926,38.4925784347962,-4.319964997338275,26.58954019910837,7427.0,1109.0,2538.0
082055,Petralia Soprana,38.52459016393443,34.076002824277374,4.4485873396570526,80.86708289532893,854.0,73.0,329.0
082056,Petralia Sottana,38.35227272727273,35.722882954494,2.6293897727787297,78.01790231735278,704.0,69.0,270.0
082057,Piana degli Albanesi,50.476190476190474,52.739669928816774,-2.2634794526262993,19.122283153431237,1470.0,487.0,742.0
082058,Polizzi Generosa,39.44444444444444,37.079210173378954,2.3652342710654892,70.7101866070229,720.0,75.0,284.0
082059,Pollina,47.52066115702479,36.557513694659875,10.963147462364915,72.9662465116577,726.0,81.0,345.0
082060,Prizzi,33.43434343434343,41.570061325554576,-8.135717891211144,46.54680565839078,990.0,107.0,331.0
082061,Roccamena,41.76829268292683,51.12219331406188,-9.353900631135055,37.5808697344806,328.0,29.0,137.0
082062,Roccapalumba,41.81818181818182,45.06540033068177,-3.2472185124999484,48.02231594790072,495.0,75.0,207.0
082063,San Cipirello,51.68141592920354,50.0796445550768,1.6017713741267414,25.19705736787532,1130.0,207.0,584.0
082064,San Giuseppe Jato,45.11930585683297,48.3347255826734,-3.2154197258404267,23.492657108126362,1844.0,304.0,832.0
082065,San Mauro Castelverde,24.752475247524753,39.90565378323672,-15.15317853571197,81.40436727842062,303.0,14.0,75.0
082066,Santa Cristina Gela,70.45454545454545,63.31875403719066,7.135791417354795,18.191791692958667,264.0,89.0,186.0
082067,Santa Flavia,62.90755657844265,48.44537352998159,14.462183048461064,20.452868943011392,2607.0,646.0,1640.0
082068,Sciara,50.199203187250994,45.865464721324365,4.333738465926629,45.3021443752942,502.0,60.0,252.0
082069,Sclafani Bagni,29.591836734693878,50.803302707164605,-21.211465972470727,60.671532863444284,98.0,9.0,29.0
082070,Termini Imerese,25.951952933485863,33.42495506662877,-7.473002133142906,40.02786105951703,6119.0,856.0,1588.0
082071,Terrasini,49.295313012127174,47.595553257512215,1.6997597546149592,20.385045351924045,3051.0,725.0,1504.0
082072,Torretta,74.2248062015504,68.78485939780656,5.439946803743837,7.555230770797143,1032.0,380.0,766.0
082073,Trabia,60.62263357172907,42.921535377185954,17.701098194543114,30.538236131119294,2377.0,622.0,1441.0
082074,Trappeto,67.07503828483921,54.57901094694732,12.496027337891888,23.02486516790055,653.0,118.0,438.0
082075,Ustica,0.0,44.39218305127676,-44.39218305127676,63.904109014992144,262.0,0.0,0.0
082076,Valledolmo,34.19023136246787,38.518456549954344,-4.328225187486474,62.42106315179196,778.0,50.0,266.0
082077,Ventimiglia di Sicilia,43.520782396088016,56.073011335793325,-12.552228939705309,24.902009959037446,409.0,81.0,178.0
082078,Vicari,48.30827067669173,45.65450288932986,2.653767787361865,44.93997672451556,532.0,99.0,257.0
082079,Villabate,69.5632798573975,51.77216340263673,17.791116454760775,13.355201084221832,4488.0,2295.0,3122.0
082080,Villafrati,50.27624309392265,51.13133586637182,-0.8550927724491686,27.8212366547571,724.0,175.0,364.0
082081,Scillato,51.12781954887218,48.56271108785229,2.5651084610198893,62.685478453944974,133.0,21.0,68.0
