origine,genere,motivo,luogo,verso_palermo,mezzo,orario,durata,stima
081001,F,lavoro,dentro,False,a piedi,7:15-8:14,16-30 min,51.69
081001,F,lavoro,dentro,False,a piedi,7:15-8:14,fino a 15 min,295.8
081001,F,lavoro,dentro,False,a piedi,7:15-8:14,oltre 60 min,7.23
081001,F,lavoro,dentro,False,a piedi,8:15-9:14,16-30 min,34.54
081001,F,lavoro,dentro,False,a piedi,8:15-9:14,31-60 min,1.57
081001,F,lavoro,dentro,False,a piedi,8:15-9:14,fino a 15 min,389.12
081001,F,lavoro,dentro,False,a piedi,8:15-9:14,oltre 60 min,3.5
081001,F,lavoro,dentro,False,a piedi,dopo le 9:14,16-30 min,9.82
081001,F,lavoro,dentro,False,a piedi,dopo le 9:14,31-60 min,2.83
081001,F,lavoro,dentro,False,a piedi,dopo le 9:14,fino a 15 min,77.9
081001,F,lavoro,dentro,False,a piedi,prima delle 7:15,16-30 min,7.57
081001,F,lavoro,dentro,False,a piedi,prima delle 7:15,fino a 15 min,68.35
081001,F,lavoro,dentro,False,auto privata (conducente),7:15-8:14,16-30 min,159.94
081001,F,lavoro,dentro,False,auto privata (conducente),7:15-8:14,31-60 min,19.39
081001,F,lavoro,dentro,False,auto privata (conducente),7:15-8:14,fino a 15 min,938.43
081001,F,lavoro,dentro,False,auto privata (conducente),7:15-8:14,oltre 60 min,11.39
081001,F,lavoro,dentro,False,auto privata (conducente),8:15-9:14,16-30 min,107.54
081001,F,lavoro,dentro,False,auto privata (conducente),8:15-9:14,31-60 min,11.85
081001,F,lavoro,dentro,False,auto privata (conducente),8:15-9:14,fino a 15 min,843.23
081001,F,lavoro,dentro,False,auto privata (conducente),8:15-9:14,oltre 60 min,2.0
081001,F,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,16-30 min,16.61
081001,F,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,31-60 min,2.35
081001,F,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,fino a 15 min,212.67
081001,F,lavoro,dentro,False,auto privata (conducente),dopo le 9:14,oltre 60 min,1.0
081001,F,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,16-30 min,40.68
081001,F,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,31-60 min,27.66
081001,F,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,fino a 15 min,147.86
081001,F,lavoro,dentro,False,auto privata (conducente),prima delle 7:15,oltre 60 min,16.67
081001,F,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,16-30 min,12.97
081001,F,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,31-60 min,1.0
081001,F,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,fino a 15 min,89.32
081001,F,lavoro,dentro,False,auto privata (passeggero),7:15-8:14,oltre 60 min,2.69
081001,F,lavoro,dentro,False,auto privata (passeggero),8:15-9:14,16-30 min,23.11
081001,F,lavoro,dentro,False,auto privata (passeggero),8:15-9:14,fino a 15 min,85.94
081001,F,lavoro,dentro,False,auto privata (passeggero),dopo le 9:14,fino a 15 min,28.83
081001,F,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,16-30 min,12.66
081001,F,lavoro,dentro,False,auto privata (passeggero),prima delle 7:15,fino a 15 min,18.8
081001,F,lavoro,dentro,False,autobus aziendale o scolastico,7:15-8:14,16-30 min,1.96
081001,F,lavoro,dentro,False,autobus aziendale o scolastico,7:15-8:14,31-60 min,2.01
081001,F,lavoro,dentro,False,autobus aziendale o scolastico,7:15-8:14,fino a 15 min,1.86
081001,F,lavoro,dentro,False,autobus aziendale o scolastico,prima delle 7:15,fino a 15 min,2.07
081001,F,lavoro,dentro,False,"autobus urbano, filobus",prima delle 7:15,fino a 15 min,2.86
081001,F,lavoro,dentro,False,bicicletta,7:15-8:14,16-30 min,1.0
081001,F,lavoro,dentro,False,bicicletta,7:15-8:14,fino a 15 min,6.53
081001,F,lavoro,dentro,False,bicicletta,8:15-9:14,16-30 min,2.42
081001,F,lavoro,dentro,False,bicicletta,8:15-9:14,fino a 15 min,4.05
081001,F,lavoro,dentro,False,bicicletta,prima delle 7:15,16-30 min,2.72
081001,F,lavoro,dentro,False,"corriera, autobus extra-urbano",7:15-8:14,oltre 60 min,1.0
081001,F,lavoro,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,2.21
081001,F,lavoro,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,2.8
081001,F,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",7:15-8:14,fino a 15 min,6.13
081001,F,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",8:15-9:14,16-30 min,2.64
081001,F,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",8:15-9:14,fino a 15 min,19.72
081001,F,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",dopo le 9:14,fino a 15 min,3.07
081001,F,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,16-30 min,1.0
081001,F,lavoro,fuori,False,altro mezzo,prima delle 7:15,16-30 min,2.63
081001,F,lavoro,fuori,False,altro mezzo,prima delle 7:15,oltre 60 min,2.26
081001,F,lavoro,fuori,False,auto privata (conducente),7:15-8:14,16-30 min,123.56
081001,F,lavoro,fuori,False,auto privata (conducente),7:15-8:14,31-60 min,92.08
081001,F,lavoro,fuori,False,auto privata (conducente),7:15-8:14,fino a 15 min,32.29
081001,F,lavoro,fuori,False,auto privata (conducente),7:15-8:14,oltre 60 min,3.37
081001,F,lavoro,fuori,False,auto privata (conducente),8:15-9:14,16-30 min,26.79
081001,F,lavoro,fuori,False,auto privata (conducente),8:15-9:14,31-60 min,10.12
081001,F,lavoro,fuori,False,auto privata (conducente),8:15-9:14,fino a 15 min,21.78
081001,F,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,16-30 min,5.3100000000000005
081001,F,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,31-60 min,6.65
081001,F,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,fino a 15 min,13.82
081001,F,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,16-30 min,37.5
081001,F,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,31-60 min,44.550000000000004
081001,F,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,fino a 15 min,11.379999999999999
081001,F,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,oltre 60 min,12.729999999999999
081001,F,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,16-30 min,9.17
081001,F,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,31-60 min,13.76
081001,F,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,fino a 15 min,4.44
081001,F,lavoro,fuori,False,auto privata (passeggero),8:15-9:14,16-30 min,1.0
081001,F,lavoro,fuori,False,auto privata (passeggero),dopo le 9:14,16-30 min,2.44
081001,F,lavoro,fuori,False,auto privata (passeggero),prima delle 7:15,16-30 min,22.86
081001,F,lavoro,fuori,False,auto privata (passeggero),prima delle 7:15,31-60 min,10.120000000000001
081001,F,lavoro,fuori,False,auto privata (passeggero),prima delle 7:15,fino a 15 min,4.56
081001,F,lavoro,fuori,False,autobus aziendale o scolastico,prima delle 7:15,31-60 min,2.63
081001,F,lavoro,fuori,False,autobus aziendale o scolastico,prima delle 7:15,oltre 60 min,3.02
081001,F,lavoro,fuori,False,"autobus urbano, filobus",prima delle 7:15,31-60 min,5.54
081001,F,lavoro,fuori,False,"autobus urbano, filobus",prima delle 7:15,oltre 60 min,3.2199999999999998
081001,F,lavoro,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,3.94
081001,F,lavoro,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,oltre 60 min,2.61
081001,F,lavoro,fuori,False,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,20.22
081001,F,lavoro,fuori,False,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,12.33
081001,F,lavoro,fuori,False,treno,prima delle 7:15,oltre 60 min,2.5
081001,F,lavoro,fuori,True,auto privata (conducente),7:15-8:14,16-30 min,1.0
081001,F,lavoro,fuori,True,auto privata (conducente),7:15-8:14,31-60 min,21.78
081001,F,lavoro,fuori,True,auto privata (conducente),7:15-8:14,oltre 60 min,4.97
081001,F,lavoro,fuori,True,auto privata (conducente),8:15-9:14,16-30 min,5.34
081001,F,lavoro,fuori,True,auto privata (conducente),dopo le 9:14,31-60 min,9.31
081001,F,lavoro,fuori,True,auto privata (conducente),dopo le 9:14,oltre 60 min,3.72
081001,F,lavoro,fuori,True,auto privata (conducente),prima delle 7:15,16-30 min,2.15
081001,F,lavoro,fuori,True,auto privata (conducente),prima delle 7:15,31-60 min,82.72
081001,F,lavoro,fuori,True,auto privata (conducente),prima delle 7:15,oltre 60 min,7.88
081001,F,lavoro,fuori,True,auto privata (passeggero),7:15-8:14,31-60 min,6.54
081001,F,lavoro,fuori,True,auto privata (passeggero),7:15-8:14,oltre 60 min,7.31
081001,F,lavoro,fuori,True,auto privata (passeggero),8:15-9:14,31-60 min,1.0
081001,F,lavoro,fuori,True,auto privata (passeggero),prima delle 7:15,16-30 min,2.82
081001,F,lavoro,fuori,True,auto privata (passeggero),prima delle 7:15,31-60 min,5.39
081001,F,lavoro,fuori,True,auto privata (passeggero),prima delle 7:15,oltre 60 min,4.46
081001,F,lavoro,fuori,True,autobus aziendale o scolastico,prima delle 7:15,31-60 min,1.9
081001,F,lavoro,fuori,True,autobus aziendale o scolastico,prima delle 7:15,oltre 60 min,2.26
081001,F,lavoro,fuori,True,"autobus urbano, filobus",prima delle 7:15,oltre 60 min,2.94
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,2.17
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",7:15-8:14,oltre 60 min,3.49
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",dopo le 9:14,31-60 min,1.0
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",dopo le 9:14,oltre 60 min,1.0
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",prima delle 7:15,16-30 min,2.88
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,4.77
081001,F,lavoro,fuori,True,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,19.98
081001,F,studio,dentro,False,a piedi,7:15-8:14,16-30 min,86.57
081001,F,studio,dentro,False,a piedi,7:15-8:14,31-60 min,2.04
081001,F,studio,dentro,False,a piedi,7:15-8:14,fino a 15 min,835.34
081001,F,studio,dentro,False,a piedi,7:15-8:14,oltre 60 min,2.45
081001,F,studio,dentro,False,a piedi,8:15-9:14,16-30 min,13.03
081001,F,studio,dentro,False,a piedi,8:15-9:14,fino a 15 min,393.19
081001,F,studio,dentro,False,a piedi,8:15-9:14,oltre 60 min,3.12
081001,F,studio,dentro,False,a piedi,dopo le 9:14,fino a 15 min,2.0
081001,F,studio,dentro,False,a piedi,prima delle 7:15,16-30 min,4.73
081001,F,studio,dentro,False,a piedi,prima delle 7:15,31-60 min,2.6
081001,F,studio,dentro,False,a piedi,prima delle 7:15,fino a 15 min,19.11
081001,F,studio,dentro,False,altro mezzo,7:15-8:14,16-30 min,2.32
081001,F,studio,dentro,False,auto privata (conducente),7:15-8:14,16-30 min,3.03
081001,F,studio,dentro,False,auto privata (conducente),7:15-8:14,fino a 15 min,40.5
081001,F,studio,dentro,False,auto privata (conducente),7:15-8:14,oltre 60 min,1.93
081001,F,studio,dentro,False,auto privata (conducente),8:15-9:14,16-30 min,1.0
081001,F,studio,dentro,False,auto privata (conducente),8:15-9:14,fino a 15 min,3.7
081001,F,studio,dentro,False,auto privata (conducente),dopo le 9:14,fino a 15 min,5.37
081001,F,studio,dentro,False,auto privata (conducente),prima delle 7:15,16-30 min,1.75
081001,F,studio,dentro,False,auto privata (conducente),prima delle 7:15,fino a 15 min,4.14
081001,F,studio,dentro,False,auto privata (conducente),prima delle 7:15,oltre 60 min,1.0
081001,F,studio,dentro,False,auto privata (passeggero),7:15-8:14,16-30 min,84.84
