anno,origine,destinazione,genere,motivo,luogo,persone,definizione
2001,081001,081001,F,lavoro,dentro,2598,giornaliero (censimento 2001)
2001,081001,081001,F,studio,dentro,3941,giornaliero (censimento 2001)
2001,081001,081001,M,lavoro,dentro,4595,giornaliero (censimento 2001)
2001,081001,081001,M,studio,dentro,4038,giornaliero (censimento 2001)
2001,081001,081002,F,lavoro,fuori,8,giornaliero (censimento 2001)
2001,081001,081002,M,lavoro,fuori,11,giornaliero (censimento 2001)
2001,081001,081003,F,lavoro,fuori,35,giornaliero (censimento 2001)
2001,081001,081003,F,studio,fuori,6,giornaliero (censimento 2001)
2001,081001,081003,M,lavoro,fuori,127,giornaliero (censimento 2001)
2001,081001,081003,M,studio,fuori,43,giornaliero (censimento 2001)
2001,081001,081005,F,lavoro,fuori,59,giornaliero (censimento 2001)
2001,081001,081005,F,studio,fuori,9,giornaliero (censimento 2001)
2001,081001,081005,M,lavoro,fuori,137,giornaliero (censimento 2001)
2001,081001,081005,M,studio,fuori,34,giornaliero (censimento 2001)
2001,081001,081006,F,lavoro,fuori,12,giornaliero (censimento 2001)
2001,081001,081006,M,lavoro,fuori,18,giornaliero (censimento 2001)
2001,081001,081006,M,studio,fuori,1,giornaliero (censimento 2001)
2001,081001,081007,F,lavoro,fuori,18,giornaliero (censimento 2001)
2001,081001,081007,M,lavoro,fuori,10,giornaliero (censimento 2001)
2001,081001,081007,M,studio,fuori,1,giornaliero (censimento 2001)
2001,081001,081008,F,lavoro,fuori,13,giornaliero (censimento 2001)
2001,081001,081008,F,studio,fuori,5,giornaliero (censimento 2001)
2001,081001,081008,M,lavoro,fuori,13,giornaliero (censimento 2001)
2001,081001,081008,M,studio,fuori,13,giornaliero (censimento 2001)
2001,081001,081010,F,lavoro,fuori,5,giornaliero (censimento 2001)
2001,081001,081010,F,studio,fuori,2,giornaliero (censimento 2001)
2001,081001,081010,M,lavoro,fuori,12,giornaliero (censimento 2001)
2001,081001,081011,F,lavoro,fuori,13,giornaliero (censimento 2001)
2001,081001,081011,F,studio,fuori,1,giornaliero (censimento 2001)
2001,081001,081011,M,lavoro,fuori,22,giornaliero (censimento 2001)
2001,081001,081011,M,studio,fuori,5,giornaliero (censimento 2001)
2001,081001,081012,F,lavoro,fuori,2,giornaliero (censimento 2001)
2001,081001,081012,F,studio,fuori,1,giornaliero (censimento 2001)
