territorio,anno,genere,eta,eta_anni,stato_civile,valore
082006,2019,M,TOTAL,,1,12016
082006,2020,M,TOTAL,,1,11917
082006,2021,M,TOTAL,,1,11785
082006,2022,M,TOTAL,,1,11847
082006,2023,M,TOTAL,,1,11847
082006,2024,M,TOTAL,,1,11896
082006,2025,M,TOTAL,,1,11978
082006,2019,M,TOTAL,,15,4
082006,2020,M,TOTAL,,15,5
082006,2021,M,TOTAL,,15,5
082006,2022,M,TOTAL,,15,6
082006,2023,M,TOTAL,,15,9
082006,2024,M,TOTAL,,15,11
082006,2025,M,TOTAL,,15,10
082006,2019,M,TOTAL,,16,0
082006,2020,M,TOTAL,,16,0
082006,2021,M,TOTAL,,16,0
082006,2022,M,TOTAL,,16,0
082006,2023,M,TOTAL,,16,0
082006,2024,M,TOTAL,,16,0
082006,2025,M,TOTAL,,16,0
082006,2019,M,TOTAL,,17,0
082006,2020,M,TOTAL,,17,0
082006,2021,M,TOTAL,,17,0
082006,2022,M,TOTAL,,17,0
082006,2023,M,TOTAL,,17,0
082006,2024,M,TOTAL,,17,0
082006,2025,M,TOTAL,,17,0
082006,2019,M,TOTAL,,2,13286
082006,2020,M,TOTAL,,2,13192
082006,2021,M,TOTAL,,2,13065
082006,2022,M,TOTAL,,2,13129
082006,2023,M,TOTAL,,2,12963
082006,2024,M,TOTAL,,2,12853
082006,2025,M,TOTAL,,2,12725
082006,2019,M,TOTAL,,3,314
082006,2020,M,TOTAL,,3,355
082006,2021,M,TOTAL,,3,379
082006,2022,M,TOTAL,,3,407
082006,2023,M,TOTAL,,3,472
082006,2024,M,TOTAL,,3,524
082006,2025,M,TOTAL,,3,594
082006,2019,M,TOTAL,,4,562
082006,2020,M,TOTAL,,4,566
082006,2021,M,TOTAL,,4,563
082006,2022,M,TOTAL,,4,583
082006,2023,M,TOTAL,,4,595
082006,2024,M,TOTAL,,4,591
082006,2025,M,TOTAL,,4,620
082006,2019,M,TOTAL,,99,26182
082006,2020,M,TOTAL,,99,26035
082006,2021,M,TOTAL,,99,25797
082006,2022,M,TOTAL,,99,25972
082006,2023,M,TOTAL,,99,25886
082006,2024,M,TOTAL,,99,25875
082006,2025,M,TOTAL,,99,25927
082006,2026,M,TOTAL,,99,25946
082006,2019,M,Y_GE100,,1,0
082006,2020,M,Y_GE100,,1,0
082006,2021,M,Y_GE100,,1,0
082006,2022,M,Y_GE100,,1,0
082006,2023,M,Y_GE100,,1,0
082006,2024,M,Y_GE100,,1,0
082006,2025,M,Y_GE100,,1,0
082006,2019,M,Y_GE100,,15,0
082006,2020,M,Y_GE100,,15,0
082006,2021,M,Y_GE100,,15,0
