territorio,anno,eta,classe,genere,occupati,popolazione,tasso_occupazione
082006,2018,Y15-24,15-24,F,142.0,3037.0,4.6756667764241024
082006,2019,Y15-24,15-24,F,154.0,2983.0,5.162587998659068
082006,2021,Y15-24,15-24,F,176.0,2852.0,6.171107994389902
082006,2022,Y15-24,15-24,F,219.0,2847.0,7.6923076923076925
082006,2023,Y15-24,15-24,F,231.0,2881.0000000000005,8.018049288441512
082006,2024,Y15-24,15-24,F,236.0,2882.0,8.188757807078417
082006,2018,Y25-49,25-49,F,2641.0,9250.0,28.55135135135135
082006,2019,Y25-49,25-49,F,2696.0,9059.0,29.760459211833535
082006,2021,Y25-49,25-49,F,2853.0,8679.0,32.872450743173175
082006,2022,Y25-49,25-49,F,2918.0,8550.0,34.12865497076023
082006,2023,Y25-49,25-49,F,3068.0,8383.0,36.597876655135394
082006,2024,Y25-49,25-49,F,3272.0,8267.0,39.57904923188581
082006,2018,Y50-64,50-64,F,1530.0,5794.0,26.40662754573697
082006,2019,Y50-64,50-64,F,1543.0,5880.0,26.241496598639454
082006,2021,Y50-64,50-64,F,1641.0,5981.0,27.436883464303627
082006,2022,Y50-64,50-64,F,1670.0,6082.0,27.458073002301873
082006,2023,Y50-64,50-64,F,1773.0,6154.0,28.810529736756582
082006,2024,Y50-64,50-64,F,1917.0,6211.0,30.864595073257124
082006,2018,Y_GE15,15+ (totale),F,4461.0,23697.0,18.825167742752246
082006,2019,Y_GE15,15+ (totale),F,4583.0,23632.0,19.39319566689235
082006,2021,Y_GE15,15+ (totale),F,4851.0,23565.0,20.58561425843412
082006,2022,Y_GE15,15+ (totale),F,4975.0,23582.0,21.096599101009243
082006,2023,Y_GE15,15+ (totale),F,5238.0,23594.0,22.200559464270576
082006,2024,Y_GE15,15+ (totale),F,5608.0,23665.000000000004,23.697443481935345
082006,2018,Y_GE65,65+,F,148.0,5616.0,2.635327635327635
082006,2019,Y_GE65,65+,F,190.0,5710.0,3.327495621716287
082006,2021,Y_GE65,65+,F,181.0,6053.0,2.9902527672228647
082006,2022,Y_GE65,65+,F,168.0,6103.0,2.7527445518597413
082006,2023,Y_GE65,65+,F,166.0,6176.0,2.687823834196891
082006,2024,Y_GE65,65+,F,183.0,6305.000000000002,2.902458366375891
082006,2018,Y15-24,15-24,M,370.0,3206.0,11.540860885839052
082006,2019,Y15-24,15-24,M,373.0,3151.0,11.837511900983815
082006,2021,Y15-24,15-24,M,419.0,3039.0,13.78743007568279
082006,2022,Y15-24,15-24,M,467.0,3035.0,15.387149917627678
082006,2023,Y15-24,15-24,M,455.0,2998.0000000000005,15.17678452301534
082006,2024,Y15-24,15-24,M,498.0,3022.0,16.479152878888154
082006,2018,Y25-49,25-49,M,5173.0,8925.0,57.96078431372549
082006,2019,Y25-49,25-49,M,5138.0,8703.0,59.037113638975065
082006,2021,Y25-49,25-49,M,5374.0,8402.0,63.96096167579148
082006,2022,Y25-49,25-49,M,5451.0,8320.0,65.51682692307692
082006,2023,Y25-49,25-49,M,5496.0,8244.0,66.66666666666667
082006,2024,Y25-49,25-49,M,5548.0,8189.000000000001,67.74941995359627
082006,2018,Y50-64,50-64,M,3002.0,5231.0,57.388644618619765
082006,2019,Y50-64,50-64,M,3220.0,5338.0,60.3222180591982
082006,2021,Y50-64,50-64,M,3382.0,5467.0,61.86208158039144
082006,2022,Y50-64,50-64,M,3412.0,5498.0,62.05893052018916
082006,2023,Y50-64,50-64,M,3470.0,5515.0,62.9193109700816
082006,2024,Y50-64,50-64,M,3585.0,5532.000000000001,64.80477223427332
082006,2018,Y_GE15,15+ (totale),M,8827.0,21852.0,40.39447190188541
082006,2019,Y_GE15,15+ (totale),M,9034.0,21788.0,41.463190747200294
082006,2021,Y_GE15,15+ (totale),M,9478.0,21733.0,43.61109832972898
082006,2022,Y_GE15,15+ (totale),M,9703.0,21727.0,44.65871956551756
082006,2023,Y_GE15,15+ (totale),M,9804.0,21740.0,45.09659613615455
082006,2024,Y_GE15,15+ (totale),M,10077.0,21870.0,46.07681755829904
082006,2018,Y_GE65,65+,M,282.0,4490.0,6.280623608017818
082006,2019,Y_GE65,65+,M,303.0,4596.0,6.592689295039165
082006,2021,Y_GE65,65+,M,303.0,4825.0,6.27979274611399
082006,2022,Y_GE65,65+,M,373.0,4874.0,7.652851867049651
082006,2023,Y_GE65,65+,M,383.0,4983.0,7.686132851695765
082006,2024,Y_GE65,65+,M,446.0,5127.0,8.69904427540472
082006,2018,Y15-24,15-24,T,512.0,6243.0,8.201185327566876
082006,2019,Y15-24,15-24,T,527.0,6134.0,8.591457450277144
082006,2021,Y15-24,15-24,T,595.0,5891.0,10.100152775420133
082006,2022,Y15-24,15-24,T,686.0,5882.0,11.662699761985719
082006,2023,Y15-24,15-24,T,686.0,5879.000000000001,11.66865113114475
082006,2024,Y15-24,15-24,T,734.0,5904.0,12.432249322493226
082006,2018,Y25-49,25-49,T,7814.0,18175.0,42.99312242090784
082006,2019,Y25-49,25-49,T,7834.0,17762.0,44.10539353676388
082006,2021,Y25-49,25-49,T,8227.0,17081.0,48.16462736373749
082006,2022,Y25-49,25-49,T,8369.0,16870.0,49.60877296976882
082006,2023,Y25-49,25-49,T,8564.0,16627.0,51.50658567390389
082006,2024,Y25-49,25-49,T,8820.0,16456.0,53.59747204666991
082006,2018,Y50-64,50-64,T,4532.0,11025.0,41.10657596371882
082006,2019,Y50-64,50-64,T,4763.0,11218.0,42.45854876091995
082006,2021,Y50-64,50-64,T,5023.0,11448.0,43.876659678546474
082006,2022,Y50-64,50-64,T,5082.0,11580.0,43.8860103626943
082006,2023,Y50-64,50-64,T,5243.0,11669.0,44.93101379724055
082006,2024,Y50-64,50-64,T,5502.0,11743.0,46.85344460529677
082006,2018,Y_GE15,15+ (totale),T,13288.0,45549.0,29.172978550571912
082006,2019,Y_GE15,15+ (totale),T,13617.0,45420.0,29.98018494055482
082006,2021,Y_GE15,15+ (totale),T,14329.0,45298.0,31.632743167468764
082006,2022,Y_GE15,15+ (totale),T,14678.0,45309.0,32.39532984616743
082006,2023,Y_GE15,15+ (totale),T,15042.0,45334.0,33.18039440596462
082006,2024,Y_GE15,15+ (totale),T,15685.0,45535.00000000001,34.44603052596903
082006,2018,Y_GE65,65+,T,430.0,10106.0,4.254898080348308
082006,2019,Y_GE65,65+,T,493.0,10306.0,4.783621191538909
082006,2021,Y_GE65,65+,T,484.0,10878.0,4.449347306490163
082006,2022,Y_GE65,65+,T,541.0,10977.0,4.92848683611187
082006,2023,Y_GE65,65+,T,549.0,11159.0,4.919795680616542
082006,2024,Y_GE65,65+,T,629.0,11432.000000000002,5.502099370188942
082053,2018,Y15-24,15-24,F,2174.0,34298.0,6.338562015277859
082053,2019,Y15-24,15-24,F,2342.0,33754.0,6.9384369259939565
082053,2021,Y15-24,15-24,F,2427.0,32229.0,7.5304849669552265
082053,2022,Y15-24,15-24,F,2801.0,32475.0,8.62509622786759
082053,2023,Y15-24,15-24,F,2999.0,32550.99999999999,9.21323461644804
082053,2024,Y15-24,15-24,F,3133.0,32672.0,9.589250734573946
082053,2018,Y25-49,25-49,F,41539.0,108290.0,38.35903592206113
082053,2019,Y25-49,25-49,F,41250.0,105668.0,39.0373623045766
082053,2021,Y25-49,25-49,F,42915.0,99685.0,43.050609419671964
082053,2022,Y25-49,25-49,F,43188.0,97908.0,44.110797891898514
082053,2023,Y25-49,25-49,F,44557.0,96311.0,46.263666663205655
082053,2024,Y25-49,25-49,F,45437.0,94681.0,47.989564960234894
082053,2018,Y50-64,50-64,F,27262.0,74360.0,36.662183969876274
082053,2019,Y50-64,50-64,F,27692.0,74614.0,37.11367839815584
082053,2021,Y50-64,50-64,F,30017.0,74402.0,40.344345582108005
082053,2022,Y50-64,50-64,F,30335.0,74636.0,40.643925183557535
082053,2023,Y50-64,50-64,F,31507.0,74884.0,42.07440841835372
082053,2024,Y50-64,50-64,F,32883.0,75252.0,43.69717748365492
082053,2018,Y_GE15,15+ (totale),F,73861.0,295299.0,25.01227569344969
082053,2019,Y_GE15,15+ (totale),F,74508.0,293571.0,25.3798910655344
082053,2021,Y_GE15,15+ (totale),F,78329.0,288059.0,27.191998861344377
082053,2022,Y_GE15,15+ (totale),F,79582.0,287546.0,27.676267449382014
082053,2023,Y_GE15,15+ (totale),F,82169.0,287162.0,28.614162040938563
082053,2024,Y_GE15,15+ (totale),F,84934.0,287287.0,29.56416405893758
082053,2018,Y_GE65,65+,F,2886.0,78351.0,3.6834245893479345
082053,2019,Y_GE65,65+,F,3224.0,79535.0,4.053561325202741
082053,2021,Y_GE65,65+,F,2970.0,81743.0,3.6333386345008134
082053,2022,Y_GE65,65+,F,3258.0,82527.0,3.9477989021774693
082053,2023,Y_GE65,65+,F,3106.0,83416.0,3.723506281768486
082053,2024,Y_GE65,65+,F,3481.0,84682.0,4.11067287026759
082053,2018,Y15-24,15-24,M,4391.0,36460.0,12.043335161821174
082053,2019,Y15-24,15-24,M,4352.0,35853.0,12.138454243717401
082053,2021,Y15-24,15-24,M,4772.0,34400.0,13.872093023255815
082053,2022,Y15-24,15-24,M,5237.0,34257.0,15.287386519543452
082053,2023,Y15-24,15-24,M,5329.0,34389.0,15.496234260955537
082053,2024,Y15-24,15-24,M,5683.0,34363.0,16.53813694962605
082053,2018,Y25-49,25-49,M,63068.0,105373.0,59.85214428743606
082053,2019,Y25-49,25-49,M,62555.0,102458.0,61.054285658513734
082053,2021,Y25-49,25-49,M,63179.0,97077.0,65.08132719387703
082053,2022,Y25-49,25-49,M,62794.0,95171.0,65.98018303895094
082053,2023,Y25-49,25-49,M,63182.0,93768.0,67.38119614367375
082053,2024,Y25-49,25-49,M,63790.0,92326.0,69.09213006087126
