DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_CLASS,MARITAL_STATUS,CITIZENSHIP,AREA_CONTRY_CITIZEN,USUAL_RESID_1Y,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_CLASS,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_AREA_CONTRY_CITIZEN,NOTE_USUAL_RESID_1Y,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2001,26081,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2011,27915,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2018,27532,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2019,27374,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2020,27228,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2021,27249,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2022,27221,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2023,27135,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2024,27173,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2001,2,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2011,8,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2018,8,,,,,,,,,ISO__ALL_N1,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_TV_1(1.0),A,082006,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2019,5,,,,,,,,,ISO__ALL_N1,,,,,
