DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2018,1183,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2019,1205,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2020,1234,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2021,1262,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2022,1283,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2023,1296,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ALL,99,ALL,ALL,2024,1316,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2018,2,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2019,1,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2020,1,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2021,4,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2022,2,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2023,5,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,BL,99,ALL,ALL,2024,7,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2018,227,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2019,246,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2020,239,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2021,305,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2022,303,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2023,317,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,LSE,99,ALL,ALL,2024,334,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2018,38,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2019,53,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2020,58,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2021,63,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2022,75,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2023,81,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,ML_RDD,99,ALL,ALL,2024,81,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2018,215,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2019,190,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2020,212,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2021,199,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2022,159,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2023,177,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,NED,99,ALL,ALL,2024,171,,,,,,,,NED_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2018,583,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2019,581,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2020,584,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2021,538,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2022,570,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2023,530,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,PSE,99,ALL,ALL,2024,525,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2018,118,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2019,134,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2020,140,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2021,153,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2022,174,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2023,186,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE65,TOTAL,USE_IF,99,ALL,ALL,2024,198,,,,,,,,USE_IF_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2018,5252,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2019,5304,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2020,5342,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2021,5361,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2022,5425,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2023,5447,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ALL,99,ALL,ALL,2024,5496,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2018,152,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2019,154,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2020,169,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2021,174,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2022,174,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2023,198,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,BL,99,ALL,ALL,2024,203,,,,,,,,BL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2018,57,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2019,60,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2020,70,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2021,55,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2022,46,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2023,46,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,IL,99,ALL,ALL,2024,43,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2018,322,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2019,303,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2020,302,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2021,293,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2022,292,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2023,293,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LBNA,99,ALL,ALL,2024,278,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2018,1716,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2019,1795,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2020,1770,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2021,1796,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2022,1782,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2023,1819,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,LSE,99,ALL,ALL,2024,1824,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2018,379,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2019,385,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2020,429,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2021,447,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2022,483,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2023,459,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML,99,ALL,ALL,2024,480,,,,,,,,,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML_RDD,99,ALL,ALL,2018,388,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML_RDD,99,ALL,ALL,2019,397,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML_RDD,99,ALL,ALL,2020,441,,,,,,,,ML_RDD_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_1(1.0),A,082023,RESPOP_AV,F,Y_GE9,TOTAL,ML_RDD,99,ALL,ALL,2021,457,,,,,,,,ML_RDD_N1,99_N1,,,,,,
