DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2018,2,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2019,4,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2021,3,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2022,5,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2023,9,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,1,ALL,ALL,2024,11,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2018,17,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2019,16,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2021,5.57922624056232,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2022,4.41215871927916,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2023,4.877480209723337,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,12,ALL,ALL,2024,4.150192520805292,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2018,19,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2019,20,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2021,8.57922624056232,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2022,9.41215871927916,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2023,13.877480209723336,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,22,ALL,ALL,2024,15.150192520805291,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,085008,RESPOP_AV,F,Y15-24,TOTAL,ALL,23,ALL,ALL,2018,70,,,,,,,,ALL_N1,,,,,,,
