DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2018,1121,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2019,1272,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2021,1255,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2022,1265,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2023,1311,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2024,1288,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2018,783,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2019,842,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2021,348.247033473727,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2022,409.532614052946,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2023,474.31905650770074,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,087032,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2024,380.5620327654301,,,,,,,,ALL_N1,,,,,,,
