DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2018,3311,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2019,3370,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2021,3395,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2022,3472,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2023,3585,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2024,3654,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2018,1045,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2019,1002,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2021,652.834509652486,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2022,583.355125493339,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2023,673.8709072085421,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2024,543.2955754788176,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2018,4356,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2019,4372,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2021,4047.83450965249,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2022,4055.35512549334,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2023,4258.870907208542,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2024,4197.295575478817,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2018,7880,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2019,7805,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2021,8085.16549034751,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2022,7955.64487450666,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2023,7735.129092791457,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2024,7689.704424521182,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,081008,RESPOP_AV,F,Y_GE15,TOTAL,ALL,24,ALL,ALL,2018,2183,,,,,,,,ALL_N1,,,,,,,
