DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2018,1019,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2019,1008,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2021,1152,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2022,1212,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2023,1247,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2024,1353,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2018,521,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2019,512,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2021,269.535561619956,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2022,261.774389212545,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082023,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2023,292.8841622076508,,,,,,,,ALL_N1,,,,,,,
