DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,MARITAL_STATUS,CITIZENSHIP,AREA_CONTRY_CITIZEN,USUAL_RESID_1Y,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_AREA_CONTRY_CITIZEN,NOTE_USUAL_RESID_1Y,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2018,80,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2019,77,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2020,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2021,59,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2022,60,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2023,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2024,75,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2018,5706,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2019,5769,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2020,5818,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2021,5829,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2022,5851,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2023,5859,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2024,5891,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2018,5786,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2019,5846,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2020,5889,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2021,5888,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2022,5911,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2023,5930,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,TOTAL,ALL,TOTAL,ALL,ALL,2024,5966,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2018,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2019,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2020,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2021,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2023,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,ITL,ALL,ALL,2024,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2018,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2019,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2020,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2021,2,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2023,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y_GE100,ALL,TOTAL,ALL,ALL,2024,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,ITL,ALL,ALL,2021,46,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,ITL,ALL,ALL,2022,41,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,ITL,ALL,ALL,2023,50,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,ITL,ALL,ALL,2024,47,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,TOTAL,ALL,ALL,2021,46,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,TOTAL,ALL,ALL,2022,41,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,TOTAL,ALL,ALL,2023,50,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y0,ALL,TOTAL,ALL,ALL,2024,47,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,ITL,ALL,ALL,2021,47,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,ITL,ALL,ALL,2022,44,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,ITL,ALL,ALL,2023,43,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,ITL,ALL,ALL,2024,50,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,TOTAL,ALL,ALL,2021,47,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,TOTAL,ALL,ALL,2022,44,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,TOTAL,ALL,ALL,2023,43,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y1,ALL,TOTAL,ALL,ALL,2024,50,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,ITL,ALL,ALL,2021,56,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,ITL,ALL,ALL,2022,72,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,ITL,ALL,ALL,2023,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,ITL,ALL,ALL,2024,57,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,TOTAL,ALL,ALL,2021,56,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,TOTAL,ALL,ALL,2022,72,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y10,ALL,TOTAL,ALL,ALL,2023,71,,,,,,SETA_FILTER,,,,,,,,
