DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,ALL,2018,8830,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,8854,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,STD,2018,4892,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,STD,2019,4823,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,WK,2018,3938,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,WK,2019,4031,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2018,2102,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,2116,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,STD,2018,831,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,785,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,WK,2018,1271,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1331,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2018,6728,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,6738,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,STD,2018,4061,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,4038,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,WK,2018,2667,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,2700,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,ALL,2018,12644,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,12663,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,STD,2018,5158,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,STD,2019,5065,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,WK,2018,7486,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,ALL,WK,2019,7598,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2018,3761,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,3819,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,STD,2018,722,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,690,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,WK,2018,3039,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,3129,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2018,8883,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,8844,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,STD,2018,4436,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,4375,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,WK,2018,4447,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,M,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,4469,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2018,21474,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,21517,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2018,10050,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,9888,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2018,11424,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,11629,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2018,5863,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,5935,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2018,1553,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,1475,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2018,4310,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,4460,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2018,15611,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,15582,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2018,8497,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,8413,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2018,7114,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082006,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,7169,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,ALL,2018,123445,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,124626,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,STD,2018,57130,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,STD,2019,57081,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,WK,2018,66315,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,082053,RP_COM_DAY,F,TOTAL,TOTAL,ALL,99,ALL,WK,2019,67545,,,,,,,,ALL_N1,99_N1,,,,,,
