DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,MARITAL_STATUS,CITIZENSHIP,AREA_CONTRY_CITIZEN,USUAL_RESID_1Y,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_AREA_CONTRY_CITIZEN,NOTE_USUAL_RESID_1Y,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2018,269,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2019,312,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2020,305,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2021,299,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2022,330,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2023,344,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,FRGAPO,ALL,ALL,2024,374,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2018,27263,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2019,27062,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2020,26923,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2021,26950,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2022,26891,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2023,26791,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082006,RESPOP_AV,F,TOTAL,ALL,ITL,ALL,ALL,2024,26799,,,,,,SETA_FILTER,,,,,,,,
