DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2018,4461,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2019,4583,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2021,4851,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2022,4975,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2023,5238,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,1,ALL,ALL,2024,5608,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2018,2749,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2019,2823,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2021,1415.41498655452,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2022,1320.73722642068,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2023,1394.9099010271507,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,12,ALL,ALL,2024,1004.0626789764377,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2018,7210,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2019,7406,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2021,6266.41498655452,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2022,6295.73722642068,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2023,6632.90990102715,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,22,ALL,ALL,2024,6612.062678976437,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2018,16487,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2019,16226,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2021,17298.5850134455,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2022,17286.2627735793,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2023,16961.09009897285,,,,,,,,ALL_N1,,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_3(1.0),A,082006,RESPOP_AV,F,Y_GE15,TOTAL,ALL,23,ALL,ALL,2024,17052.937321023564,,,,,,,,ALL_N1,,,,,,,
