Descrizione tema;"Codice
 Indicatore";Nome indicatore;Descrizione 
Popolazione;P1;Popolazione residente;Valore assoluto della popolazione residente
Popolazione;P2;Variazione intercensuaria annua;Media geometrica della variazione intercensuaria annua
Popolazione;P3;Variazione intercensuaria popolazione con meno di 15 anni;Media geometrica della variazione intercensuaria annua della popolazione con meno di 15 anni
Popolazione;P4;Variazione intercensuaria popolazione con 15 anni ed oltre;Media geometrica della variazione intercensuaria annua della popolazione 15 anni ed oltre
Popolazione;P5;Incidenza superficie centri e nuclei abitati;Rapporto percentuale della superficie dei centri e dei nuclei abitati sul totale della superficie (kmq)
Popolazione;P6;Incidenza della popolazione residente nei nuclei e case sparse ;Rapporto percentuale della popolazione residente nei nuclei abitati e nelle case sparse sul totale della popolazione residente
Popolazione;P7;Densità demografica;Rapporto tra popolazione residente dell'area e superficie dell'area  (kmq)
Popolazione;P8;Rapporto di mascolinità;Rapporto percentuale tra la popolazione maschile e quella femminile
Popolazione;P9;Incidenza popolazione residente con meno di 6 anni;Rapporto percentuale della popolazione con meno di 6 anni sul totale della popolazione residente
Popolazione;P10;Incidenza  popolazione residente di 75 anni e più;Rapporto percentuale della popolazione con 75 anni e più sul totale della popolazione residente
Popolazione;P11;Indice di dipendenza anziani;Rapporto percentuale tra la popolazione con 65 anni e più e la popolazione in età da 15 a 64 anni 
Popolazione;P12;Indice di dipendenza giovani;Rapporto percentuale tra la popolazione in età fino a 14 anni e la popolazione in età da 15 a 64 anni 
Popolazione;P13;Indice di vecchiaia;Rapporto percentuale della popolazione  di 65 anni e più su quella 0-14 anni
Popolazione;P14;Incidenza dei separati legalmente e dei  divorziati;Rapporto percentuale tra la popolazione separata legalmente e divorziata e la popolazione residente di 18 anni e più
 Integrazione degli stranieri;S1;Incidenza di residenti stranieri;Incidenza di residenti stranieri per 1000 residenti italiani
 Integrazione degli stranieri;S2;Incidenza di minori stranieri;Rapporto percentuale fra la popolazione residente straniera di  età compresa tra 0 e 17 anni e il totale della popolazione residente straniera.
 Integrazione degli stranieri;S3;Incidenza di coppie miste;Rapporto percentuale delle coppie sposate o di fatto con un coniuge straniero sul toatle delle coppie sposate o di fatto
 Integrazione degli stranieri;S4;Tasso di occupazione straniera;Rapporto percentuale degli occupati di cittadinanza straniera sul totale dei residenti stranieri di 15 anni ed oltre
 Integrazione degli stranieri;S5;Rapporto occupazione italiana/straniera;Rapporto percentuale tra il tasso di occupazione degli italiani (occupati italiani rispetto alla popolazione residente 15 anni e più italiana)  e quello degli stranieri (occupati stranieri rispetto alla popolazione straniera residente di 15 anni e più).
 Integrazione degli stranieri;S6;Rapporto disoccupazione italiana/straniera;Rapporto percentuale tra il tasso di disoccupazione degli italiani (in cerca di occupazione italiani rispetto alla popolazione residente attiva 15 anni e più italiana)  e quello degli stranieri (in cerca di occupazione stranieri rispetto alla popolazione straniera residente attiva di 15 anni e più).
 Integrazione degli stranieri;S7;Indice di mobilità residenziale straniera;Rapporto percentuale fra la popolazione residente straniera con cambio di dimora abituale nell'ultimo anno e il totale della  la popolazione residente straniera.
 Integrazione degli stranieri;S8;Indice di frequenza scolastica straniera ;Rapporto percentuale fra la popolazione residente straniera di 15-24 anni  iscritta ad un corso regolare di studi e/o professionale e il totale della la popolazione residente straniera residente in età di 15-24 anni.
 Integrazione degli stranieri;S9;Rapporto frequenza scolastica italiana/straniera;Rapporto percentuale tra il tasso di frequenza scolastica degli italiani (residenti italiani di 15-24 anni che frequentano un corso regolare di studi o corso professionale rispetto agli italiani della stessa classe d'età)  e quello degli stranieri (stranieri di 15-24 anni che frequentano un corso regolare di studi o corso professionale rispetto agli stranieri della stessa classe d'età).
 Integrazione degli stranieri;S10;Rapporto lavoro indipendente italiano/straniero;Rapporto percentuale tra il tasso di indipendenti italiani (occupati indipendenti italiani rispetto agli occupati italiani)  e quello degli stranieri (occupati indipendenti stranieri rispetto agli occupati stranieri).
Famiglie;F1;Ampiezza media delle famiglie ;Rapporto tra la popolazione residente in famiglia e il numero delle famiglie
Famiglie;F2;Incidenza famiglie senza nuclei;Rapporto percentuale delle famiglie senza nuclei sul totale delle famiglie
Famiglie;F3;Incidenza famiglie con due o più nuclei;Rapporto percentuale delle famiglie con due o più nuclei sul totale delle famiglie
Famiglie;F4;Incidenza di giovani che vivono da soli;Rapporto percentuale tra il numero di famiglie unipersonali (senza coabitanti) costituite da una persona giovane (con meno di 35 anni) e il totale della popolazione in età da 15 a 34 anni
Famiglie;F5;Incidenza di famiglie monogenitoriali giovani ;Rapporto percentuale tra il numero di famiglie composte da un solo nucleo, di tipo mono-genitorale giovane (padre/madre con meno di 35 anni), con e senza membri isolati, e il totale delle famiglie mononucleari, con e senza membri isolati
Famiglie;F6;Incidenza di coppie giovani senza figli ;Rapporto percentuale del numero di famiglie mononucleari  (con e senza membri isolati) coppia giovane senza figli  (età della donna < 35 anni) sul totale famiglie delle famiglie mononucleari (con e senza membri isolati)
Famiglie;F7;Incidenza di coppie giovani con figli;Rapporto percentuale del numero di famiglie mononucleari  (con e senza membri isolati) coppia giovane con figli  (età della donna < 35 anni) sul totale famiglie delle famiglie mononucleari (con e senza membri isolati)
Famiglie;F8;Incidenza di anziani soli;Rapporto percentuale delle famiglie unipersonali (non in coabitazione) anziane (età 65 e più) sulla popolazione in età 65 anni e più
Famiglie;F9;Incidenza di famiglie monogenitoriali anziane;Rapporto percentuale tra il numero di famiglie composte da un solo nucleo, di tipo mono-genitorale anziano (padre/madre con 65 anni e più), con e senza membri isolati, e il totale delle famiglie mononucleari, con e senza membri isolati
Famiglie;F10;Incidenza di coppie anziane senza figli ;Rapporto percentuale tra il numero di famiglie mononucleari (con e senza membri isolati) con nucleo composto da coppia anziana senza figli (età della donna di 65 anni e più) e il totale delle famiglie composte da un solo nucleo familiare, con e senza membri isolati
Famiglie;F11;Incidenza di coppie anziane con figli;Rapporto percentuale tra il numero di famiglie mononucleari (con e senza membri isolati) con nucleo composto da coppia anziana con figli (età della donna di 65 anni e più) e il totale delle famiglie composte da un solo nucleo familiare, con e senza membri isolati
Condizioni abitative ed insediamenti;A1;Incidenza delle abitazioni in proprietà ;Rapporto percentuale tra le abitazioni occupate di proprietà e il totale delle abitazioni occupate 
Condizioni abitative ed insediamenti;A2;Superficie media delle abitazioni occupate;Rapporto tra la superficie complessiva delle abitazioni occupate (mq) e il totale delle abitazioni occupate 
